dataset,model,defense,metric,mean,std,ci_low,ci_high,n_seeds
Citeseer,GraphSAGE,lbp,lira_tpr_at_0.01_fpr,0.042660000000000003,0.008495469380793506,0.0356,0.048659999999999995,5
Citeseer,GraphSAGE,none,test_accuracy,0.7400599999999999,0.007992684154900646,0.7329800000000001,0.7451840000000001,5
Citeseer,GraphSAGE,none,conf_attack_auc,0.7409800000000001,0.029482655918353064,0.72244,0.7660800000000001,5
Citeseer,GraphSAGE,none,lira_attack_auc,0.5956400000000001,0.008113137494212695,0.5895615,0.60142,5
Citeseer,GraphSAGE,none,ece_test,0.14486000000000002,0.012285886211421619,0.13494,0.15402,5
Citeseer,GraphSAGE,none,lira_tpr_at_0.01_fpr,0.045380000000000004,0.009561485240275173,0.03774000000000001,0.05226000000000001,5
Citeseer,GraphSAGE,sami,test_accuracy,0.74454,0.004255937029609355,0.74138,0.7477,5
Citeseer,GraphSAGE,sami,conf_attack_auc,0.6566000000000001,0.020922834416015407,0.6375200000000001,0.6723399999999999,5
Citeseer,GraphSAGE,sami,lira_attack_auc,0.59032,0.012053090889892105,0.57874,0.59746,5
Citeseer,GraphSAGE,sami,ece_test,0.03514,0.012116228786218921,0.02602700000000001,0.0453,5
Citeseer,GraphSAGE,sami,lira_tpr_at_0.01_fpr,0.03922,0.009991846676165522,0.03142,0.04672,5
Citeseer,LogReg,none,test_accuracy,0.70548,0.007124394711131615,0.6987399999999999,0.71058,5
Citeseer,LogReg,none,conf_attack_auc,0.75716,0.014994765753422103,0.7455200000000001,0.76858,5
Citeseer,LogReg,none,lira_attack_auc,0.6245999999999999,0.007418894796396572,0.6188,0.62996,5
Citeseer,LogReg,none,ece_test,0.058100000000000006,0.008634523727455962,0.051660000000000005,0.06514,5
Citeseer,LogReg,none,lira_tpr_at_0.01_fpr,0.047459999999999995,0.0037017563399013723,0.0446,0.05032,5
Citeseer,MLP,none,test_accuracy,0.70412,0.012749784311901127,0.6948000000000001,0.7140670000000001,5
Citeseer,MLP,none,conf_attack_auc,0.8646,0.01403174971270512,0.8533799999999999,0.87486,5
Citeseer,MLP,none,lira_attack_auc,0.6401199999999999,0.012595118101867867,0.6286799999999999,0.6483599999999999,5
Citeseer,MLP,none,ece_test,0.1702,0.015988120589988053,0.15578,0.18056,5
Citeseer,MLP,none,lira_tpr_at_0.01_fpr,0.05696,0.005156840117746524,0.0530365,0.060880000000000004,5
Cora,GCN,advreg,test_accuracy,0.8683200000000001,0.004218649072866813,0.86462,0.8712800000000002,5
Cora,GCN,advreg,conf_attack_auc,0.5722599999999999,0.020512508379035427,0.55574,0.5874599999999999,5
Cora,GCN,advreg,lira_attack_auc,0.53248,0.013361773834337993,0.5221375,0.54292,5
