dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,attack_setting
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7355,0.000823,0.7446,0.9992,0.2547,0.7124,0.9043,0.6625,0.6491,0.6394,0.5823,0.006,0.018,0.6738,0.6476,0.6647,0.6529,0.529,0.5207,0.0068,0.015,0.0419,15.0118,5,,sami_k5
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7355,0.000823,0.7461,1.0,0.2539,0.7132,0.9197,0.6616,0.6551,0.6465,0.5935,0.006,0.015,0.6752,0.6536,0.6765,0.6582,0.541,0.5233,0.006,0.015,0.0557,12.6833,20,,sami_k20
Citeseer,GraphSAGE,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7431,0.9992,0.2562,0.7171,0.9252,0.7395,0.7325,0.7393,0.6679,0.0075,0.0308,0.7394,0.7318,0.7385,0.7322,0.595,0.5718,0.0105,0.0406,0.1386,2.7385,1,,none_k1
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7355,0.000823,0.7378,0.9872,0.2494,0.7133,0.8839,0.6617,0.6243,0.6502,0.5853,0.0,0.0,0.6672,0.6221,0.643,0.6225,0.5366,0.5244,0.0083,0.0195,0.0365,8.8303,1,,sami_k1
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7355,0.000823,0.7543,0.9992,0.2449,0.7302,0.9072,0.6585,0.6401,0.6485,0.595,0.0015,0.009,0.6782,0.6469,0.6613,0.6458,0.5412,0.5267,0.0015,0.0225,0.0572,8.7875,5,,sami_k5
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7355,0.000823,0.7506,0.9992,0.2487,0.7258,0.9246,0.6641,0.6446,0.6478,0.5875,0.0023,0.0195,0.6558,0.6491,0.6711,0.651,0.5506,0.5349,0.0045,0.021,0.0738,8.2822,20,,sami_k20
Citeseer,GraphSAGE,none,{},456,eac9960f8ba0,0.7355,0.000823,0.7476,0.9992,0.2517,0.7182,0.926,0.7907,0.7536,0.7793,0.704,0.0015,0.0173,0.7907,0.7558,0.7788,0.7539,0.5953,0.5654,0.027,0.0548,0.1277,2.8706,1,,none_k1
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.7355,0.000823,0.7491,0.985,0.2359,0.712,0.8876,0.6635,0.6228,0.6529,0.598,0.0,0.0,0.664,0.6311,0.6506,0.6187,0.5406,0.5319,0.024,0.0285,0.0255,7.9887,1,,sami_k1
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.7355,0.000823,0.7513,0.9992,0.2479,0.7128,0.9118,0.6817,0.6341,0.6638,0.6033,0.0023,0.0173,0.6506,0.6326,0.6604,0.642,0.5501,0.5353,0.0045,0.0338,0.0453,7.9272,5,,sami_k5
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.7355,0.000823,0.7528,0.9992,0.2464,0.7154,0.9247,0.6873,0.6446,0.6637,0.6056,0.0083,0.021,0.648,0.6424,0.6752,0.6469,0.5549,0.5331,0.0113,0.0368,0.0666,8.8118,20,,sami_k20
