dataset,n,spearman_lte_abs_phi2_gap,pvalue_gap,spearman_lte_phi2,pvalue_phi2,mean_risk_member,mean_risk_nonmember,test_acc
Cora,2708,0.07663338197928646,0.0003573461364136363,-0.25001522228570594,3.1801228709352574e-32,0.3337973952293396,0.3238159120082855,0.8845798707294552
Citeseer,3327,0.11804724068836223,1.001900900056997e-09,-0.2549488649508234,9.136854552790382e-41,0.3903351426124573,0.39230409264564514,0.7422990232907588
Actor,7600,-0.00722093669192845,0.5734761167593173,-0.009295392033235029,0.46865522632040774,0.5562868118286133,0.5583043694496155,0.3375
