dataset,model,pred_risk,lte_hurt_conf,lte_hurt_acc,sami_vs_none_conf,sami_vs_none_acc,n_seeds
Cora,GCN,0.589422109884268,-0.00541999999999998,0.11042000000000003,0.014680000000000026,-0.0031600000000000074,5
Cora,GraphSAGE,0.5352819296690726,-0.0023399999999999866,0.10877999999999999,0.07638,0.0036999999999999924,5
synthetic_low_sparse,GCN,0.5854472809920469,-0.015700000000000002,0.07997999999999998,-0.013979999999999982,-0.007499999999999995,5
synthetic_low_sparse,GraphSAGE,0.533549989095617,0.02028000000000002,0.08125999999999997,0.04886,-0.011240000000000005,5
