dataset,defense,seed,plant_canaries,acc,pop_lira,pop_tpr01,topdecile_lira,n_topdecile,n_shadows,canary_lira,n_canaries
Citeseer,none,42,True,0.7370398196844478,0.580423705421377,0.032306536438767845,0.6006537560133218,134,4,0.5880447032306536,64
Citeseer,none,123,True,0.7370398196844478,0.597943282788456,0.03906836964688205,0.6042128000316344,152,4,0.5867181630353118,64
Citeseer,none,456,True,0.7430503380916604,0.5982794270138031,0.048835462058602556,0.6209333799903256,146,4,0.6054540758827949,64
Citeseer,sami,42,True,0.734785875281743,0.5250143799733682,0.019534184823441023,0.5190576045392871,134,4,0.56224173553719,64
Citeseer,sami,123,True,0.7362885048835462,0.5349175106022316,0.02329075882794891,0.5512253351259442,152,4,0.5399722952667169,64
Citeseer,sami,456,True,0.7377911344853494,0.5331405466704223,0.03005259203606311,0.5401876228605539,146,4,0.5280451728024042,64
