dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds,n_shadows_run
arxiv-year,GraphSAGE,none,{},42,07773cb6cd14,0.2182,8.1e-05,0.3924,0.3933,0.393,0.0006,linkx_50_25_25_seed0,0.2498,0.6899,0.5009,0.665,0.501,0.5003,0.0012,0.0102,0.5003,0.4646,0.5016,0.665,,,0.5031,0.4445,0.0006,0.0089,0.0161,184.0323,1,,818.03,4
arxiv-year,GraphSAGE,none,{},123,07773cb6cd14,0.2182,8.1e-05,0.3971,0.3986,0.3966,-0.0005,linkx_50_25_25_seed0,0.2602,0.6928,0.5025,0.6681,0.5002,0.5001,0.0009,0.0104,0.4997,0.4654,0.5005,0.6681,,,0.5007,0.4435,0.0008,0.0096,0.0374,189.8263,1,,836.07,4
arxiv-year,GraphSAGE,none,{},456,07773cb6cd14,0.2182,8.1e-05,0.3942,0.3947,0.3963,0.0021,linkx_50_25_25_seed0,0.259,0.6942,0.4984,0.6684,0.5016,0.5004,0.001,0.0101,0.501,0.4661,0.4987,0.6684,,,0.5003,0.4445,0.0008,0.0093,0.0398,193.3316,1,,701.65,4
