dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,variant,phase,wall_seconds
Citeseer,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,06e54a47c487,0.7355,0.000823,0.7438,0.7398,0.9992,0.2554,random_40_20_40,0.7122,0.9184,0.6398,0.6296,0.6306,0.5725,0.003,0.0188,0.6277,0.6277,0.6292,0.6281,,,0.5512,0.5357,0.006,0.0376,0.2223,6.4583,1,,gtd,confirm,31.68
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",456,06e54a47c487,0.7355,0.000823,0.6108,0.615,0.8249,0.2141,random_40_20_40,0.5868,0.8147,0.6316,0.583,0.6395,0.5935,0.0,0.0,0.6071,0.6071,0.6152,0.5905,,,0.5287,0.5147,0.015,0.0331,0.0517,6.2966,1,,lbp,confirm,33.36
Citeseer,GraphSAGE,maskarmor,"{""top_k"": 1}",456,06e54a47c487,0.7355,0.000823,0.7476,0.7368,0.9992,0.2517,random_40_20_40,0.7182,0.8315,0.628,0.6221,0.6258,0.5,0.0,0.0,0.6258,0.6258,0.628,0.6221,,,0.6545,0.5811,0.0,0.0,0.2524,6.5624,1,,maskarmor,confirm,34.0
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,06e54a47c487,0.7355,0.000823,0.7378,0.8241,0.9677,0.2299,random_40_20_40,0.7024,0.8767,0.6519,0.6108,0.6429,0.5943,0.0,0.0,0.615,0.615,0.6512,0.6206,,,0.5365,0.5282,0.0195,0.0308,0.0487,17.3484,1,,sami_locked_cora,confirm,95.08
Citeseer,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,06e54a47c487,0.7355,0.000823,0.7483,0.8436,0.982,0.2337,random_40_20_40,0.7115,0.8829,0.6582,0.6266,0.6473,0.5935,0.0,0.0,0.6168,0.6168,0.6493,0.6334,,,0.54,0.5319,0.0248,0.0293,0.0337,18.5985,1,,sami_selected,confirm,73.89
Citeseer,GraphSAGE,none,{},789,06e54a47c487,0.7355,0.000823,0.7423,0.7429,1.0,0.2577,random_40_20_40,0.7077,0.9216,0.7187,0.7243,0.7282,0.6536,0.0,0.0105,0.6289,0.6289,0.7186,0.7228,,,0.599,0.574,0.015,0.0533,0.1459,5.6536,1,,none,confirm,26.51
Citeseer,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",789,06e54a47c487,0.7355,0.000823,0.7468,0.7368,1.0,0.2532,random_40_20_40,0.7088,0.9133,0.6139,0.6364,0.6057,0.5485,0.0,0.0105,0.6266,0.6266,0.6586,0.6371,,,0.552,0.5331,0.0068,0.0293,0.2216,5.4615,1,,gtd,confirm,25.92
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",789,06e54a47c487,0.7355,0.000823,0.6281,0.603,0.846,0.2179,random_40_20_40,0.5943,0.8261,0.6218,0.6003,0.6298,0.574,0.0,0.0,0.6089,0.6089,0.6206,0.6153,,,0.5362,0.5259,0.0023,0.0233,0.0597,6.3467,1,,lbp,confirm,25.63
Citeseer,GraphSAGE,maskarmor,"{""top_k"": 1}",789,06e54a47c487,0.7355,0.000823,0.7423,0.7429,1.0,0.2577,random_40_20_40,0.7077,0.8257,0.6371,0.6401,0.6289,0.5,0.0,0.0,0.6289,0.6289,0.6371,0.6401,,,0.6667,0.6003,0.0,0.0,0.2577,4.869,1,,maskarmor,confirm,25.53
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",789,06e54a47c487,0.7355,0.000823,0.7295,0.8195,0.9677,0.2382,random_40_20_40,0.6896,0.8756,0.6258,0.6153,0.6153,0.571,0.0,0.0,0.6191,0.6191,0.6475,0.6251,,,0.5356,0.527,0.0023,0.0195,0.031,14.2539,1,,sami_locked_cora,confirm,59.3
Citeseer,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",789,06e54a47c487,0.7355,0.000823,0.7551,0.8466,0.9857,0.2307,random_40_20_40,0.7238,0.8914,0.633,0.6183,0.6225,0.5778,0.0,0.0,0.6153,0.6153,0.6541,0.6281,,,0.5354,0.5267,0.0068,0.018,0.0329,9.5567,1,,sami_selected,confirm,49.31
Citeseer,GraphSAGE,none,{},1024,06e54a47c487,0.7355,0.000823,0.7265,0.7504,0.9992,0.2727,random_40_20_40,0.6796,0.9206,0.7188,0.7318,0.7313,0.6536,0.0023,0.015,0.6364,0.6364,0.7186,0.731,,,0.6056,0.5755,0.021,0.0466,0.1591,4.1204,1,,none,confirm,20.45
Citeseer,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",1024,06e54a47c487,0.7355,0.000823,0.728,0.7489,0.9985,0.2705,random_40_20_40,0.6726,0.9106,0.6664,0.6431,0.6046,0.5372,0.0045,0.0135,0.6352,0.6352,0.6952,0.6446,,,0.5653,0.5466,0.003,0.018,0.2418,5.827,1,,gtd,confirm,22.45
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",1024,06e54a47c487,0.7355,0.000823,0.6153,0.6075,0.8482,0.2329,random_40_20_40,0.5839,0.8188,0.6345,0.6161,0.6392,0.5883,0.0,0.0,0.6165,0.6165,0.6343,0.6191,,,0.5421,0.5308,0.0008,0.027,0.0604,3.4071,1,,lbp,confirm,17.51
Citeseer,GraphSAGE,maskarmor,"{""top_k"": 1}",1024,06e54a47c487,0.7355,0.000823,0.7265,0.7504,0.9992,0.2727,random_40_20_40,0.6796,0.8139,0.6398,0.6401,0.6364,0.5,0.0,0.0,0.6364,0.6364,0.6398,0.6401,,,0.6689,0.598,0.0,0.0,0.2735,3.5877,1,,maskarmor,confirm,18.15
Citeseer,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",1024,06e54a47c487,0.7355,0.000823,0.722,0.8436,0.973,0.2509,random_40_20_40,0.6833,0.8626,0.6374,0.6123,0.642,0.5898,0.0,0.0,0.6255,0.6255,0.6511,0.6168,,,0.5553,0.5398,0.0135,0.0323,0.0472,11.1286,1,,sami_locked_cora,confirm,54.41
Citeseer,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.25, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",1024,06e54a47c487,0.7355,0.000823,0.734,0.8692,0.9917,0.2577,random_40_20_40,0.6967,0.8744,0.6435,0.6289,0.6489,0.5958,0.0,0.0,0.6289,0.6289,0.6529,0.6289,,,0.557,0.5451,0.0143,0.0316,0.0361,10.3997,1,,sami_selected,confirm,51.18
