dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,dp_epsilon
synthetic_high_dense,GCN,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",1024,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4928,0.4875,0.4724,0.4906,0.0,0.0,0.5318,0.5,0.5237,0.525,0.0,0.0,0.0001,0.079,
synthetic_high_dense,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7998,0.04,0.9938,0.9938,0.0,0.9935,1.0,0.5164,0.4562,0.4805,0.4813,0.0,0.0,0.5101,0.5031,0.5488,0.5281,0.0,0.025,0.1542,0.4212,
synthetic_high_dense,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.5073,0.4813,0.5148,0.475,0.0,0.0,0.5156,0.5312,0.4872,0.5062,0.0,0.0125,0.1809,0.4076,
synthetic_high_dense,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.7998,0.04,0.9938,1.0,0.0062,0.9938,0.9945,0.4888,0.475,0.5344,0.5188,0.0,0.0,0.5189,0.4969,0.5027,0.5219,0.0,0.0063,0.1803,0.4117,
synthetic_high_dense,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.7998,0.04,0.9875,0.9938,0.0062,0.9874,0.9928,0.5223,0.5188,0.4761,0.4875,0.0,0.0,0.5247,0.5031,0.4587,0.4688,0.0,0.0125,0.1531,1.0062,
synthetic_high_dense,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.7998,0.04,0.9812,1.0,0.0188,0.9806,0.9995,0.5309,0.5437,0.4718,0.4813,0.0,0.0,0.4737,0.4875,0.549,0.5625,0.0,0.0,0.1353,0.4446,
synthetic_high_dense,GraphSAGE,none,{},42,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.5066,0.4813,0.5,0.5,0.0,0.0,0.5349,0.5,0.5039,0.5,0.0,0.0,0.0,0.085,
synthetic_high_dense,GraphSAGE,none,{},123,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4975,0.4813,0.5001,0.5,0.0,0.0,0.5039,0.5,0.4919,0.4844,0.0,0.0,0.0,0.0723,
synthetic_high_dense,GraphSAGE,none,{},456,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4651,0.4688,0.5031,0.5,0.0,0.0,0.4626,0.5,0.488,0.5,0.0,0.0,0.0,0.0734,
synthetic_high_dense,GraphSAGE,none,{},789,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4994,0.4938,0.4969,0.5,0.0,0.0,0.5403,0.5,0.4997,0.4844,0.0,0.0,0.0,0.0718,
synthetic_high_dense,GraphSAGE,none,{},1024,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4966,0.4875,0.4969,0.5,0.0,0.0,0.4969,0.5,0.5067,0.5,0.0,0.0,0.0,0.0716,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",42,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.5128,0.4813,0.5064,0.5,0.0,0.0,0.5556,0.5,0.5048,0.5,0.0,0.0,0.0,0.0663,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",123,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4894,0.4813,0.5126,0.5,0.0,0.0,0.4901,0.5,0.4837,0.4781,0.0,0.0,0.0,0.0641,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",456,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.5098,0.4688,0.5,0.5,0.0,0.0,0.4973,0.5,0.4871,0.5031,0.0,0.0,0.0,0.0613,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",789,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.5059,0.4938,0.4969,0.5,0.0,0.0,0.5676,0.5,0.4943,0.4781,0.0,0.0,0.0,0.0577,
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",1024,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4798,0.4875,0.5,0.5,0.0,0.0,0.4919,0.5,0.5055,0.5,0.0,0.0,0.0,0.0587,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",42,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4971,0.5,0.5181,0.5188,0.0,0.0,0.518,0.5156,0.5212,0.5125,0.0,0.0,0.0875,0.0683,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",123,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4888,0.4813,0.4899,0.4875,0.0,0.0,0.4896,0.4906,0.4858,0.475,0.0125,0.0125,0.0863,0.0684,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",456,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4734,0.4625,0.5049,0.4875,0.0063,0.0063,0.5048,0.5375,0.4968,0.5531,0.0,0.0,0.0866,0.07,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",789,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.5767,0.5563,0.5371,0.5188,0.0,0.025,0.5391,0.5,0.4996,0.475,0.0125,0.0125,0.1035,0.0708,
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",1024,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4504,0.4875,0.5263,0.5188,0.0063,0.0187,0.4732,0.4844,0.5407,0.5375,0.025,0.025,0.0942,0.069,
synthetic_high_dense,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.7998,0.04,0.85,0.8625,0.0125,0.8478,0.9727,0.5004,0.5062,0.4833,0.4875,0.0,0.0,0.4874,0.5,0.4968,0.4875,0.0,0.0063,0.1725,0.0686,
synthetic_high_dense,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.7998,0.04,0.875,0.875,0.0,0.8719,0.964,0.4869,0.4938,0.4917,0.475,0.0,0.0,0.4343,0.4656,0.4816,0.4719,0.0,0.0312,0.1897,0.0699,
synthetic_high_dense,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.7998,0.04,0.8875,0.8313,-0.0562,0.8819,0.9857,0.5186,0.4938,0.4511,0.4875,0.0,0.0,0.4653,0.475,0.4594,0.5,0.0,0.0125,0.2056,0.0675,
synthetic_high_dense,GraphSAGE,lbp,"{""scale"": 0.3}",789,eac9960f8ba0,0.7998,0.04,0.9125,0.8375,-0.075,0.9115,0.9799,0.5438,0.5062,0.4507,0.4562,0.0,0.0,0.4708,0.5031,0.4851,0.4844,0.0,0.0125,0.2259,0.0679,
synthetic_high_dense,GraphSAGE,lbp,"{""scale"": 0.3}",1024,eac9960f8ba0,0.7998,0.04,0.8875,0.8125,-0.075,0.8877,0.9824,0.5011,0.5062,0.4548,0.4562,0.0,0.0,0.4796,0.5188,0.5253,0.5375,0.0,0.0125,0.2131,0.0692,
synthetic_high_dense,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.507,0.4813,0.5,0.5,0.0,0.0,0.5326,0.5,0.5048,0.5,0.0,0.0,0.0,0.1102,
synthetic_high_dense,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.5094,0.4813,0.5031,0.5,0.0,0.0,0.5078,0.5,0.4925,0.4844,0.0,0.0,0.0,0.0825,
synthetic_high_dense,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4552,0.4688,0.5,0.5,0.0,0.0,0.5155,0.5,0.4902,0.5,0.0,0.0,0.0,0.0947,
synthetic_high_dense,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",789,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4995,0.4938,0.4969,0.5,0.0,0.0,0.5441,0.5,0.4978,0.4813,0.0,0.0,0.0,0.0762,
synthetic_high_dense,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",1024,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.4837,0.4875,0.4969,0.5,0.0,0.0,0.5076,0.5,0.5086,0.5031,0.0,0.0,0.0,0.087,
synthetic_high_dense,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7998,0.04,0.9938,0.9938,0.0,0.9935,1.0,0.5165,0.4562,0.4802,0.4813,0.0,0.0,0.5103,0.5094,0.5482,0.5312,0.0,0.025,0.1542,0.4365,
synthetic_high_dense,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.7998,0.04,1.0,1.0,0.0,1.0,1.0,0.5065,0.4813,0.5148,0.475,0.0,0.0,0.5154,0.5344,0.4875,0.5062,0.0,0.0125,0.1809,0.4032,
synthetic_high_dense,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.7998,0.04,0.9938,1.0,0.0062,0.9938,0.9945,0.4882,0.475,0.534,0.5188,0.0,0.0,0.5182,0.4969,0.5097,0.5219,0.0,0.0063,0.18,0.4624,
synthetic_high_dense,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.7998,0.04,0.9875,0.9938,0.0062,0.9874,0.9928,0.522,0.5188,0.4761,0.4875,0.0,0.0,0.5247,0.5031,0.4586,0.4688,0.0,0.0125,0.153,0.5411,
synthetic_high_dense,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.7998,0.04,0.9812,1.0,0.0188,0.9806,0.9995,0.5309,0.5437,0.4719,0.4813,0.0,0.0,0.4736,0.4875,0.552,0.5625,0.0,0.0,0.1353,0.5441,
Cora,GCN,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.7498,0.8744,0.1247,0.7294,0.9114,0.563,0.554,0.553,0.53,0.0,0.0,0.5616,0.554,0.576,0.5494,0.0092,0.0194,0.158,1.3575,
Cora,GCN,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.7359,0.879,0.1431,0.7078,0.8915,0.5608,0.5577,0.5817,0.5549,0.0,0.0,0.5782,0.5785,0.5687,0.5369,0.0028,0.0323,0.1429,1.0026,
Cora,GCN,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.7572,0.8873,0.1302,0.7425,0.9117,0.5643,0.5355,0.5716,0.5439,0.0,0.0,0.5742,0.5494,0.5593,0.5411,0.0018,0.0157,0.1829,1.1476,
Cora,GCN,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.81,0.00144,0.7516,0.8763,0.1247,0.7229,0.9191,0.5582,0.5235,0.5731,0.5392,0.0,0.0,0.5672,0.5614,0.565,0.5388,0.0129,0.024,0.1597,0.9574,
Cora,GCN,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.81,0.00144,0.7645,0.8624,0.0979,0.737,0.9067,0.559,0.5355,0.5611,0.5337,0.0,0.0,0.5625,0.5346,0.5641,0.5443,0.0046,0.0185,0.184,1.0632,
Cora,GCN,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8596,0.988,0.1283,0.8547,0.9544,0.5671,0.5633,0.5489,0.5235,0.0,0.0,0.5512,0.554,0.5561,0.5425,0.0037,0.0203,0.085,0.5113,
Cora,GCN,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8541,0.9815,0.1274,0.842,0.9508,0.572,0.5688,0.5794,0.5429,0.0,0.0157,0.5694,0.5628,0.5305,0.5143,0.0,0.0157,0.0826,0.6462,
Cora,GCN,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.8661,0.9825,0.1163,0.8619,0.9537,0.5823,0.5531,0.5854,0.5614,0.0,0.0,0.5819,0.5633,0.5304,0.5175,0.0,0.0092,0.097,0.5054,
Cora,GCN,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.81,0.00144,0.8661,0.9815,0.1154,0.844,0.9559,0.5664,0.5623,0.5716,0.5374,0.0,0.0194,0.5605,0.5642,0.5168,0.5148,0.0083,0.0175,0.1017,0.4933,
Cora,GCN,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.81,0.00144,0.8596,0.9889,0.1293,0.8453,0.9509,0.5559,0.5549,0.5626,0.5328,0.0,0.0,0.5605,0.5559,0.5432,0.5439,0.0092,0.0212,0.0832,0.722,
Cora,GCN,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.867,0.9778,0.1108,0.8583,0.9548,0.5598,0.5614,0.538,0.518,0.0,0.0,0.5425,0.542,0.5519,0.5406,0.0046,0.0157,0.0928,0.6399,
Cora,GCN,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8587,0.9778,0.1191,0.8493,0.956,0.5663,0.5596,0.5706,0.5346,0.0,0.0148,0.5618,0.56,0.5325,0.5148,0.0,0.0203,0.0955,0.5928,
Cora,GCN,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.868,0.9705,0.1025,0.8622,0.9591,0.5693,0.542,0.5726,0.5476,0.0,0.0,0.5725,0.5577,0.5264,0.5175,0.0,0.0102,0.1029,0.5911,
Cora,GCN,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.81,0.00144,0.8661,0.9705,0.1043,0.8466,0.9596,0.5535,0.5457,0.5575,0.5291,0.0,0.0203,0.5462,0.5457,0.5142,0.518,0.0102,0.0212,0.1094,0.6039,
Cora,GCN,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.81,0.00144,0.8587,0.976,0.1173,0.8446,0.9523,0.5484,0.5411,0.5474,0.5208,0.0,0.0,0.5443,0.5466,0.5351,0.5388,0.0092,0.0175,0.0919,0.6172,
Cora,GCN,sami_temp_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 1.5, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",42,eac9960f8ba0,0.81,0.00144,0.8717,0.9852,0.1136,0.867,0.9865,0.5718,0.5688,0.5595,0.5319,0.0009,0.0055,0.5638,0.5508,0.544,0.5351,0.0111,0.0185,0.0464,0.3502,
Cora,GCN,sami_temp_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 1.5, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",123,eac9960f8ba0,0.81,0.00144,0.8633,0.988,0.1247,0.8529,0.9839,0.5523,0.5577,0.5721,0.5402,0.0009,0.0185,0.5652,0.5623,0.542,0.5245,0.0092,0.0231,0.0413,0.4694,
Cora,GCN,sami_temp_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 1.5, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",456,eac9960f8ba0,0.81,0.00144,0.8717,0.9834,0.1117,0.8647,0.9866,0.5817,0.5633,0.5539,0.5282,0.0,0.0074,0.5742,0.5563,0.5224,0.5143,0.0018,0.0111,0.0446,0.3323,
Cora,GCN,sami_temp_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 1.5, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",789,eac9960f8ba0,0.81,0.00144,0.8717,0.9834,0.1117,0.8519,0.9877,0.5872,0.5429,0.5654,0.5365,0.0009,0.0028,0.5617,0.5572,0.5232,0.5199,0.0028,0.012,0.0662,0.269,
Cora,GCN,sami_temp_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 1.5, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",1024,eac9960f8ba0,0.81,0.00144,0.8633,0.9871,0.1237,0.8497,0.986,0.574,0.5568,0.5515,0.53,0.0018,0.0092,0.5783,0.5633,0.5289,0.53,0.0037,0.0212,0.0264,0.2815,
Cora,GCN,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",42,eac9960f8ba0,0.81,0.00144,0.8735,0.9843,0.1108,0.8688,0.9833,0.5612,0.566,0.5569,0.5272,0.0,0.0037,0.5586,0.5554,0.5415,0.5277,0.0046,0.0259,0.0526,0.6579,
Cora,GCN,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",123,eac9960f8ba0,0.81,0.00144,0.8624,0.9852,0.1228,0.8543,0.9796,0.5421,0.5596,0.5668,0.5374,0.0009,0.0148,0.5555,0.5642,0.5496,0.5222,0.0055,0.0259,0.0428,0.6275,
Cora,GCN,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",456,eac9960f8ba0,0.81,0.00144,0.8698,0.9806,0.1108,0.862,0.9835,0.5881,0.5697,0.5563,0.5309,0.0,0.0055,0.5736,0.5582,0.5324,0.5314,0.0009,0.0092,0.0308,0.6,
Cora,GCN,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",789,eac9960f8ba0,0.81,0.00144,0.8698,0.9825,0.1127,0.8494,0.9851,0.5912,0.5642,0.5698,0.5457,0.0,0.0028,0.5498,0.5554,0.5192,0.5083,0.0037,0.0139,0.0344,0.629,
Cora,GCN,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",1024,eac9960f8ba0,0.81,0.00144,0.8661,0.9778,0.1117,0.8547,0.9815,0.5787,0.5642,0.5468,0.5254,0.0,0.012,0.5706,0.5656,0.5197,0.5226,0.0018,0.0231,0.0558,0.6135,
Cora,GraphSAGE,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.7719,0.8929,0.121,0.7529,0.9181,0.5654,0.5549,0.5623,0.5346,0.0,0.0,0.5663,0.5605,0.595,0.5646,0.0175,0.0305,0.1774,2.6955,
Cora,GraphSAGE,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.7618,0.904,0.1422,0.7359,0.8982,0.5684,0.5559,0.5914,0.5614,0.0,0.0,0.5902,0.5762,0.6202,0.5656,0.0083,0.0277,0.1692,3.0843,
Cora,GraphSAGE,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.7765,0.9095,0.133,0.7598,0.9167,0.5699,0.5328,0.5801,0.5448,0.0,0.0,0.5814,0.5522,0.5757,0.5434,0.0046,0.0231,0.1914,2.6584,
Cora,GraphSAGE,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.81,0.00144,0.7784,0.8994,0.121,0.7497,0.9254,0.5796,0.5633,0.5825,0.5512,0.0,0.0,0.5774,0.5596,0.6125,0.5748,0.0102,0.0286,0.1839,2.7831,
Cora,GraphSAGE,sami_no_lte,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.81,0.00144,0.771,0.8901,0.1191,0.7424,0.9109,0.5735,0.5522,0.5788,0.5494,0.0,0.0,0.5791,0.5508,0.6081,0.5766,0.0148,0.024,0.1826,2.6517,
Cora,GraphSAGE,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.88,0.9972,0.1173,0.8733,0.9579,0.5861,0.5679,0.5621,0.5291,0.0,0.0,0.5611,0.5572,0.5585,0.5434,0.0055,0.0148,0.0963,1.1242,
Cora,GraphSAGE,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8624,0.9963,0.1339,0.8484,0.9485,0.59,0.5753,0.597,0.5466,0.0,0.0,0.591,0.5817,0.5524,0.5272,0.0055,0.0323,0.0843,1.1231,
Cora,GraphSAGE,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.8735,0.9963,0.1228,0.8642,0.9534,0.5932,0.5679,0.5965,0.5669,0.0,0.0,0.5942,0.5697,0.5376,0.5208,0.0046,0.0157,0.0916,1.1245,
Cora,GraphSAGE,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.81,0.00144,0.8781,0.9954,0.1173,0.8586,0.9574,0.58,0.5669,0.5878,0.5466,0.0,0.0,0.5769,0.5725,0.5302,0.5208,0.012,0.0295,0.1013,1.1119,
Cora,GraphSAGE,sami_no_adv,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.81,0.00144,0.8652,0.9945,0.1293,0.8479,0.9538,0.5703,0.5623,0.5809,0.5429,0.0,0.0,0.5712,0.5674,0.5458,0.5392,0.0111,0.0175,0.0847,1.2749,
Cora,GraphSAGE,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8873,0.9945,0.1071,0.8821,0.9556,0.5794,0.5623,0.5542,0.5217,0.0,0.0,0.5544,0.5554,0.5507,0.536,0.0055,0.0157,0.0971,2.1992,
Cora,GraphSAGE,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8809,0.9954,0.1145,0.8706,0.9551,0.5723,0.5633,0.5854,0.5402,0.0,0.0,0.5765,0.5711,0.5433,0.5208,0.0046,0.0388,0.0975,2.6755,
Cora,GraphSAGE,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.8809,0.9926,0.1117,0.874,0.9551,0.5858,0.5512,0.5923,0.5633,0.0,0.0,0.5883,0.5637,0.5323,0.5189,0.0009,0.0129,0.0992,2.4812,
Cora,GraphSAGE,sami_no_gate,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.81,0.00144,0.8873,0.9954,0.108,0.8687,0.9639,0.574,0.5633,0.5801,0.5485,0.0,0.0,0.5679,0.5651,0.5231,0.518,0.0194,0.0286,0.1113,2.5691,
