variant,test_accuracy,conf_attack_auc,lira_attack_auc,conf_tpr_at_0.01_fpr,gap_attack_auc
advreg,0.8770199999999999,0.6195,0.5424599999999999,0.02012,0.5614
gtd,0.8759,0.58472,0.53824,0.01386,0.56188
lbp,0.7071,0.5614,0.5168200000000001,0.00296,0.55254
maskarmor,0.877,0.56224,0.57964,0.0,0.5615
none,0.877,0.65008,0.56672,0.02034,0.5615
sami_best,0.8734999999999999,0.5625,0.5096,0.0031399999999999996,0.55446
