dataset,model,y_true,y_pred,h_target,rho_target
synth_h0.6_r0.02_snr1.0,GCN,0.5624315443592552,0.4805132321738702,0.6,0.02
synth_h0.6_r0.02_snr1.0,GraphSAGE,0.459552495697074,0.5152386733118021,0.6,0.02
synth_h0.6_r0.02_snr2.5,GCN,0.55210452198404,0.46785771552432676,0.6,0.02
synth_h0.6_r0.02_snr2.5,GraphSAGE,0.4539586919104992,0.5025831566622586,0.6,0.02
synth_h0.6_r0.04_snr0.25,GCN,0.5081364418713816,0.5571974636481318,0.6,0.04
synth_h0.6_r0.04_snr0.25,GraphSAGE,0.5761226725082147,0.5897743000141837,0.6,0.04
synth_h0.6_r0.04_snr1.0,GCN,0.5041464559536848,0.47170185996721103,0.6,0.04
synth_h0.6_r0.04_snr1.0,GraphSAGE,0.4642857142857143,0.5042786963332629,0.6,0.04
synth_h0.6_r0.04_snr2.5,GCN,0.4936629635424816,0.4587548916330123,0.6,0.04
synth_h0.6_r0.04_snr2.5,GraphSAGE,0.46878422782037243,0.4913317279990642,0.6,0.04
synth_h0.8_r0.005_snr0.25,GCN,0.5127914254420278,0.5842463864573141,0.8,0.005
synth_h0.8_r0.005_snr0.25,GraphSAGE,0.5557815678297606,0.6042350596803578,0.8,0.005
synth_h0.8_r0.005_snr1.0,GCN,0.4646768893756846,0.499243234688618,0.8,0.005
synth_h0.8_r0.005_snr1.0,GraphSAGE,0.4731653888280394,0.5192319079116617,0.8,0.005
synth_h0.8_r0.005_snr2.5,GCN,0.4627601314348302,0.4865009283163956,0.8,0.005
synth_h0.8_r0.005_snr2.5,GraphSAGE,0.46303395399780944,0.5064896015394393,0.8,0.005
synth_h0.8_r0.01_snr0.25,GCN,0.5185416992645908,0.5634731429430923,0.8,0.01
synth_h0.8_r0.01_snr0.25,GraphSAGE,0.5895008605851979,0.573158815033482,0.8,0.01
synth_h0.8_r0.01_snr1.0,GCN,0.4662807072445627,0.47765062780733614,0.8,0.01
synth_h0.8_r0.01_snr1.0,GraphSAGE,0.5360663432952589,0.48733629989772587,0.8,0.01
synth_h0.8_r0.01_snr2.5,GCN,0.47250039117508996,0.46500091148265094,0.8,0.01
synth_h0.8_r0.01_snr2.5,GraphSAGE,0.5145908308558911,0.4746865835730406,0.8,0.01
synth_h0.8_r0.02_snr0.25,GCN,0.5165858238147395,0.5469275710146817,0.8,0.02
synth_h0.8_r0.02_snr0.25,GraphSAGE,0.5421686746987951,0.56470487546244,0.8,0.02
synth_h0.8_r0.02_snr1.0,GCN,0.49921764982005945,0.45913012389872354,0.8,0.02
synth_h0.8_r0.02_snr1.0,GraphSAGE,0.5138867156939446,0.4769074283464818,0.8,0.02
synth_h0.8_r0.02_snr2.5,GCN,0.4910812079486778,0.44616119520505626,0.8,0.02
synth_h0.8_r0.02_snr2.5,GraphSAGE,0.5156861211078079,0.46393849965281453,0.8,0.02
synth_h0.8_r0.04_snr0.25,GCN,0.513065248005007,0.5269049244597334,0.8,0.04
synth_h0.8_r0.04_snr0.25,GraphSAGE,0.5156470035988108,0.5516531514754615,0.8,0.04
synth_h0.8_r0.04_snr1.0,GCN,0.5046158660616492,0.4379822852878474,0.8,0.04
synth_h0.8_r0.04_snr1.0,GraphSAGE,0.51302613049601,0.46273051230357554,0.8,0.04
synth_h0.8_r0.04_snr2.5,GCN,0.5035596933187295,0.42550544562271875,0.8,0.04
synth_h0.8_r0.04_snr2.5,GraphSAGE,0.4921373806915975,0.4502536726384469,0.8,0.04
