dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds,n_shadows_run
ogbn-arxiv,GraphSAGE,none,{},42,07773cb6cd14,0.6542,8.1e-05,0.6629,0.6693,0.6699,0.007,ogb_official,0.3953,0.9569,0.5221,0.6524,0.5131,0.5083,0.0079,0.0438,0.5035,0.554,0.5622,0.6524,,,0.5049,0.4493,0.001,0.0077,0.0554,226.7628,1,,1033.48,4
ogbn-arxiv,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""noise_scale"": 0.1, ""budget_B"": 0.0}",42,07773cb6cd14,0.6542,8.1e-05,0.6385,0.6485,0.6459,0.0073,ogb_official,0.3425,0.8217,0.5134,0.6524,0.4945,0.5039,0.0013,0.0075,0.5037,0.5468,0.5316,0.6524,,,0.5024,0.4505,0.0011,0.0116,0.286,295.1838,1,,906.6,4
ogbn-arxiv,GraphSAGE,none,{},123,07773cb6cd14,0.6542,8.1e-05,0.6661,0.6686,0.6618,-0.0043,ogb_official,0.3837,0.9569,0.5302,0.6496,0.5068,0.5022,0.0073,0.0387,0.4978,0.5476,0.5573,0.6496,,,0.5013,0.4498,0.0011,0.0105,0.0391,84.5699,1,,377.74,4
ogbn-arxiv,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""noise_scale"": 0.1, ""budget_B"": 0.0}",123,07773cb6cd14,0.6542,8.1e-05,0.6481,0.6547,0.6484,0.0002,ogb_official,0.3492,0.8132,0.5409,0.6495,0.4794,0.4919,0.0009,0.0072,0.5001,0.5451,0.5505,0.6496,,,0.5029,0.4511,0.0015,0.0115,0.2755,95.6097,1,,421.46,4
ogbn-arxiv,GraphSAGE,none,{},456,07773cb6cd14,0.6542,8.1e-05,0.6691,0.6726,0.6718,0.0027,ogb_official,0.391,0.9565,0.5299,0.6513,0.5114,0.5069,0.0067,0.0408,0.5014,0.5531,0.5629,0.6513,,,0.5028,0.4488,0.0012,0.0105,0.0597,93.6011,1,,431.0,4
ogbn-arxiv,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""warmup_epochs"": 3, ""entropy_coef"": 0.05, ""noise_scale"": 0.1, ""budget_B"": 0.0}",456,07773cb6cd14,0.6542,8.1e-05,0.6413,0.648,0.6482,0.007,ogb_official,0.3533,0.8214,0.5283,0.6514,0.4881,0.4999,0.001,0.007,0.5035,0.5474,0.552,0.6513,,,0.5032,0.449,0.001,0.0117,0.2847,116.8502,1,,523.57,4
