dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds
Chameleon,GraphSAGE,none,{},789,06e54a47c487,0.235,0.006966,0.4786,0.4989,0.9638,0.4852,random_40_20_40,0.4745,0.7753,0.8881,0.8233,0.8866,0.8178,0.0362,0.1142,0.7426,0.7426,0.889,0.8123,,,0.64,0.6158,0.0329,0.0735,0.2611,8.0306,1,,38.71
Chameleon,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",789,06e54a47c487,0.235,0.006966,0.5159,0.5033,0.9583,0.4424,random_40_20_40,0.5143,0.7504,0.7783,0.7398,0.7424,0.6641,0.0066,0.0395,0.7212,0.7212,0.7755,0.7377,,,0.5961,0.5774,0.0011,0.0351,0.3616,7.5771,1,,38.75
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",789,06e54a47c487,0.235,0.006966,0.4193,0.3714,0.8057,0.3864,random_40_20_40,0.4181,0.6832,0.7489,0.6937,0.7462,0.6883,0.0,0.0,0.6932,0.6932,0.7482,0.7091,,,0.558,0.5483,0.0022,0.034,0.1916,7.6882,1,,38.83
Chameleon,GraphSAGE,maskarmor,"{""top_k"": 1}",789,06e54a47c487,0.235,0.006966,0.4786,0.4989,0.9638,0.4852,random_40_20_40,0.4745,0.6739,0.746,0.7453,0.7426,0.5,0.0,0.0,0.7426,0.7426,0.746,0.7453,,,0.7796,0.6844,0.0,0.0,0.5214,7.2636,1,,37.99
Chameleon,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",789,06e54a47c487,0.235,0.006966,0.4929,0.6835,0.9221,0.4292,random_40_20_40,0.4917,0.743,0.7802,0.7322,0.7762,0.7091,0.0,0.0,0.7146,0.7146,0.7811,0.7278,,,0.5559,0.5456,0.0088,0.0362,0.1525,27.5935,1,,138.85
Chameleon,GraphSAGE,none,{},1024,06e54a47c487,0.235,0.006966,0.4215,0.422,0.9605,0.539,random_40_20_40,0.4168,0.7475,0.8884,0.8288,0.8787,0.8244,0.0132,0.0681,0.7695,0.7695,0.8898,0.8332,,,0.6192,0.6026,0.0077,0.0571,0.3174,10.5521,1,,43.56
Chameleon,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",1024,06e54a47c487,0.235,0.006966,0.4544,0.422,0.9561,0.5016,random_40_20_40,0.4445,0.7062,0.7756,0.7552,0.7779,0.7113,0.011,0.0351,0.7508,0.7508,0.8041,0.7552,,,0.5739,0.5576,0.0044,0.0132,0.4186,11.6194,1,,48.97
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",1024,06e54a47c487,0.235,0.006966,0.3524,0.389,0.8079,0.4555,random_40_20_40,0.35,0.6414,0.7863,0.7355,0.7782,0.7157,0.0,0.0,0.7278,0.7278,0.783,0.7289,,,0.5447,0.5329,0.0033,0.0165,0.2613,9.7525,1,,46.42
Chameleon,GraphSAGE,maskarmor,"{""top_k"": 1}",1024,06e54a47c487,0.235,0.006966,0.4215,0.422,0.9605,0.539,random_40_20_40,0.4168,0.6362,0.7721,0.7695,0.7695,0.5,0.0,0.0,0.7695,0.7695,0.7721,0.7695,,,0.7608,0.6674,0.0,0.0,0.5785,8.7002,1,,44.65
Chameleon,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",1024,06e54a47c487,0.235,0.006966,0.4325,0.6769,0.9166,0.4841,random_40_20_40,0.4322,0.7148,0.8001,0.7409,0.799,0.7267,0.0,0.034,0.742,0.742,0.7991,0.742,,,0.5506,0.5488,0.0033,0.0252,0.2165,30.4671,1,,146.72
