dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,phase,variant
Cora,GraphSAGE,maskarmor,"{""top_k"": 1}",123,06e54a47c487,0.81,0.00144,0.8707,1.0,0.1293,0.8586,0.9134,0.5636,0.5568,0.5646,0.5,0.0,0.0,0.5646,0.5646,0.5636,0.5568,,,0.5766,0.5346,0.0,0.0,0.1293,0.9117,1,,confirm,maskarmor
Cora,GraphSAGE,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""noise_scale"": 0.0}",123,06e54a47c487,0.81,0.00144,0.8689,1.0,0.1311,0.8571,0.9792,0.6241,0.6057,0.6198,0.5679,0.0018,0.0231,0.5656,0.5656,0.6085,0.602,,,0.5609,0.5452,0.012,0.0249,0.0418,2.2552,1,,confirm,advreg
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,06e54a47c487,0.81,0.00144,0.8698,0.9834,0.1136,0.8617,0.9591,0.5664,0.5466,0.5675,0.542,0.0,0.0,0.5568,0.5568,0.5477,0.5605,,,0.4951,0.4922,0.0102,0.0185,0.1248,2.771,1,,confirm,sami_best
Cora,GraphSAGE,none,{},456,06e54a47c487,0.81,0.00144,0.8846,1.0,0.1154,0.8768,0.9861,0.6535,0.65,0.6456,0.5854,0.0,0.0259,0.5577,0.5577,0.6533,0.6491,,,0.5587,0.5439,0.0102,0.0268,0.0428,0.919,1,,confirm,none
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,06e54a47c487,0.81,0.00144,0.8827,0.9991,0.1163,0.8746,0.9834,0.5818,0.5577,0.5765,0.5392,0.0,0.0148,0.5582,0.5582,0.5643,0.5734,,,0.5271,0.5185,0.0055,0.0157,0.0848,0.9095,1,,confirm,gtd
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",456,06e54a47c487,0.81,0.00144,0.7239,0.8135,0.0896,0.7007,0.8999,0.5485,0.5503,0.5531,0.5346,0.0,0.0,0.5448,0.5448,0.5755,0.566,,,0.5001,0.5046,0.0157,0.0231,0.1513,0.9123,1,,confirm,lbp
Cora,GraphSAGE,maskarmor,"{""top_k"": 1}",456,06e54a47c487,0.81,0.00144,0.8846,1.0,0.1154,0.8768,0.9268,0.5628,0.5633,0.5577,0.5,0.0,0.0,0.5577,0.5577,0.5628,0.5633,,,0.5793,0.5494,0.0,0.0,0.1154,0.9163,1,,confirm,maskarmor
Cora,GraphSAGE,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""noise_scale"": 0.0}",456,06e54a47c487,0.81,0.00144,0.8846,0.9991,0.1145,0.875,0.9862,0.6207,0.6159,0.6155,0.5623,0.0,0.0175,0.5572,0.5572,0.6205,0.6085,,,0.5153,0.5157,0.0083,0.0286,0.0414,2.1509,1,,confirm,advreg
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",789,06e54a47c487,0.81,0.00144,0.8744,0.9797,0.1053,0.8548,0.9582,0.5522,0.5263,0.5711,0.5476,0.0,0.0,0.5526,0.5526,0.5515,0.5503,,,0.5003,0.5069,0.0111,0.0111,0.1393,2.7231,1,,confirm,sami_best
Cora,GraphSAGE,none,{},789,06e54a47c487,0.81,0.00144,0.8744,1.0,0.1256,0.8576,0.9879,0.6424,0.6482,0.6635,0.6057,0.0,0.0185,0.5628,0.5628,0.6422,0.6482,,,0.5636,0.5471,0.0083,0.0305,0.0464,0.9162,1,,confirm,none
