dataset,model,defense,mean_none,mean_defense,diff,p_value
ogbn-arxiv,GCN,epsd,0.57426,0.58522,0.010960000000000015,0.05448933895024709
ogbn-arxiv,GraphSAGE,epsd,0.53408,0.594,0.059919999999999994,1.0661487112105008e-05
