dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,cand
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.2982,0.005,0.7312,0.825,0.0938,0.7306,0.9115,0.5232,0.4938,0.552,0.525,0.0,0.0,0.5024,0.5062,,,0.4875,0.4844,0.0,0.0,0.0587,0.1149,1,,sami_b
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.2982,0.005,0.8125,0.8562,0.0437,0.811,0.9339,0.5307,0.5312,0.5153,0.5125,0.0,0.0,0.536,0.5062,,,0.4909,0.5094,0.0,0.0125,0.1122,0.1143,1,,sami_b
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",456,eac9960f8ba0,0.2982,0.005,0.7125,0.85,0.1375,0.7043,0.9069,0.626,0.5188,0.534,0.4938,0.0,0.0,0.5689,0.4938,,,0.4731,0.5219,0.0,0.025,0.0993,0.1152,1,,sami_b
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",789,eac9960f8ba0,0.2982,0.005,0.725,0.8625,0.1375,0.7242,0.8804,0.5737,0.5563,0.6074,0.575,0.0,0.0,0.5802,0.55,,,0.4666,0.4469,0.0,0.0,0.1,0.1179,1,,sami_b
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",1024,eac9960f8ba0,0.2982,0.005,0.6375,0.9,0.2625,0.6343,0.8741,0.6373,0.65,0.6373,0.5938,0.0,0.0,0.6273,0.6188,,,0.5404,0.5469,0.0063,0.0063,0.0913,0.115,1,,sami_b
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.2982,0.005,0.7188,0.8313,0.1125,0.7174,0.9086,0.525,0.4938,0.5541,0.525,0.0,0.0,0.4946,0.4938,,,0.4876,0.4844,0.0,0.0,0.0625,0.1261,1,,sami_c
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.2982,0.005,0.8063,0.8562,0.05,0.8045,0.9347,0.5279,0.5312,0.517,0.5125,0.0,0.0,0.5288,0.4938,,,0.4942,0.5125,0.0,0.0187,0.1101,0.1308,1,,sami_c
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",456,eac9960f8ba0,0.2982,0.005,0.7188,0.8375,0.1188,0.71,0.9068,0.6127,0.5188,0.5304,0.4938,0.0,0.0,0.6187,0.5125,,,0.4666,0.5188,0.0,0.025,0.0715,0.1138,1,,sami_c
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",789,eac9960f8ba0,0.2982,0.005,0.725,0.8625,0.1375,0.7242,0.8809,0.576,0.5625,0.6086,0.575,0.0,0.0,0.5799,0.5563,,,0.4671,0.4437,0.0,0.0,0.0883,0.114,1,,sami_c
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",1024,eac9960f8ba0,0.2982,0.005,0.6375,0.9062,0.2688,0.6343,0.8749,0.6412,0.65,0.6402,0.5938,0.0,0.0,0.631,0.6188,,,0.5437,0.5469,0.0063,0.0063,0.0737,0.1129,1,,sami_c
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25, ""entropy_coef"": 0.15}",42,eac9960f8ba0,0.2982,0.005,0.75,0.9062,0.1562,0.7486,0.9238,0.5721,0.5563,0.5777,0.55,0.0,0.0,0.5656,0.55,,,0.5101,0.5125,0.0,0.0063,0.0489,0.1625,1,,sami_d
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25, ""entropy_coef"": 0.15}",123,eac9960f8ba0,0.2982,0.005,0.8125,0.925,0.1125,0.81,0.942,0.5583,0.525,0.5496,0.5125,0.0,0.0,0.5459,0.5125,,,0.4872,0.5156,0.0,0.0125,0.0902,0.3601,1,,sami_d
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25, ""entropy_coef"": 0.15}",456,eac9960f8ba0,0.2982,0.005,0.7625,0.9313,0.1688,0.7546,0.921,0.634,0.5312,0.5489,0.5,0.0,0.0,0.6155,0.525,,,0.4744,0.5219,0.0,0.0187,0.0485,0.1663,1,,sami_d
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25, ""entropy_coef"": 0.15}",789,eac9960f8ba0,0.2982,0.005,0.7438,0.9,0.1562,0.742,0.9012,0.5806,0.5875,0.6133,0.5813,0.0,0.0,0.5799,0.5875,,,0.4705,0.45,0.0,0.0063,0.0663,0.1623,1,,sami_d
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25, ""entropy_coef"": 0.15}",1024,eac9960f8ba0,0.2982,0.005,0.7,0.9375,0.2375,0.6989,0.8999,0.6376,0.6062,0.6467,0.5813,0.0,0.0,0.5594,0.5875,,,0.5377,0.5375,0.0063,0.0063,0.0472,0.163,1,,sami_d
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 1.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7438,0.875,0.1312,0.7417,0.9293,0.5675,0.5625,0.5623,0.5437,0.0,0.0,0.5523,0.5188,,,0.4989,0.5,0.0,0.0063,0.0427,0.1639,1,,sami_e
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 1.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.8,0.9062,0.1062,0.7978,0.9522,0.5672,0.5125,0.5432,0.5,0.0,0.0,0.5653,0.5062,,,0.4925,0.5125,0.0,0.025,0.0701,0.1625,1,,sami_e
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 1.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.2982,0.005,0.75,0.8875,0.1375,0.7405,0.9268,0.6319,0.4938,0.5444,0.5125,0.0,0.0,0.6034,0.4688,,,0.4621,0.5156,0.0,0.0125,0.0388,0.1651,1,,sami_e
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 1.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",789,eac9960f8ba0,0.2982,0.005,0.75,0.8938,0.1438,0.7485,0.9063,0.5801,0.5875,0.6104,0.5938,0.0,0.0,0.5534,0.55,,,0.482,0.4594,0.0,0.0312,0.0897,0.1604,1,,sami_e
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 1.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",1024,eac9960f8ba0,0.2982,0.005,0.6875,0.9125,0.225,0.6862,0.9107,0.6412,0.6438,0.6426,0.5813,0.0,0.0,0.5982,0.6,,,0.5359,0.5437,0.0063,0.0063,0.1147,0.1612,1,,sami_e
