dataset,constructor,mean,std,count,lo,hi
Chameleon,confidence,0.12079251320892323,0.04273121649095429,5,0.08333695051358997,0.1582480759042565
Chameleon,degree,-0.002111348381292516,0.01058945963093905,5,-0.011393419000562179,0.007170722237977148
Chameleon,entropy,-0.11894382889559289,0.037384890753640355,5,-0.15171313046175783,-0.08617452732942796
Chameleon,lte,-0.06733007404502377,0.06982349990644675,5,-0.1285330701943877,-0.00612707789565984
Chameleon,random,-0.01399062418674768,0.032789936913558575,5,-0.04273227113007315,0.014751022756577793
Chameleon,train_nbr,-0.010504739176585542,0.08960399357231441,5,-0.08904610248438004,0.06803662413120896
Citeseer,confidence,-0.35113896171462666,0.01983689521007879,5,-0.3685267670063189,-0.3337511564229344
Citeseer,degree,0.18786589059614742,0.007636464531945869,5,0.18117223430607815,0.19455954688621668
Citeseer,entropy,0.3511654408487459,0.020024247840441635,5,0.3336134137358898,0.368717467961602
Citeseer,lte,0.27718417194230194,0.012993936522228045,5,0.26579448440156644,0.28857385948303743
Citeseer,random,-0.0018133520757105386,0.013419281383925443,5,-0.013575870826103198,0.00994916667468212
Citeseer,train_nbr,-0.021706811582951548,0.02156668718955013,5,-0.040610846396232275,-0.00280277676967082
Cora,confidence,-0.3330532863692075,0.021610203565857137,5,-0.3519954649681065,-0.3141111077703085
Cora,degree,0.1326609779135926,0.007263633329077067,5,0.12629412258171244,0.13902783324547277
Cora,entropy,0.33156847400276074,0.02089208170132922,5,0.3132557569715053,0.34988119103401616
Cora,lte,0.2519523612581169,0.014607167775683806,5,0.2391486141768889,0.2647561083393448
Cora,random,-0.00486073543026193,0.019388993467341277,5,-0.02185593753430551,0.01213446667378165
Cora,train_nbr,-0.008503753552018694,0.031466291587399914,5,-0.03608517421180703,0.019077667107769643
