dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8809,0.8579,1.0,0.1191,random_40_20_40,0.8756,0.9802,0.6572,0.6528,0.6455,0.5854,0.0,0.0102,0.5596,0.5596,0.6569,0.6482,,,0.5663,0.5471,0.0129,0.0397,0.0549,0.8884,1,,,,,,,,none
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8707,0.8745,1.0,0.1293,random_40_20_40,0.8586,0.9783,0.6531,0.6482,0.6439,0.578,0.0,0.0212,0.5646,0.5646,0.6528,0.6445,,,0.5776,0.5512,0.0139,0.0323,0.0623,0.872,1,,,,,,,,none
Cora,GraphSAGE,none,{},456,eac9960f8ba0,0.81,0.00144,0.8846,0.8875,1.0,0.1154,random_40_20_40,0.8768,0.9861,0.6535,0.65,0.6456,0.5854,0.0,0.0259,0.5577,0.5577,0.6533,0.6491,,,0.5587,0.5439,0.0102,0.0268,0.0428,1.1304,1,,,,,,,,none
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.81,0.00144,0.7054,0.6734,0.8052,0.0997,random_40_20_40,0.6803,0.8974,0.5716,0.554,0.5734,0.5466,0.0,0.0,0.5499,0.5499,0.5713,0.554,,,0.5208,0.5088,0.0046,0.0203,0.1419,0.841,1,,812.4,1.0,,0.3,1.0,2708.0,lbp_strong
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.81,0.00144,0.7184,0.7306,0.8098,0.0914,random_40_20_40,0.6922,0.8958,0.5584,0.5466,0.5472,0.5162,0.0,0.0,0.5457,0.5457,0.5591,0.542,,,0.5301,0.5162,0.0065,0.0222,0.1461,0.8606,1,,812.4,1.0,,0.3,1.0,2708.0,lbp_strong
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.81,0.00144,0.7239,0.7122,0.8135,0.0896,random_40_20_40,0.7007,0.8999,0.5485,0.5503,0.5531,0.5346,0.0,0.0,0.5448,0.5448,0.5755,0.566,,,0.5001,0.5046,0.0157,0.0231,0.1513,0.8207,1,,812.4,1.0,,0.3,1.0,2708.0,lbp_strong
Cora,GraphSAGE,lbp,"{""scale"": 0.12}",42,eac9960f8ba0,0.81,0.00144,0.8707,0.8487,0.9982,0.1274,random_40_20_40,0.8635,0.9475,0.6055,0.5762,0.5982,0.5614,0.0,0.0,0.5637,0.5637,0.592,0.5706,,,0.5246,0.512,0.0037,0.0092,0.1592,0.8426,1,,324.96,1.0,,0.12,1.0,2708.0,lbp_eq
Cora,GraphSAGE,lbp,"{""scale"": 0.12}",123,eac9960f8ba0,0.81,0.00144,0.868,0.8727,0.9945,0.1265,random_40_20_40,0.8581,0.9447,0.5837,0.5743,0.5754,0.5309,0.0,0.0166,0.5633,0.5633,0.5712,0.5642,,,0.5323,0.5208,0.0129,0.0222,0.1473,0.9019,1,,324.96,1.0,,0.12,1.0,2708.0,lbp_eq
Cora,GraphSAGE,lbp,"{""scale"": 0.12}",456,eac9960f8ba0,0.81,0.00144,0.8781,0.8764,0.9926,0.1145,random_40_20_40,0.8672,0.9524,0.5763,0.5512,0.581,0.5429,0.0,0.0,0.5572,0.5572,0.5668,0.5753,,,0.5041,0.5092,0.0102,0.0157,0.1658,0.8456,1,,324.96,1.0,,0.12,1.0,2708.0,lbp_eq
Cora,GraphSAGE,memguard,"{""max_l1"": 0.2}",42,eac9960f8ba0,0.81,0.00144,0.8809,0.8579,1.0,0.1191,random_40_20_40,0.8756,0.9649,0.63,0.6076,0.6278,0.5697,0.0028,0.0194,0.5596,0.5596,0.6251,0.6122,,,0.5372,0.5263,0.0055,0.0185,0.1173,3.4689,1,,965.4893,1.0,,0.0509,,,memguard
Cora,GraphSAGE,memguard,"{""max_l1"": 0.2}",123,eac9960f8ba0,0.81,0.00144,0.8707,0.8745,1.0,0.1293,random_40_20_40,0.8586,0.9649,0.6341,0.6076,0.6326,0.5799,0.0074,0.0166,0.5646,0.5646,0.6301,0.6094,,,0.5561,0.5365,0.0065,0.0203,0.1178,3.5384,1,,966.6485,1.0,,0.051,,,memguard
Cora,GraphSAGE,memguard,"{""max_l1"": 0.2}",456,eac9960f8ba0,0.81,0.00144,0.8846,0.8875,1.0,0.1154,random_40_20_40,0.8768,0.9715,0.6413,0.5965,0.6384,0.5854,0.0046,0.0083,0.5577,0.5577,0.6411,0.6159,,,0.5201,0.5134,0.0018,0.0083,0.1305,3.2502,1,,968.9182,1.0,,0.0511,,,memguard
