dataset,model,defense,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,attack_auc_mean,attack_auc_std,attack_tpr01_mean,attack_tpr05_mean,attack_adv_mean,thresh_auc_mean,thresh_auc_std,shadow_auc_mean,shadow_auc_std,shadow_tpr01_mean,shadow_tpr05_mean,shadow_adv_mean,ece_test_mean,ece_test_std,label_only_auc_mean,label_only_auc_std,label_only_tpr01_mean,label_only_tpr05_mean,label_only_adv_mean,train_ego_gap_mean,test_ego_gap_mean,ego_gap_diff_mean,dp_epsilon_mean
synthetic_low_dense,GraphSAGE,label_smoothing,1.0,0.0,1.0,0.0,0.5381,0.0546,0.0155,0.0456,0.1454,0.5452,0.0095,0.5448,0.0095,0.012,0.042,0.128,0.085,0.0081,,,,,,1.1312,1.1352,-0.004,
synthetic_low_dense,GraphSAGE,none,1.0,0.0,1.0,0.0,0.48,0.0334,0.0011,0.0164,0.0321,0.5038,0.0119,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.5181,1.6392,-0.1211,
synthetic_low_dense,LogReg,none,1.0,0.0,1.0,0.0,0.4973,0.0323,0.0196,0.0378,0.0631,0.521,0.0219,0.5164,0.0215,0.0115,0.041,0.067,0.001,0.0001,,,,,,,,,
synthetic_low_dense,MLP,none,1.0,0.0,1.0,0.0,0.4916,0.0495,0.0137,0.034,0.0772,0.5225,0.0158,0.522,0.0174,0.008,0.0375,0.0835,0.004,0.0005,,,,,,,,,
synthetic_low_medium,GCN,confidence_masking,0.812,0.0278,0.8102,0.0273,0.5474,0.0307,0.0206,0.0512,0.1575,0.5409,0.0241,0.5652,0.0225,0.016,0.0545,0.1435,0.0663,0.0195,,,,,,0.093,0.0734,0.0197,
synthetic_low_medium,GCN,dp_sgd,0.775,0.0257,0.7716,0.0262,0.5033,0.043,0.006,0.0556,0.0843,0.5252,0.0242,0.5306,0.0238,0.0145,0.0535,0.1005,0.0775,0.0217,,,,,,0.0947,0.093,0.0017,23.3572
synthetic_low_medium,GCN,dropedge,0.7945,0.0369,0.7911,0.0402,0.5367,0.0354,0.0175,0.0588,0.1131,0.5511,0.0231,0.5482,0.0247,0.025,0.055,0.12,0.155,0.0384,,,,,,0.0295,0.0246,0.0049,
synthetic_low_medium,GCN,early_stopping,0.812,0.0278,0.8102,0.0273,0.5505,0.0372,0.0256,0.0685,0.1566,0.5412,0.0246,0.5657,0.0218,0.0155,0.061,0.1405,0.0532,0.0214,,,,,,0.093,0.0734,0.0197,
synthetic_low_medium,GCN,edge_sparsification,0.813,0.0236,0.8108,0.0239,0.5725,0.0452,0.0125,0.0726,0.1671,0.5528,0.0272,0.5659,0.0228,0.0135,0.0605,0.1535,0.0609,0.0088,,,,,,0.0806,0.0648,0.0158,
synthetic_low_medium,GCN,epsd_tuned,0.8255,0.0282,0.8238,0.0272,0.5414,0.03,0.0195,0.0594,0.1348,0.5424,0.026,0.5476,0.0317,0.0125,0.0575,0.1185,0.0575,0.0166,,,,,,0.0528,0.0548,-0.002,
synthetic_low_medium,GCN,label_smoothing,0.8185,0.0305,0.8174,0.0294,0.5629,0.0401,0.0124,0.0573,0.1549,0.5469,0.0254,0.5612,0.0323,0.011,0.051,0.1395,0.0961,0.0264,,,,,,0.0525,0.0403,0.0122,
synthetic_low_medium,GCN,none,0.812,0.0278,0.8102,0.0273,0.5505,0.0372,0.0256,0.0685,0.1566,0.5412,0.0246,0.5657,0.0218,0.0155,0.061,0.1405,0.0532,0.0214,,,,,,0.093,0.0734,0.0197,
synthetic_low_medium,GraphSAGE,confidence_masking,1.0,0.0,1.0,0.0,0.4988,0.0398,0.0052,0.0251,0.0682,0.5164,0.0108,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.6765,1.9717,-0.2952,
synthetic_low_medium,GraphSAGE,dp_sgd,0.9985,0.0024,0.9985,0.0024,0.5078,0.0299,0.0011,0.017,0.0785,0.5207,0.012,0.51,0.0179,0.0,0.0,0.028,0.0015,0.0023,,,,,,2.4952,2.6669,-0.1716,23.3572
synthetic_low_medium,GraphSAGE,dropedge,1.0,0.0,1.0,0.0,0.5274,0.0348,0.002,0.006,0.0812,0.5063,0.009,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2.1064,2.2309,-0.1244,
synthetic_low_medium,GraphSAGE,early_stopping,1.0,0.0,1.0,0.0,0.5073,0.0386,0.0083,0.0219,0.0745,0.5271,0.0199,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.7874,2.028,-0.2405,
synthetic_low_medium,GraphSAGE,edge_sparsification,1.0,0.0,1.0,0.0,0.515,0.0445,0.0043,0.0201,0.1014,0.5198,0.0087,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.6824,1.9179,-0.2354,
synthetic_low_medium,GraphSAGE,epsd_tuned,0.9275,0.0148,0.9274,0.0146,0.6443,0.0345,0.0144,0.0616,0.2818,0.6369,0.0228,0.5,0.0,0.0,0.0,0.0,0.0448,0.0157,,,,,,0.134,0.2601,-0.1262,
synthetic_low_medium,GraphSAGE,label_smoothing,1.0,0.0,1.0,0.0,0.5524,0.0468,0.0062,0.0397,0.1652,0.5586,0.0378,0.5578,0.0378,0.0075,0.0375,0.16,0.0863,0.0087,,,,,,1.053,1.0645,-0.0115,
synthetic_low_medium,GraphSAGE,none,1.0,0.0,1.0,0.0,0.4998,0.038,0.0062,0.0252,0.0691,0.5164,0.0107,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.6765,1.9717,-0.2952,
synthetic_low_medium,LogReg,none,1.0,0.0,1.0,0.0,0.5222,0.0557,0.0226,0.0565,0.1061,0.5245,0.0342,0.5193,0.0333,0.0185,0.0555,0.0795,0.001,0.0001,,,,,,,,,
synthetic_low_medium,MLP,none,1.0,0.0,1.0,0.0,0.5391,0.033,0.0291,0.0724,0.1183,0.5167,0.0423,0.5184,0.0394,0.0175,0.046,0.07,0.0041,0.0007,,,,,,,,,
synthetic_low_sparse,GCN,confidence_masking,0.774,0.0202,0.7718,0.0211,0.5987,0.0299,0.0133,0.0562,0.2089,0.5758,0.03,0.6156,0.0242,0.023,0.0915,0.206,0.1029,0.0183,,,,,,0.672,0.5237,0.1483,
synthetic_low_sparse,GCN,dropedge,0.739,0.0336,0.7362,0.0346,0.5862,0.0345,0.0265,0.0855,0.2014,0.5929,0.0314,0.587,0.0285,0.027,0.0785,0.191,0.0989,0.02,,,,,,0.296,0.2407,0.0553,
synthetic_low_sparse,GCN,early_stopping,0.774,0.0202,0.7718,0.0211,0.5889,0.0312,0.0227,0.0667,0.2142,0.5761,0.0299,0.6019,0.0198,0.0195,0.081,0.1975,0.0955,0.0154,,,,,,0.672,0.5237,0.1483,
synthetic_low_sparse,GCN,edge_sparsification,0.768,0.0218,0.7662,0.0231,0.5983,0.0455,0.0114,0.0565,0.2263,0.582,0.0396,0.6018,0.022,0.018,0.077,0.213,0.1087,0.0243,,,,,,0.6255,0.5203,0.1052,
synthetic_low_sparse,GCN,epsd_tuned,0.782,0.0273,0.7804,0.0272,0.5694,0.0286,0.0051,0.0449,0.188,0.5744,0.0312,0.578,0.0251,0.0125,0.0615,0.166,0.0684,0.0195,,,,,,0.335,0.3124,0.0226,
synthetic_low_sparse,GCN,label_smoothing,0.764,0.027,0.7619,0.0292,0.6003,0.026,0.0224,0.0873,0.2248,0.5909,0.0291,0.6088,0.0208,0.015,0.0765,0.2225,0.064,0.0106,,,,,,0.3572,0.2878,0.0694,
synthetic_low_sparse,GCN,none,0.774,0.0202,0.7718,0.0211,0.5889,0.0312,0.0227,0.0667,0.2142,0.5761,0.0299,0.6019,0.0198,0.0195,0.081,0.1975,0.0955,0.0154,,,,,,0.672,0.5237,0.1483,
synthetic_low_sparse,GraphSAGE,confidence_masking,1.0,0.0,1.0,0.0,0.5282,0.0449,0.0042,0.0182,0.0929,0.5229,0.0154,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.2868,1.5333,-0.2465,
synthetic_low_sparse,GraphSAGE,dropedge,1.0,0.0,1.0,0.0,0.5041,0.0333,0.0053,0.0144,0.0427,0.5059,0.0073,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.6803,1.8511,-0.1708,
synthetic_low_sparse,GraphSAGE,early_stopping,1.0,0.0,1.0,0.0,0.4837,0.0543,0.0042,0.0236,0.0512,0.5354,0.0222,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.2442,1.5123,-0.2681,
synthetic_low_sparse,GraphSAGE,edge_sparsification,1.0,0.0,1.0,0.0,0.5385,0.0744,0.0086,0.0378,0.1105,0.5293,0.0145,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.2625,1.5011,-0.2387,
synthetic_low_sparse,GraphSAGE,epsd_tuned,0.895,0.0292,0.8942,0.0293,0.6047,0.0464,0.0231,0.0604,0.2242,0.6059,0.0277,0.5,0.0,0.0,0.0,0.0,0.0566,0.0157,,,,,,0.1359,0.2072,-0.0712,
synthetic_low_sparse,GraphSAGE,label_smoothing,1.0,0.0,1.0,0.0,0.5874,0.055,0.0144,0.0422,0.2161,0.5898,0.0451,0.5884,0.0453,0.0045,0.0385,0.204,0.0902,0.0091,,,,,,0.9515,0.9358,0.0158,
synthetic_low_sparse,GraphSAGE,none,1.0,0.0,1.0,0.0,0.5359,0.0429,0.0042,0.0234,0.1009,0.5229,0.0153,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.2868,1.5333,-0.2465,
synthetic_low_sparse,LogReg,none,1.0,0.0,1.0,0.0,0.5276,0.0371,0.0238,0.0675,0.0969,0.5294,0.0296,0.5289,0.0278,0.015,0.0375,0.064,0.0011,0.0001,,,,,,,,,
synthetic_low_sparse,MLP,none,1.0,0.0,1.0,0.0,0.5267,0.0498,0.0216,0.0728,0.1132,0.5302,0.0337,0.5331,0.0305,0.0165,0.0695,0.1015,0.0041,0.0005,,,,,,,,,
