dataset,model,defense,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,attack_auc_mean,attack_auc_std,attack_tpr01_mean,attack_tpr05_mean,attack_adv_mean,thresh_auc_mean,thresh_auc_std,shadow_auc_mean,shadow_auc_std,shadow_tpr01_mean,shadow_tpr05_mean,shadow_adv_mean,ece_test_mean,ece_test_std,label_only_auc_mean,label_only_auc_std,label_only_tpr01_mean,label_only_tpr05_mean,label_only_adv_mean,train_ego_gap_mean,test_ego_gap_mean,ego_gap_diff_mean,dp_epsilon_mean
Cora,GraphSAGE,confidence_masking,0.8805,0.004,0.8713,0.0059,0.627,0.0171,0.0134,0.0737,0.2734,0.6291,0.01,0.6291,0.01,0.0154,0.0671,0.275,0.0635,0.0046,,,,,,0.1391,0.0961,0.043,
Cora,GraphSAGE,dropedge,0.8738,0.0067,0.8637,0.0079,0.6641,0.0156,0.0154,0.0754,0.3088,0.6641,0.0099,0.6637,0.0098,0.016,0.0716,0.3057,0.0522,0.0101,,,,,,0.1918,0.181,0.0108,
Cora,GraphSAGE,early_stopping,0.8793,0.005,0.8697,0.006,0.6297,0.0182,0.014,0.0748,0.2629,0.6308,0.0108,0.6307,0.0107,0.0148,0.0701,0.2641,0.0538,0.0101,,,,,,0.1284,0.0922,0.0362,
Cora,GraphSAGE,edge_sparsification,0.8589,0.0062,0.8488,0.0063,0.6384,0.0165,0.0123,0.0735,0.2905,0.6398,0.0122,0.6393,0.0121,0.0139,0.0655,0.2954,0.0581,0.0066,,,,,,0.1652,0.1298,0.0354,
Cora,GraphSAGE,epsd_tuned,0.8758,0.0058,0.866,0.0075,0.6079,0.0196,0.0139,0.0662,0.2024,0.6088,0.0107,0.6087,0.0107,0.016,0.0646,0.2024,0.0612,0.0055,,,,,,0.0214,0.0402,-0.0188,
Cora,GraphSAGE,label_smoothing,0.8797,0.0043,0.87,0.004,0.6781,0.0183,0.0,0.0183,0.3731,0.6815,0.0097,0.6823,0.0094,0.0003,0.0174,0.3707,0.1022,0.0076,,,,,,0.1339,0.0742,0.0596,
Cora,GraphSAGE,none,0.8805,0.004,0.8713,0.0059,0.6274,0.0178,0.0128,0.0716,0.27,0.6292,0.0099,0.629,0.0099,0.0142,0.0673,0.2699,0.0496,0.0066,,,,,,0.1391,0.0961,0.043,
Cora,LogReg,none,0.742,0.0114,0.7191,0.0142,0.7234,0.0165,0.0277,0.1186,0.381,0.6773,0.01,0.7413,0.0142,0.032,0.1323,0.3863,0.0279,0.006,,,,,,,,,
Cora,MLP,none,0.7273,0.0107,0.7026,0.0124,0.7695,0.0131,0.013,0.0847,0.5413,0.7711,0.0093,0.7699,0.0093,0.0141,0.08,0.5429,0.1632,0.0112,,,,,,,,,
synthetic_high_dense,GCN,confidence_masking,1.0,0.0,1.0,0.0,0.4993,0.0513,0.0178,0.062,0.0669,0.5028,0.0334,0.5053,0.0181,0.005,0.0235,0.0295,0.0003,0.0003,,,,,,0.0,0.0,0.0,
synthetic_high_dense,GCN,dropedge,1.0,0.0,1.0,0.0,0.5075,0.0547,0.0167,0.062,0.0794,0.5093,0.0282,0.5092,0.0201,0.008,0.03,0.0375,0.0003,0.0003,,,,,,0.0,0.0,0.0,
synthetic_high_dense,GCN,early_stopping,1.0,0.0,1.0,0.0,0.4997,0.0489,0.0136,0.0693,0.0721,0.5037,0.0332,0.5066,0.0184,0.0075,0.0325,0.0475,0.0004,0.0003,,,,,,0.0,0.0,0.0,
synthetic_high_dense,GCN,edge_sparsification,1.0,0.0,1.0,0.0,0.514,0.0519,0.0092,0.067,0.1048,0.5023,0.0318,0.5132,0.0285,0.0225,0.0575,0.077,0.0011,0.0011,,,,,,0.0,0.0,0.0,
synthetic_high_dense,GCN,epsd_tuned,1.0,0.0,1.0,0.0,0.4977,0.051,0.024,0.07,0.0716,0.5045,0.0328,0.5054,0.0195,0.005,0.0285,0.0355,0.0003,0.0003,,,,,,0.0,0.0,0.0,
synthetic_high_dense,GCN,label_smoothing,1.0,0.0,1.0,0.0,0.5173,0.0495,0.0259,0.0822,0.1109,0.5139,0.0399,0.4867,0.0403,0.01,0.045,0.0475,0.0945,0.0073,,,,,,0.0,0.0001,0.0,
synthetic_high_dense,GCN,none,1.0,0.0,1.0,0.0,0.4984,0.0513,0.0178,0.0631,0.0704,0.5031,0.0335,0.5045,0.0183,0.0055,0.0275,0.0345,0.0003,0.0003,,,,,,0.0,0.0,0.0,
synthetic_high_dense,GraphSAGE,confidence_masking,1.0,0.0,1.0,0.0,0.5119,0.0238,0.0052,0.0072,0.0436,0.5047,0.0077,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0001,0.0006,-0.0005,
synthetic_high_dense,GraphSAGE,dropedge,1.0,0.0,1.0,0.0,0.5076,0.0411,0.0053,0.0104,0.0432,0.5035,0.0027,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0004,0.0004,-0.0,
synthetic_high_dense,GraphSAGE,early_stopping,1.0,0.0,1.0,0.0,0.5136,0.043,0.0096,0.0532,0.0834,0.5024,0.0275,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0008,0.0015,-0.0008,
synthetic_high_dense,GraphSAGE,edge_sparsification,1.0,0.0,1.0,0.0,0.5042,0.0254,0.0032,0.0207,0.0438,0.503,0.0132,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0001,0.0013,-0.0012,
synthetic_high_dense,GraphSAGE,epsd_tuned,1.0,0.0,1.0,0.0,0.5009,0.0219,0.0032,0.0169,0.0283,0.5047,0.0046,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0006,-0.0006,
synthetic_high_dense,GraphSAGE,label_smoothing,1.0,0.0,1.0,0.0,0.5076,0.0526,0.0154,0.0543,0.0949,0.5067,0.0361,0.5224,0.0282,0.0145,0.0495,0.085,0.0833,0.0068,,,,,,0.0384,0.0367,0.0018,
synthetic_high_dense,GraphSAGE,none,1.0,0.0,1.0,0.0,0.5131,0.0264,0.0041,0.005,0.0452,0.5047,0.0077,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0001,0.0006,-0.0005,
synthetic_high_dense,LogReg,none,1.0,0.0,1.0,0.0,0.4909,0.0579,0.0127,0.0523,0.0811,0.5237,0.0278,0.5075,0.0146,0.0075,0.021,0.024,0.001,0.0001,,,,,,,,,
synthetic_high_dense,MLP,none,1.0,0.0,1.0,0.0,0.5467,0.0248,0.0164,0.0528,0.1353,0.5383,0.0224,0.5248,0.0359,0.012,0.049,0.083,0.0043,0.0008,,,,,,,,,
synthetic_high_medium,GCN,confidence_masking,0.991,0.0066,0.9909,0.0069,0.513,0.0376,0.0133,0.0549,0.0935,0.5017,0.0292,0.499,0.0322,0.0145,0.0435,0.0555,0.0087,0.0048,,,,,,0.0178,0.0141,0.0037,
synthetic_high_medium,GCN,dp_sgd,0.9895,0.0069,0.9893,0.0073,0.509,0.0439,0.0031,0.0295,0.0868,0.5011,0.0224,0.4935,0.03,0.002,0.017,0.0545,0.0082,0.0048,,,,,,0.0204,0.023,-0.0025,23.3572
synthetic_high_medium,GCN,dropedge,0.9915,0.0071,0.9915,0.0071,0.503,0.0511,0.0162,0.0594,0.0836,0.4999,0.0333,0.5046,0.0329,0.0185,0.053,0.0595,0.0112,0.0043,,,,,,0.0113,0.0116,-0.0003,
synthetic_high_medium,GCN,early_stopping,0.9915,0.0071,0.9914,0.0075,0.5108,0.043,0.0192,0.062,0.0934,0.5001,0.0299,0.5033,0.0326,0.0185,0.0525,0.0575,0.0085,0.004,,,,,,0.018,0.0126,0.0054,
synthetic_high_medium,GCN,edge_sparsification,0.987,0.0082,0.9873,0.008,0.5242,0.0439,0.0223,0.0691,0.1078,0.5024,0.0315,0.5089,0.034,0.0175,0.0535,0.0665,0.0124,0.0063,,,,,,0.0153,0.0138,0.0014,
synthetic_high_medium,GCN,epsd_tuned,0.991,0.0081,0.991,0.0083,0.5063,0.0403,0.0072,0.0401,0.0863,0.4979,0.0255,0.4954,0.0286,0.0135,0.0465,0.05,0.0071,0.004,,,,,,0.0091,0.0134,-0.0043,
synthetic_high_medium,GCN,label_smoothing,0.994,0.0052,0.9939,0.0052,0.4947,0.0444,0.005,0.0554,0.0774,0.4942,0.0339,0.5062,0.0341,0.017,0.0435,0.071,0.1092,0.0111,,,,,,0.0066,0.0086,-0.002,
synthetic_high_medium,GCN,none,0.991,0.0066,0.9909,0.0069,0.5065,0.0402,0.0163,0.05,0.0869,0.5011,0.029,0.4987,0.032,0.014,0.0465,0.0535,0.0079,0.004,,,,,,0.0178,0.0141,0.0037,
synthetic_high_medium,GraphSAGE,confidence_masking,0.996,0.0032,0.9959,0.0033,0.5108,0.029,0.0154,0.0325,0.0765,0.5066,0.0125,0.5115,0.0311,0.004,0.033,0.063,0.0038,0.0025,,,,,,0.0877,0.106,-0.0183,
synthetic_high_medium,GraphSAGE,dp_sgd,0.996,0.0032,0.9958,0.0036,0.4961,0.0112,0.0064,0.0251,0.007,0.5,0.0035,0.4975,0.0171,0.001,0.0135,0.018,0.0042,0.0035,,,,,,0.1879,0.1372,0.0507,23.3572
synthetic_high_medium,GraphSAGE,dropedge,1.0,0.0,1.0,0.0,0.5192,0.0399,0.0164,0.0413,0.0769,0.5165,0.0181,0.5,0.0,0.0,0.0,0.0,0.0,0.0001,,,,,,0.2694,0.3226,-0.0533,
synthetic_high_medium,GraphSAGE,early_stopping,0.997,0.0026,0.9969,0.0027,0.529,0.0444,0.0181,0.0497,0.1032,0.5071,0.0275,0.5113,0.0328,0.013,0.045,0.055,0.0032,0.0028,,,,,,0.079,0.0725,0.0065,
synthetic_high_medium,GraphSAGE,edge_sparsification,0.992,0.0063,0.9917,0.0067,0.5065,0.0354,0.006,0.0233,0.0778,0.5099,0.0101,0.5126,0.0242,0.004,0.0285,0.06,0.0076,0.0056,,,,,,0.1389,0.1608,-0.0219,
synthetic_high_medium,GraphSAGE,epsd_tuned,0.994,0.0039,0.9938,0.0045,0.513,0.0393,0.0072,0.0368,0.095,0.5162,0.0332,0.5167,0.0344,0.0045,0.031,0.072,0.0059,0.0035,,,,,,0.0104,0.0586,-0.0481,
synthetic_high_medium,GraphSAGE,label_smoothing,0.998,0.0026,0.9979,0.0027,0.5114,0.0482,0.0143,0.0438,0.1052,0.5201,0.0296,0.5173,0.0316,0.007,0.04,0.0965,0.0856,0.0092,,,,,,0.2914,0.284,0.0074,
synthetic_high_medium,GraphSAGE,none,0.996,0.0032,0.9959,0.0033,0.5107,0.0312,0.0174,0.0266,0.075,0.5066,0.0125,0.5119,0.0318,0.007,0.032,0.062,0.0038,0.0025,,,,,,0.0877,0.106,-0.0183,
synthetic_high_medium,LogReg,none,1.0,0.0,1.0,0.0,0.523,0.0396,0.0279,0.0742,0.1023,0.5198,0.0343,0.5041,0.0159,0.011,0.0285,0.034,0.001,0.0002,,,,,,,,,
synthetic_high_medium,MLP,none,1.0,0.0,1.0,0.0,0.4969,0.0294,0.0218,0.0648,0.0787,0.5044,0.026,0.5043,0.0261,0.015,0.055,0.071,0.0039,0.0004,,,,,,,,,
synthetic_high_sparse,GCN,confidence_masking,0.945,0.0108,0.9446,0.0109,0.5225,0.0449,0.0073,0.0592,0.113,0.53,0.0284,0.5151,0.027,0.023,0.0755,0.0775,0.0398,0.0099,,,,,,0.3652,0.3065,0.0587,
synthetic_high_sparse,GCN,dropedge,0.942,0.0148,0.9412,0.015,0.5325,0.0569,0.0125,0.056,0.1202,0.5362,0.0329,0.5466,0.0299,0.0265,0.0875,0.1075,0.0307,0.0055,,,,,,0.2465,0.2556,-0.0091,
synthetic_high_sparse,GCN,early_stopping,0.9465,0.012,0.9462,0.0122,0.5214,0.0479,0.0052,0.055,0.1112,0.5265,0.0305,0.5211,0.0341,0.0165,0.069,0.087,0.0376,0.0102,,,,,,0.3603,0.3107,0.0495,
