dataset,defense,seed,acc,boundary_auroc,mean_sigma_member,mean_sigma_nonmember,n_nodes_scored,mean_queries_per_node
Cora,none,42,0.8827331486611265,0.46773750000000003,69.96650390625,67.21230712890625,400,11.14
Cora,none,123,0.8725761772853186,0.45535,71.76473510742187,67.32478637695313,400,11.02
Cora,none,456,0.8827331486611265,0.4227375,74.87641235351562,65.33052734375,400,10.72
Cora,sami,42,0.8725761772853186,0.479375,70.21202514648438,68.28790405273438,400,10.93
Cora,sami,123,0.8670360110803325,0.45056250000000003,68.92609619140624,62.875234375,400,11.38
Cora,sami,456,0.8707294552169899,0.4011125,68.29553100585937,55.209351806640626,400,11.65
