dataset,homophily,density,regime,gcn_conf,sage_conf,gap_gcn_minus_sage,gcn_acc,sage_acc
Citeseer,0.7355,0.000823,feature_mixed,0.64096,0.74098,-0.10002,0.71706,0.7400599999999999
Cora,0.8100000000000002,0.00144,near_chance,0.58116,0.65008,-0.06891999999999998,0.86538,0.877
PubMed,0.8024000000000001,0.00022799999999999999,near_chance,0.49878,0.50872,-0.009939999999999949,0.86316,0.8745799999999999
synthetic_high_dense,0.7998,0.04,near_chance,0.50386,0.49304000000000003,0.01081999999999994,1.0,1.0
synthetic_low_medium,0.2999,0.015,structure_amplified,0.5580999999999999,0.51746,0.0406399999999999,0.8062400000000001,1.0
synthetic_low_sparse,0.2982,0.005,structure_amplified,0.587,0.5348200000000001,0.05217999999999989,0.7725,1.0
