seed,acc,frac_prot,conf_auc_pop,conf_auc_unprot,conf_auc_prot,n_unprot_train,n_unprot_test
42,0.8328716528162512,0.40066469719350073,0.4729352052922314,0.6270110488951105,0.5229355855021047,548,730
123,0.827331486611265,0.40029542097488924,0.49298910638602633,0.6443929401419508,0.5401261691042621,549,725
456,0.8374884579870729,0.40066469719350073,0.4896742146955083,0.6384204620010588,0.5683260507698711,543,727
