,Acc,Acc,Acc,LiRA,LiRA,LiRA
,mean,std,count,mean,std,count
tag,,,,,,
harp,0.6933666666666667,0.011840021584064378,5,0.5103282,0.0077601444058790795,5
lbp,0.3459,0.011806071884133747,5,0.5026084749999999,0.0016030428364500469,5
none,0.8752333333333333,0.005851875292967574,5,0.5149380277777778,0.005613984431725175,5
