dataset,model,defense,seed,lambda_epsd,ablation,kl_loss_ep1,kl_loss_final,model_sha256,prediction_sha256
synthetic_low_sparse,GraphSAGE,epsd_tuned,5000,1.0,none,0.4042,0.2296,02420f2343cf03e543fec2e0c800023bbcd6cc288d56a6c88c2437adc740ecee,33ff1cc1162c745d9d186cc517e7e5fff7e6eafec59a5c63cdbaba4a4bab777b
synthetic_low_sparse,GraphSAGE,epsd_tuned,7777,1.0,none,0.3448,0.2112,c4143da20d722f3ee3f6d1512c7831fd48d4af83783c6bac0735b95920427a8b,629b7acd8e42f7c5546ab60b3e643bbeeba72b078d4638bdb9b078cf6e620780
synthetic_low_sparse,GraphSAGE,epsd_tuned,9999,1.0,none,0.5221,0.2293,ce0851d9bd5f03a37f1ce12d67bdb82f0c0d2bb1af92377a036ca9ebd497e78e,07666a23d18f3282e13fe840e034d997ee304fc12914521fc7c8ee27064e3793
synthetic_low_medium,GCN,epsd_tuned,42,1.0,none,0.186,0.1535,f9f8ba33867007c1d10fe063d1749589bd77bcacac12e004ab8637aba8f12de8,0aa818e3aecd483f1cb249d06946ac909f50edb3fdf484ec256b228e8dcc5d11
synthetic_low_medium,GCN,epsd_tuned,123,1.0,none,0.1095,0.1263,02a4bf613bb805f0f7f096415a561259a8acaa32b2aff2346d3c71eaa403341d,ce4ca5f35e3075f57933263b77e96d950c7dd937257ccd326afea9ff5b376bd2
synthetic_low_medium,GCN,epsd_tuned,456,1.0,none,0.1252,0.1701,dbb2b4fe214c8b28d631cbf635132f61801b20553bbd2d3b39ef3b9291785e22,df67e653ffc15877cdba07f6b084658555f9594b2d50b5b3fbbcf1224853b6b2
synthetic_low_medium,GCN,epsd_tuned,789,1.0,none,0.1049,0.1483,8c843768890a578b854d3a3842f02b87af2bbb67a86012dd3b2061f8b7bdf245,f7161db06ecc832776d8ea49b8b6c1a0bba432f571918475a624acdbe79d788b
synthetic_low_medium,GCN,epsd_tuned,1024,1.0,none,0.1146,0.1507,a1709e933d629b09b68794f6833e374a36e3ccd7887069f7af7d93ef007562fb,7005a07383bcc6fc93c64ea10a3ad30e49c36ab33e0700d5e9658bb7576989dd
synthetic_low_medium,GCN,epsd_tuned,2024,1.0,none,0.1204,0.1377,06d9d87208ac78150871d046af2c63f282939d44caf3b764b60286d638392160,edcc3c4b7c801fb61ee7a4217b6154a35302f94daf5b7ca157979a36e7b9df4d
synthetic_low_medium,GCN,epsd_tuned,3141,1.0,none,0.1016,0.1654,0c448653d1851b174b051ea991a9856d4d252c9749b788f9f1b9643f15e8769f,0ceac5647b8fb9cf2fca5b7ca9439b68cb42ab26d9627689e110eb9aefa08e1e
synthetic_low_medium,GCN,epsd_tuned,5000,1.0,none,0.1257,0.1336,8f5b780c0f1aed1eb75779af6d8d8ef920c69831b185f0dc32e4d83554ddd049,1c9d64162ed2320b899bfa812eeec67b7ef3ee7c44481a4473a4c49425a9bc86
synthetic_low_medium,GCN,epsd_tuned,7777,1.0,none,0.1311,0.1776,65571bee968b64fff8986bca84c00dbc572c78713401de42f5f7b79cc063bc83,010276843b07e2a567744d43b7d39f0acd9665e9bb21ad22530c91e17cafe418
synthetic_low_medium,GCN,epsd_tuned,9999,1.0,none,0.1348,0.1391,e075e11400edf588b97cb999488bbd8e90f547d27728cbaea6e25d8e3d16543d,7814a9eca4bc3c5643d03c33b69aeba7a4488641dc976d6f82fedb6ba32eaf70
synthetic_low_medium,GraphSAGE,epsd_tuned,42,1.0,none,0.2377,0.2622,9af74d4b87b6776d8851c7fa5ea8e851cb9c9a168b044821d5fda09341b6e451,0b0ab2cc5a16f293110a90edd2ca4f55fcfd3feccf97d40bec7904fd9c5e40b5
synthetic_low_medium,GraphSAGE,epsd_tuned,123,1.0,none,0.2009,0.2356,4d1d5ef00c1f5d81955da92bb87d7597cc17368e8559375ae8756c4651ec36aa,605b3a4841b2105000ddccb3bf18462465bf454cc8491a85d3b778bb867de10e
synthetic_low_medium,GraphSAGE,epsd_tuned,456,1.0,none,0.2413,0.2553,dcda370e5fdaa2d8a676a8bfecc18a3a0d8795e32b784c714e79eabc9a9b35e0,46b060a3396adfdfa73f90dd2ec26a6c1a0d8ba89991b85e3adec3132feeafb3
synthetic_low_medium,GraphSAGE,epsd_tuned,789,1.0,none,0.2426,0.2824,7250713fee9c6277064a9eeadeeacc6c3969bf7e2842b63dd591e9d6c4bdfdee,3cfe1551bdee46876ece43c9eef6af1d0baa575ef8a5b668b1cd096815bf0eff
synthetic_low_medium,GraphSAGE,epsd_tuned,1024,1.0,none,0.3134,0.2236,8969abc2e8f9e1151b0eb6a1ed118c565fb4879575e09ee4a122f72089a39c7f,e3ba450f690bd468c1f0f9942b8cc281ad8848029878365bed7a200277d8b3b1
synthetic_low_medium,GraphSAGE,epsd_tuned,2024,1.0,none,0.2212,0.2326,e0855e4875728eed55f96347d021da6e40a7a99a005c43672f6d9ff747770be7,54ecce253acc321531a46f2c0b4bca476f8cdf38eb7cdce6d4237565186e0a2c
synthetic_low_medium,GraphSAGE,epsd_tuned,3141,1.0,none,0.2736,0.2164,a09bc8780a13b20606a740b387d39d4e2d2b2db4c2df9d27f0857a709b8d624a,15a5d131d264936c02bec39eafb0c47d993ec74f339955b7a9856841724c3eec
synthetic_low_medium,GraphSAGE,epsd_tuned,5000,1.0,none,0.2517,0.2694,13c66b77f84ddcf9376e1a205e984937b2c661e3e61ac910eae233094e7c2736,a36a9d897cbabef1a527dd0ff54d6420055154444c27f300f1522b935d1726f1
synthetic_low_medium,GraphSAGE,epsd_tuned,7777,1.0,none,0.2836,0.2727,b8862728a8cd191f3bb363f7bf074770198e9a380b7f2e8e81959057a866684b,92908b27b0b81efc8f882b8f3b30b77c2bdcb893de2656bc3deeba98437780b5
synthetic_low_medium,GraphSAGE,epsd_tuned,9999,1.0,none,0.3672,0.212,3559da61d10a5be1b8d50d6561c01ad5cfde4ba5b3f6a3ee304bf21ac13cba19,0748c48400853a0b6c6f735cb37ff8ddc759717721ef14faf22428470a4c90da
synthetic_low_dense,GCN,epsd_tuned,42,1.0,none,0.0538,0.1186,90a97824778f54fe534ee64793cd10a32503078d71b8ed71d8a31b732a7f1d9c,151ae4aa9f0c09a50f4cf9c06bcbf5e7691614f94915d97789405bbcb4f2e7d1
synthetic_low_dense,GCN,epsd_tuned,123,1.0,none,0.0359,0.0897,8c24a422173ac45fc14f76d6bfa3b5329a79db6338d0f526844c2af717577c2b,abbe1000a2f0fc1c8a293cbc25f2e5f322352fa63fc08f35e1e1a961cc88bedc
synthetic_low_dense,GCN,epsd_tuned,456,1.0,none,0.0344,0.1062,4f1df89b0cac9c1c68fd40e61a3f5fe44bf94e326c0b3d1c99918b70553bdcbe,4575d9f34d4266bf51b91d8fb8e87c46aca4dcb9c4cd6da31d66633f7411bdc2
synthetic_low_dense,GCN,epsd_tuned,789,1.0,none,0.0295,0.1074,e76a113c7e462757503cf3d05ee984069ea321b239264cc338797084f657fb80,87275f53309020b27d9d3b94e4636da702c8a3096a8f96855781dee3cd4dfc19
synthetic_low_dense,GCN,epsd_tuned,1024,1.0,none,0.0367,0.1074,9ba9d96e1a26eaae5f88ecef34c50e62a3434c4d0c1a2d21d0cb5030390fc60e,51585bbba322b76aadad85bdd775f9bc2b69731b910415da63197c10e5d5603c
synthetic_low_dense,GCN,epsd_tuned,2024,1.0,none,0.0405,0.1286,291ff63c058953442fbf360b20f2570401c5c529bf6266217e544220cd3b9337,cf467f2a510762a484cdb2a1047768b06ac344ede37bbc466c469203dca6948e
synthetic_low_dense,GCN,epsd_tuned,3141,1.0,none,0.0329,0.1557,3ea542a877215b5a593a74a5f73c3323269f0e039d8c8d36b4743822bd37ebed,6d942ccf499e4a17fe2805fbd472b223b590ecf70d5afd01d0a520fdc2a672c5
synthetic_low_dense,GCN,epsd_tuned,5000,1.0,none,0.0398,0.0941,a4be57ffeb5675d3f55a63a436f2a9a00f55e0402c08909590551332b13e9e30,180566963140d237635af860cbcc0cc7fd207c0e2df330520624d3a9e5f5722b
synthetic_low_dense,GCN,epsd_tuned,7777,1.0,none,0.043,0.1047,2f0b9756546c5d5a96a73dcce650cbf426761baf42d5be1736045866bb5231da,f4c746d02c4179e5e6ce039fa938dd778ab48d8434292f0cd1732bdf225f77f9
synthetic_low_dense,GCN,epsd_tuned,9999,1.0,none,0.0413,0.1114,91356ad5082f5ff516c98feb5602d2ad576674c4b434ee08361b3f7b92075c8e,6b768133858f12c4462d77da5542ace65e06794f2adcb3d002f7b7d7f88b0464
synthetic_low_dense,GraphSAGE,epsd_tuned,42,1.0,none,0.1766,0.2815,01e41eb7f08865cfe69ffc5b16ed50ef5f7483f588a284f3506402b80048a9d8,430da4fee3b3fe2ef7517e122889cf0bb489d161aff374d04da2fd3c02e1b49d
synthetic_low_dense,GraphSAGE,epsd_tuned,123,1.0,none,0.1642,0.2772,3613c2a7fd9753c7d386bd8e0d1c3bd3754983a78e1035441f8495ff976cf6c2,92014e1a108528623e428b891b09bb45a62739645ceb6f362e760414548cbb4f
synthetic_low_dense,GraphSAGE,epsd_tuned,456,1.0,none,0.1806,0.291,e4c293e41c7c07b6a8e5354bcca878d32e9ad2a2e6c1dd43b27c57db2bb32c97,56a07a2c50c5c9c2c916996b48e199a8b27eb587a6cbc49d020794e00a1ced3a
synthetic_low_dense,GraphSAGE,epsd_tuned,789,1.0,none,0.2026,0.2847,e0f747cd223a6131cd8e99947b4f90b0f8de6f5bfc37a322f3059cd0eefb55e3,b630374767f017971577c75e4da483918b10cb52b310aa21e328d20f50b42c5c
synthetic_low_dense,GraphSAGE,epsd_tuned,1024,1.0,none,0.2299,0.2743,48406a888ce0cdc426234931c11b3f882f53bf87b3fdb2e679b344653c37cdd1,8043c37da91401a114516024409d71ce18d39a6549b84910e03dfcfe867c6c73
synthetic_low_dense,GraphSAGE,epsd_tuned,2024,1.0,none,0.1581,0.2486,d764c799591c58a90259190cadff97d3ba40e53e641d938150d2bd98e3ae2efb,088d1c51fc6401e2ffadeb68f3b02dd6d179159163794c78c6bef911dce1db85
synthetic_low_dense,GraphSAGE,epsd_tuned,3141,1.0,none,0.218,0.252,70444e15fefc3034fca2bb729a28570a039fb8219b70859f3aec822b81684ef2,edf7dfbb4b840034f469872cbff8c43dc70e5beed12c5173ca7456f8867887a4
synthetic_low_dense,GraphSAGE,epsd_tuned,5000,1.0,none,0.2256,0.2222,165387f4462cc83b98f41486dd486ccb44b68228d0c3083a5bb8fd506dfb0e62,ab75b98c63d7f5fa71841bc4a09017296186ef6a53b19d331174da8f50abd927
synthetic_low_dense,GraphSAGE,epsd_tuned,7777,1.0,none,0.211,0.3098,5994cba9892b2f665b77c707c4207c5bca9a33b19c2ba7f78aba19845d5bc814,2883ad9906b57741301474927933eac19150b75b08da28d5f64c5491c94e33c4
synthetic_low_dense,GraphSAGE,epsd_tuned,9999,1.0,none,0.3137,0.2525,b4e2d5768c622bbfd99c9eaf8c327221ad6579002b0fa5424f0b5995f5ff9b42,9500850e0cd7159f5578f257f2a20de853a5321bf03b986664072e64a3fa8021
