tag,seed,n_sub,n_shadows,Acc,LiRA,Mass,Frac,wall
none,42,40000,2,0.823375,0.501370552734375,,,39.66
none,123,40000,2,0.83,0.5029521386718749,,,42.95
none,456,40000,2,0.8241875,0.5073793203125,,,44.26
lbp,42,40000,2,0.30525,0.501002123046875,12000.0,1.0,44.94
lbp,123,40000,2,0.306625,0.50239176171875,12000.0,1.0,43.15
lbp,456,40000,2,0.303125,0.50674261328125,12000.0,1.0,42.25
harp,42,40000,2,0.643375,0.50359950390625,4797.9,0.399825,96.09
harp,123,40000,2,0.655125,0.5043427832031251,4803.9,0.400325,96.9
harp,456,40000,2,0.6466875,0.5109566308593749,4802.4,0.4002,96.92
