tag,Acc,LiRA,Mass,Frac
harp,0.8356666666666667,0.5342333333333333,325.40000000000003,0.4005666666666667
lbp_s0.120,0.8722666666666666,0.5203666666666666,325.4,1.0
lbp_s0.300,0.7159,0.517,812.4,1.0
none,0.8787333333333334,0.5675333333333333,,
sami,0.8732000000000001,0.5110666666666667,304.2307,0.9996
