dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag,wall_seconds
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.7355,0.000823,0.716,0.8135,0.9181,0.2021,random_40_20_40,0.6882,0.8821,0.6245,0.6018,0.5852,0.5169,0.0,0.0278,0.6011,0.6011,0.6704,0.6108,,,0.5571,0.5466,0.0015,0.0128,0.0968,5.9081,1,,398.7,0.3995,0.2074,0.1198,0.3995,1329.0,lte,30.03
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.7355,0.000823,0.7183,0.7985,0.9121,0.1938,random_40_20_40,0.6863,0.8873,0.6525,0.5928,0.6024,0.5319,0.0,0.0233,0.5969,0.5969,0.6672,0.6206,,,0.5541,0.5387,0.0068,0.018,0.088,5.9935,1,,399.0,0.3998,0.1999,0.1199,0.3998,1330.0,lte,30.46
Citeseer,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",42,eac9960f8ba0,0.7355,0.000823,0.6995,0.7985,0.9346,0.2352,random_40_20_40,0.6658,0.8759,0.6681,0.6183,0.6785,0.6319,0.0,0.0,0.6176,0.6176,0.6722,0.6221,,,0.5363,0.5334,0.0015,0.006,0.1251,6.0658,1,,399.0,0.3998,0.1317,0.1199,0.3998,1330.0,random,30.98
Citeseer,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",123,eac9960f8ba0,0.7355,0.000823,0.7025,0.8075,0.9316,0.2292,random_40_20_40,0.677,0.8885,0.6476,0.5935,0.6484,0.5988,0.0,0.0203,0.6146,0.6146,0.656,0.5943,,,0.542,0.5364,0.003,0.0075,0.0975,6.3838,1,,398.4,0.3992,0.1458,0.1197,0.3992,1328.0,random,31.17
Citeseer,GraphSAGE,harp_random,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""random""}",456,eac9960f8ba0,0.7355,0.000823,0.698,0.7955,0.9316,0.2337,random_40_20_40,0.662,0.8707,0.6978,0.6251,0.6935,0.6311,0.0,0.018,0.6168,0.6168,0.6992,0.6386,,,0.5417,0.5364,0.0075,0.0135,0.1048,6.0031,1,,399.3,0.4001,0.1455,0.12,0.4001,1331.0,random,30.36
Citeseer,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",42,eac9960f8ba0,0.7355,0.000823,0.7092,0.8075,0.9354,0.2261,random_40_20_40,0.6775,0.8757,0.6456,0.586,0.6363,0.5943,0.0,0.0,0.6131,0.6131,0.6465,0.6176,,,0.5333,0.5308,0.0015,0.0165,0.0795,14.9552,1,,399.6,0.4004,0.193,0.1201,0.4004,1332.0,audit,75.55
Citeseer,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",123,eac9960f8ba0,0.7355,0.000823,0.719,0.8226,0.9376,0.2186,random_40_20_40,0.6918,0.8726,0.647,0.5898,0.6451,0.598,0.0,0.0308,0.6093,0.6093,0.6439,0.6033,,,0.5436,0.5331,0.0053,0.0143,0.0723,15.3043,1,,399.3,0.4001,0.1969,0.12,0.4001,1331.0,audit,76.47
Citeseer,GraphSAGE,harp_audit,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true, ""seed_mode"": ""audit"", ""n_rank_shadows"": 4}",456,eac9960f8ba0,0.7355,0.000823,0.716,0.8226,0.9264,0.2104,random_40_20_40,0.6851,0.8806,0.6533,0.586,0.6472,0.6048,0.0,0.009,0.6052,0.6052,0.6836,0.6349,,,0.5421,0.5308,0.0045,0.0158,0.0777,15.1071,1,,399.0,0.3998,0.1915,0.1199,0.3998,1330.0,audit,76.26
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.235,0.006966,0.4336,0.7187,0.8924,0.4588,random_40_20_40,0.4343,0.7199,0.8242,0.7278,0.8225,0.7311,0.0,0.0329,0.7294,0.7294,0.8263,0.7431,,,0.5636,0.5461,0.0033,0.0077,0.2485,11.2064,1,,273.3,0.4001,0.1208,0.12,0.4001,911.0,lte,57.13
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.235,0.006966,0.4764,0.7143,0.9001,0.4237,random_40_20_40,0.4748,0.748,0.7935,0.7025,0.7908,0.7058,0.0,0.067,0.7119,0.7119,0.7935,0.7003,,,0.5443,0.5434,0.0055,0.0132,0.2137,11.7624,1,,272.7,0.3992,0.1111,0.1198,0.3992,909.0,lte,59.9
