dataset,model,defense,seed,homophily,density,feature_snr,h_target,rho_target,conf_attack_auc,test_accuracy,is_gcn
synth_h0.2_r0.04_snr2.5,GCN,none,42,0.19987468421459198,0.04,2.5,0.2,0.04,0.5279299014238773,0.73125,1.0
synth_h0.2_r0.04_snr2.5,GCN,none,123,0.19987468421459198,0.04,2.5,0.2,0.04,0.449381943357847,0.80625,1.0
synth_h0.2_r0.04_snr2.5,GraphSAGE,none,42,0.19987468421459198,0.04,2.5,0.2,0.04,0.44906900328587074,1.0,0.0
synth_h0.2_r0.04_snr2.5,GraphSAGE,none,123,0.19987468421459198,0.04,2.5,0.2,0.04,0.5848067595055547,1.0,0.0
synth_h0.4_r0.005_snr0.25,GCN,none,42,0.39849624037742615,0.005,0.25,0.4,0.005,0.6873728680957596,0.74375,1.0
synth_h0.4_r0.005_snr0.25,GCN,none,123,0.39849624037742615,0.005,0.25,0.4,0.005,0.599749647942419,0.7125,1.0
synth_h0.4_r0.005_snr0.25,GraphSAGE,none,42,0.39849624037742615,0.005,0.25,0.4,0.005,0.7075575027382256,0.93125,0.0
synth_h0.4_r0.005_snr0.25,GraphSAGE,none,123,0.39849624037742615,0.005,0.25,0.4,0.005,0.74855265216711,0.95625,0.0
synth_h0.4_r0.005_snr1.0,GCN,none,42,0.39849624037742615,0.005,1.0,0.4,0.005,0.5930214363949303,0.825,1.0
synth_h0.4_r0.005_snr1.0,GCN,none,123,0.39849624037742615,0.005,1.0,0.4,0.005,0.4798936003755281,0.8625,1.0
synth_h0.4_r0.005_snr1.0,GraphSAGE,none,42,0.39849624037742615,0.005,1.0,0.4,0.005,0.5596933187294633,1.0,0.0
synth_h0.4_r0.005_snr1.0,GraphSAGE,none,123,0.39849624037742615,0.005,1.0,0.4,0.005,0.5244875606321389,1.0,0.0
synth_h0.4_r0.005_snr2.5,GCN,none,42,0.39849624037742615,0.005,2.5,0.4,0.005,0.5471757158504147,0.88125,1.0
synth_h0.4_r0.005_snr2.5,GCN,none,123,0.39849624037742615,0.005,2.5,0.4,0.005,0.45219840400563294,0.89375,1.0
synth_h0.4_r0.005_snr2.5,GraphSAGE,none,42,0.39849624037742615,0.005,2.5,0.4,0.005,0.5505398216241589,1.0,0.0
synth_h0.4_r0.005_snr2.5,GraphSAGE,none,123,0.39849624037742615,0.005,2.5,0.4,0.005,0.5025035205758097,1.0,0.0
synth_h0.4_r0.01_snr0.25,GCN,none,42,0.39974936842918396,0.01,0.25,0.4,0.01,0.6175872320450634,0.75625,1.0
synth_h0.4_r0.01_snr0.25,GCN,none,123,0.39974936842918396,0.01,0.25,0.4,0.01,0.5961508371146925,0.7625,1.0
synth_h0.4_r0.01_snr0.25,GraphSAGE,none,42,0.39974936842918396,0.01,0.25,0.4,0.01,0.6527929901423877,0.94375,0.0
synth_h0.4_r0.01_snr0.25,GraphSAGE,none,123,0.39974936842918396,0.01,0.25,0.4,0.01,0.6934751994992958,0.98125,0.0
synth_h0.4_r0.01_snr1.0,GCN,none,42,0.39974936842918396,0.01,1.0,0.4,0.01,0.5136911281489593,0.85625,1.0
synth_h0.4_r0.01_snr1.0,GCN,none,123,0.39974936842918396,0.01,1.0,0.4,0.01,0.5113440776091378,0.85625,1.0
synth_h0.4_r0.01_snr1.0,GraphSAGE,none,42,0.39974936842918396,0.01,1.0,0.4,0.01,0.5695509309967142,1.0,0.0
synth_h0.4_r0.01_snr1.0,GraphSAGE,none,123,0.39974936842918396,0.01,1.0,0.4,0.01,0.5604756689094038,1.0,0.0
synth_h0.4_r0.01_snr2.5,GCN,none,42,0.39974936842918396,0.01,2.5,0.4,0.01,0.5130652480050071,0.86875,1.0
synth_h0.4_r0.01_snr2.5,GCN,none,123,0.39974936842918396,0.01,2.5,0.4,0.01,0.510248787357221,0.875,1.0
synth_h0.4_r0.01_snr2.5,GraphSAGE,none,42,0.39974936842918396,0.01,2.5,0.4,0.01,0.5409951494288844,1.0,0.0
synth_h0.4_r0.01_snr2.5,GraphSAGE,none,123,0.39974936842918396,0.01,2.5,0.4,0.01,0.5438898450946643,1.0,0.0
synth_h0.4_r0.02_snr0.25,GCN,none,42,0.39974936842918396,0.02,0.25,0.4,0.02,0.47269597872007507,0.83125,1.0
synth_h0.4_r0.02_snr0.25,GCN,none,123,0.39974936842918396,0.02,0.25,0.4,0.02,0.579408543263965,0.83125,1.0
synth_h0.4_r0.02_snr0.25,GraphSAGE,none,42,0.39974936842918396,0.02,0.25,0.4,0.02,0.6302613049601001,0.96875,0.0
synth_h0.4_r0.02_snr0.25,GraphSAGE,none,123,0.39974936842918396,0.02,0.25,0.4,0.02,0.621342512908778,0.975,0.0
synth_h0.4_r0.02_snr1.0,GCN,none,42,0.39974936842918396,0.02,1.0,0.4,0.02,0.4173055859802848,0.9,1.0
synth_h0.4_r0.02_snr1.0,GCN,none,123,0.39974936842918396,0.02,1.0,0.4,0.02,0.5218275700203411,0.89375,1.0
synth_h0.4_r0.02_snr1.0,GraphSAGE,none,42,0.39974936842918396,0.02,1.0,0.4,0.02,0.49507119386637455,1.0,0.0
synth_h0.4_r0.02_snr1.0,GraphSAGE,none,123,0.39974936842918396,0.02,1.0,0.4,0.02,0.50868408699734,0.99375,0.0
synth_h0.4_r0.02_snr2.5,GCN,none,42,0.39974936842918396,0.02,2.5,0.4,0.02,0.42012204662807073,0.89375,1.0
synth_h0.4_r0.02_snr2.5,GCN,none,123,0.39974936842918396,0.02,2.5,0.4,0.02,0.4629948364888124,0.91875,1.0
synth_h0.4_r0.02_snr2.5,GraphSAGE,none,42,0.39974936842918396,0.02,2.5,0.4,0.02,0.5377875136911282,1.0,0.0
synth_h0.4_r0.02_snr2.5,GraphSAGE,none,123,0.39974936842918396,0.02,2.5,0.4,0.02,0.5043029259896731,1.0,0.0
synth_h0.4_r0.04_snr0.25,GCN,none,42,0.39974936842918396,0.04,0.25,0.4,0.04,0.5391957440150211,0.875,1.0
synth_h0.4_r0.04_snr0.25,GCN,none,123,0.39974936842918396,0.04,0.25,0.4,0.04,0.5351275230793303,0.8875,1.0
synth_h0.4_r0.04_snr0.25,GraphSAGE,none,42,0.39974936842918396,0.04,0.25,0.4,0.04,0.6150837114692537,0.99375,0.0
synth_h0.4_r0.04_snr0.25,GraphSAGE,none,123,0.39974936842918396,0.04,0.25,0.4,0.04,0.6509153497105304,0.98125,0.0
synth_h0.4_r0.04_snr1.0,GCN,none,42,0.39974936842918396,0.04,1.0,0.4,0.04,0.44374902206227507,0.9375,1.0
synth_h0.4_r0.04_snr1.0,GCN,none,123,0.39974936842918396,0.04,1.0,0.4,0.04,0.47160068846815834,0.9375,1.0
synth_h0.4_r0.04_snr1.0,GraphSAGE,none,42,0.39974936842918396,0.04,1.0,0.4,0.04,0.5205758097324362,1.0,0.0
synth_h0.4_r0.04_snr1.0,GraphSAGE,none,123,0.39974936842918396,0.04,1.0,0.4,0.04,0.4535283993115319,1.0,0.0
synth_h0.4_r0.04_snr2.5,GCN,none,42,0.39974936842918396,0.04,2.5,0.4,0.04,0.5564074479737131,0.93125,1.0
synth_h0.4_r0.04_snr2.5,GCN,none,123,0.39974936842918396,0.04,2.5,0.4,0.04,0.4900641527147551,0.9375,1.0
synth_h0.4_r0.04_snr2.5,GraphSAGE,none,42,0.39974936842918396,0.04,2.5,0.4,0.04,0.5525739320920043,1.0,0.0
synth_h0.4_r0.04_snr2.5,GraphSAGE,none,123,0.39974936842918396,0.04,2.5,0.4,0.04,0.5426380848067595,1.0,0.0
synth_h0.6_r0.005_snr0.25,GCN,none,42,0.5989974737167358,0.005,0.25,0.6,0.005,0.5815991237677984,0.825,1.0
synth_h0.6_r0.005_snr0.25,GCN,none,123,0.5989974737167358,0.005,0.25,0.6,0.005,0.5078235017994055,0.825,1.0
synth_h0.6_r0.005_snr0.25,GraphSAGE,none,42,0.5989974737167358,0.005,0.25,0.6,0.005,0.686434047879831,0.93125,0.0
synth_h0.6_r0.005_snr0.25,GraphSAGE,none,123,0.5989974737167358,0.005,0.25,0.6,0.005,0.6567047410420905,0.96875,0.0
synth_h0.6_r0.005_snr1.0,GCN,none,42,0.5989974737167358,0.005,1.0,0.6,0.005,0.5684556407447974,0.9,1.0
synth_h0.6_r0.005_snr1.0,GCN,none,123,0.5989974737167358,0.005,1.0,0.6,0.005,0.41488030042246904,0.89375,1.0
synth_h0.6_r0.005_snr1.0,GraphSAGE,none,42,0.5989974737167358,0.005,1.0,0.6,0.005,0.5499921764982006,1.0,0.0
synth_h0.6_r0.005_snr1.0,GraphSAGE,none,123,0.5989974737167358,0.005,1.0,0.6,0.005,0.4794241902675638,1.0,0.0
synth_h0.6_r0.005_snr2.5,GCN,none,42,0.5989974737167358,0.005,2.5,0.6,0.005,0.5146299483648881,0.91875,1.0
synth_h0.6_r0.005_snr2.5,GCN,none,123,0.5989974737167358,0.005,2.5,0.6,0.005,0.4097950242528556,0.91875,1.0
synth_h0.6_r0.005_snr2.5,GraphSAGE,none,42,0.5989974737167358,0.005,2.5,0.6,0.005,0.4879518072289156,1.0,0.0
synth_h0.6_r0.005_snr2.5,GraphSAGE,none,123,0.5989974737167358,0.005,2.5,0.6,0.005,0.4751994992958848,1.0,0.0
synth_h0.6_r0.01_snr0.25,GCN,none,42,0.5989974737167358,0.01,0.25,0.6,0.01,0.5432639649507119,0.85625,1.0
synth_h0.6_r0.01_snr0.25,GCN,none,123,0.5989974737167358,0.01,0.25,0.6,0.01,0.5524956970740103,0.875,1.0
synth_h0.6_r0.01_snr0.25,GraphSAGE,none,42,0.5989974737167358,0.01,0.25,0.6,0.01,0.6168048818651228,0.95,0.0
synth_h0.6_r0.01_snr0.25,GraphSAGE,none,123,0.5989974737167358,0.01,0.25,0.6,0.01,0.670474104209044,0.9875,0.0
synth_h0.6_r0.01_snr1.0,GCN,none,42,0.5989974737167358,0.01,1.0,0.6,0.01,0.47535596933187296,0.9,1.0
synth_h0.6_r0.01_snr1.0,GCN,none,123,0.5989974737167358,0.01,1.0,0.6,0.01,0.5764356125801908,0.90625,1.0
synth_h0.6_r0.01_snr1.0,GraphSAGE,none,42,0.5989974737167358,0.01,1.0,0.6,0.01,0.5165075887967454,1.0,0.0
synth_h0.6_r0.01_snr1.0,GraphSAGE,none,123,0.5989974737167358,0.01,1.0,0.6,0.01,0.5442027851666406,1.0,0.0
synth_h0.6_r0.01_snr2.5,GCN,none,42,0.5989974737167358,0.01,2.5,0.6,0.01,0.4869347519949929,0.90625,1.0
synth_h0.6_r0.01_snr2.5,GCN,none,123,0.5989974737167358,0.01,2.5,0.6,0.01,0.6019402284462525,0.91875,1.0
synth_h0.6_r0.01_snr2.5,GraphSAGE,none,42,0.5989974737167358,0.01,2.5,0.6,0.01,0.5364575183852293,1.0,0.0
synth_h0.6_r0.01_snr2.5,GraphSAGE,none,123,0.5989974737167358,0.01,2.5,0.6,0.01,0.5363010483492411,1.0,0.0
synth_h0.6_r0.02_snr0.25,GCN,none,42,0.5996240377426147,0.02,0.25,0.6,0.02,0.4531372242215615,0.98125,1.0
synth_h0.6_r0.02_snr0.25,GCN,none,123,0.5996240377426147,0.02,0.25,0.6,0.02,0.5717415115005475,0.975,1.0
synth_h0.6_r0.02_snr0.25,GraphSAGE,none,42,0.5996240377426147,0.02,0.25,0.6,0.02,0.5133781880769832,0.99375,0.0
synth_h0.6_r0.02_snr0.25,GraphSAGE,none,123,0.5996240377426147,0.02,0.25,0.6,0.02,0.6017837584102644,0.99375,0.0
synth_h0.6_r0.02_snr1.0,GCN,none,42,0.5996240377426147,0.02,1.0,0.6,0.02,0.5889532154592396,0.96875,1.0
synth_h0.6_r0.02_snr1.0,GCN,none,123,0.5996240377426147,0.02,1.0,0.6,0.02,0.5359098732592709,0.9625,1.0
synth_h0.6_r0.02_snr1.0,GraphSAGE,none,42,0.5996240377426147,0.02,1.0,0.6,0.02,0.4544672195274605,1.0,0.0
synth_h0.6_r0.02_snr1.0,GraphSAGE,none,123,0.5996240377426147,0.02,1.0,0.6,0.02,0.46463777186668753,1.0,0.0
synth_h0.6_r0.02_snr2.5,GCN,none,42,0.5996240377426147,0.02,2.5,0.6,0.02,0.5678297606008449,0.96875,1.0
synth_h0.6_r0.02_snr2.5,GCN,none,123,0.5996240377426147,0.02,2.5,0.6,0.02,0.5363792833672352,0.9625,1.0
synth_h0.6_r0.02_snr2.5,GraphSAGE,none,42,0.5996240377426147,0.02,2.5,0.6,0.02,0.45243310905961515,1.0,0.0
synth_h0.6_r0.02_snr2.5,GraphSAGE,none,123,0.5996240377426147,0.02,2.5,0.6,0.02,0.4554842747613832,1.0,0.0
synth_h0.6_r0.04_snr0.25,GCN,none,42,0.5999373197555542,0.04,0.25,0.6,0.04,0.4955406039743389,0.99375,1.0
synth_h0.6_r0.04_snr0.25,GCN,none,123,0.5999373197555542,0.04,0.25,0.6,0.04,0.5207322797684244,0.99375,1.0
