quintile,risk_lo,risk_hi,n_members,tpr_at_0.001,tpr_at_0.01,mean_member_conf
1,0.026601513847708702,0.1758957952260971,163,0.0,0.006134969325153374,0.9971294103224585
2,0.1758957952260971,0.2833876311779022,247,0.0,0.0,0.9953661080796709
3,0.2833876311779022,0.3407166004180908,236,0.0,0.00847457627118644,0.9962853471101341
4,0.3407166004180908,0.49837133288383484,204,0.0,0.00980392156862745,0.9918716801147834
5,0.49837133288383484,1.0,233,0.0,0.004291845493562232,0.9883706963625077
