seed,n_identities,acc_sybil_per_principal,acc_shared_global_B1,acc_uncapped,acc_oneshot
42,1,0.8347183748845799,0.8254847645429363,0.8845798707294552,0.8347183748845799
42,5,0.8808864265927978,0.8254847645429363,0.8845798707294552,0.8347183748845799
42,20,0.8836565096952909,0.8254847645429363,0.8845798707294552,0.8347183748845799
123,1,0.8208679593721145,0.8199445983379502,0.8725761772853186,0.8208679593721145
123,5,0.866112650046168,0.8199445983379502,0.8725761772853186,0.8208679593721145
123,20,0.8688827331486612,0.8199445983379502,0.8725761772853186,0.8208679593721145
456,1,0.830101569713758,0.8254847645429363,0.8808864265927978,0.830101569713758
456,5,0.8781163434903048,0.8254847645429363,0.8808864265927978,0.830101569713758
456,20,0.8808864265927978,0.8254847645429363,0.8808864265927978,0.830101569713758
789,1,0.8217913204062789,0.8199445983379502,0.876269621421976,0.8217913204062789
789,5,0.876269621421976,0.8199445983379502,0.876269621421976,0.8217913204062789
789,20,0.876269621421976,0.8199445983379502,0.876269621421976,0.8217913204062789
1024,1,0.817174515235457,0.817174515235457,0.8698060941828255,0.817174515235457
1024,5,0.8707294552169899,0.817174515235457,0.8698060941828255,0.817174515235457
1024,20,0.8698060941828255,0.817174515235457,0.8698060941828255,0.817174515235457
