dataset,model,defense,defense_params,seed,homophily,density,train_time_seconds,test_accuracy,test_f1,test_auroc,train_ego_gap,train_ego_gap_std,test_ego_gap,test_ego_gap_std,ego_gap_diff,conf_attack_auc,conf_attack_acc,conf_attack_tpr01,conf_attack_tpr05,conf_attack_adv,threshold_attack_auc,threshold_attack_acc,threshold_attack_tpr01,threshold_attack_tpr05,threshold_attack_adv,shadow_attack_auc,shadow_attack_acc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,label_only_attack_auc,label_only_attack_acc,label_only_attack_tpr01,label_only_attack_tpr05,label_only_attack_adv,label_only_flip_rate,lira_attack_auc,lira_attack_acc,ece_test,actual_dp_epsilon,peak_memory_mb
synthetic_high_dense,GCN,dropedge,"{""rate"": 0.3}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0001,-0.0,0.5763,0.49,0.0306,0.0816,0.1615,0.5471,0.545,0.0,0.0,0.1,0.5419,0.5,0.01,0.03,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0003,,5428.03
synthetic_high_dense,GCN,dropedge,"{""rate"": 0.3}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.4975,0.5075,0.0,0.0,0.05,0.4672,0.5,0.025,0.07,0.025,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,dropedge,"{""rate"": 0.3}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,0.431,0.47,0.0106,0.0319,0.0134,0.4762,0.4925,0.0,0.0,0.015,0.4784,0.5,0.03,0.08,0.03,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0002,,5428.03
synthetic_high_dense,GCN,dropedge,"{""rate"": 0.3}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5439,0.48,0.0104,0.0104,0.1434,0.4882,0.51,0.0,0.0,0.025,0.4913,0.5,0.02,0.045,0.04,0.5025,0.5,0.0,0.0,0.005,0.0025,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.1}",42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0001,0.0001,-0.0,0.5595,0.5,0.043,0.1398,0.1745,0.5294,0.49,0.015,0.055,0.105,0.4705,0.475,0.0,0.015,0.04,0.5101,0.5,0.0,0.0,0.02,0.015,0.5,0.5,0.0988,,5428.03
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.1}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0001,0.0001,-0.0,0.5629,0.51,0.051,0.1122,0.1529,0.5693,0.535,0.035,0.095,0.135,0.4307,0.5,0.01,0.02,0.0,0.505,0.5,0.0,0.0,0.01,0.02,0.5,0.5,0.1052,,5428.03
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.1}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0001,0.0001,-0.0,0.5301,0.515,0.04,0.1,0.08,0.4879,0.485,0.005,0.02,0.03,0.4888,0.5,0.005,0.02,0.035,0.495,0.5,0.0,0.0,0.0,0.01,0.5,0.5,0.087,,5428.03
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.1}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0001,0.0007,0.0,0.0001,0.0001,0.4383,0.47,0.0,0.0532,0.0249,0.473,0.475,0.015,0.075,0.035,0.5278,0.5,0.005,0.08,0.075,0.5025,0.5,0.0,0.0,0.01,0.0175,0.5,0.5,0.0908,,5428.03
synthetic_high_dense,GCN,label_smoothing,"{""alpha"": 0.1}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0001,-0.0,0.459,0.465,0.0208,0.0521,0.0304,0.4946,0.48,0.02,0.08,0.065,0.5045,0.5,0.03,0.065,0.06,0.495,0.5,0.0,0.0,0.0,0.015,0.5,0.5,0.0863,,5428.03
synthetic_high_dense,GCN,confidence_masking,"{""top_k"": 2}",42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.5362,0.465,0.0645,0.0968,0.0993,0.5125,0.4875,0.0,0.0,0.05,0.4888,0.5,0.0,0.04,0.05,0.5025,0.5,0.0,0.0,0.005,0.0025,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,confidence_masking,"{""top_k"": 2}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0001,-0.0,0.5621,0.49,0.0408,0.1224,0.1419,0.5631,0.51,0.0,0.0,0.115,0.5632,0.5,0.03,0.065,0.125,0.5025,0.5,0.0,0.0,0.01,0.0075,0.5,0.5,0.0003,,5428.03
synthetic_high_dense,GCN,confidence_masking,"{""top_k"": 2}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.4883,0.5025,0.0,0.0,0.025,0.5106,0.5,0.005,0.095,0.08,0.4975,0.5,0.0,0.0,0.0,0.0025,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,confidence_masking,"{""top_k"": 2}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0003,0.0,0.0,0.0,0.4255,0.47,0.0106,0.0426,0.0106,0.4605,0.48,0.0,0.0,0.015,0.4618,0.5,0.005,0.055,0.02,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,confidence_masking,"{""top_k"": 2}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5585,0.48,0.0521,0.1042,0.1154,0.4904,0.495,0.0,0.0,0.035,0.4893,0.5,0.01,0.055,0.035,0.5025,0.5,0.0,0.0,0.005,0.0025,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.5369,0.465,0.0538,0.0968,0.1029,0.5123,0.495,0.0,0.0,0.055,0.4924,0.5,0.0,0.025,0.045,0.5025,0.5,0.0,0.0,0.005,0.0025,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0001,-0.0,0.5608,0.49,0.051,0.1224,0.1345,0.5654,0.535,0.0,0.0,0.12,0.5641,0.5,0.015,0.07,0.135,0.5025,0.5,0.0,0.0,0.01,0.0075,0.5,0.5,0.0003,,5428.03
synthetic_high_dense,GCN,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.4884,0.5075,0.0,0.0,0.04,0.5106,0.5,0.01,0.1,0.075,0.4975,0.5,0.0,0.0,0.0,0.0025,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0003,0.0,0.0,0.0,0.4244,0.47,0.0106,0.0426,0.0106,0.4639,0.4775,0.0,0.0,0.015,0.4651,0.5,0.005,0.06,0.02,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0002,,5428.03
synthetic_high_dense,GCN,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5621,0.48,0.0312,0.1042,0.1354,0.4935,0.485,0.0,0.0,0.055,0.4929,0.5,0.01,0.06,0.065,0.5025,0.5,0.0,0.0,0.005,0.0025,0.5,0.5,0.0001,,5428.03
synthetic_high_dense,GCN,dp_sgd,{},42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.4902,0.465,0.0,0.0,0.0411,0.505,0.5,0.0,0.0,0.01,0.5053,0.5,0.0,0.0,0.035,0.4925,0.5,0.0,0.0,0.0,0.0075,0.5,0.5,0.0,28.3845,5428.03
synthetic_high_dense,GCN,dp_sgd,{},123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0003,0.0033,-0.0003,0.5333,0.495,0.0,0.0,0.0962,0.5127,0.5,0.0,0.0,0.035,0.5216,0.5,0.0,0.0,0.045,0.5076,0.5,0.0,0.0,0.025,0.0175,0.5,0.5,0.0018,28.3845,5428.03
synthetic_high_dense,GCN,dp_sgd,{},456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.5,0.5,0.0,0.0,0.0,0.4999,0.5,0.0,0.0,0.005,0.5069,0.5,0.0,0.0,0.05,0.5,0.5,0.0,0.0,0.0,0.005,0.5,0.5,0.0,28.3845,5428.03
synthetic_high_dense,GCN,dp_sgd,{},789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0001,-0.0,0.4915,0.47,0.0319,0.0319,0.0319,0.495,0.5,0.0,0.0,0.005,0.4949,0.5,0.02,0.04,0.01,0.5,0.5,0.0,0.0,0.0,0.005,0.5,0.5,0.0,28.3845,5428.03
synthetic_high_dense,GCN,dp_sgd,{},999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.5498,0.48,0.0,0.0,0.0865,0.5076,0.5,0.0,0.0,0.02,0.4819,0.5,0.0,0.0,0.035,0.5,0.5,0.0,0.0,0.0,0.005,0.5,0.5,0.0,28.3845,5428.03
synthetic_high_dense,GraphSAGE,none,{},42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0001,0.0005,-0.0001,0.5462,0.465,0.0,0.0,0.1372,0.5201,0.5,0.0,0.0,0.04,0.5211,0.5,0.0,0.005,0.085,0.4918,0.5,0.0,0.0,0.025,0.31,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,none,{},123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0001,-0.0,0.5543,0.49,0.0,0.0,0.105,0.505,0.5,0.0,0.0,0.01,0.5304,0.5,0.0,0.0,0.085,0.502,0.5,0.0,0.0,0.03,0.17,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,none,{},456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0005,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.0,0.4975,0.5,0.0,0.0,0.0,0.479,0.5,0.0,0.0,0.01,0.489,0.5,0.0,0.0,0.0,0.21,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,none,{},789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0003,-0.0,0.5106,0.47,0.0213,0.0213,0.0213,0.5025,0.5,0.0,0.0,0.005,0.5196,0.5,0.005,0.07,0.035,0.4806,0.5,0.0,0.0,0.015,0.13,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,none,{},999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0001,0.0004,0.0001,0.0011,-0.0,0.5251,0.48,0.0,0.0,0.0505,0.5025,0.5,0.0,0.0,0.005,0.4811,0.5,0.0,0.0,0.015,0.4971,0.5,0.0,0.0,0.02,0.29,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 1.0}",42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0001,0.0005,-0.0001,0.5462,0.465,0.0,0.0,0.1372,0.5201,0.5,0.0,0.0,0.04,0.5211,0.5,0.0,0.005,0.085,0.4918,0.5,0.0,0.0,0.025,0.31,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 1.0}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0001,-0.0,0.5543,0.49,0.0,0.0,0.105,0.505,0.5,0.0,0.0,0.01,0.5304,0.5,0.0,0.0,0.085,0.502,0.5,0.0,0.0,0.03,0.17,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 1.0}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0005,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.0,0.4975,0.5,0.0,0.0,0.0,0.479,0.5,0.0,0.0,0.01,0.489,0.5,0.0,0.0,0.0,0.21,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 1.0}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0003,-0.0,0.5106,0.47,0.0213,0.0213,0.0213,0.5025,0.5,0.0,0.0,0.005,0.5196,0.5,0.005,0.07,0.035,0.4806,0.5,0.0,0.0,0.015,0.13,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 1.0}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0001,0.0004,0.0001,0.0011,-0.0,0.5251,0.48,0.0,0.0,0.0505,0.5025,0.5,0.0,0.0,0.005,0.4811,0.5,0.0,0.0,0.015,0.4971,0.5,0.0,0.0,0.02,0.29,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0002,0.0011,0.0129,-0.001,0.5986,0.465,0.0,0.0,0.2429,0.505,0.5,0.0,0.0,0.01,0.5562,0.5,0.0,0.0,0.105,0.5277,0.5,0.0,0.0,0.055,0.2775,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0006,-0.0,0.5394,0.49,0.0,0.0,0.0862,0.5075,0.5,0.0,0.0,0.015,0.5394,0.5,0.0,0.0,0.085,0.5134,0.5,0.0,0.0,0.03,0.2125,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0001,0.0008,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.488,0.5,0.0,0.0,0.035,0.4786,0.5,0.0,0.0,0.0,0.195,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0002,0.0016,0.0002,0.0026,-0.0,0.4991,0.47,0.0319,0.0532,0.0319,0.5025,0.5,0.0,0.0,0.005,0.5096,0.5,0.0,0.0,0.02,0.51,0.5,0.0,0.0,0.03,0.19,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,dropedge,"{""rate"": 0.3}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0003,0.0,0.0003,-0.0,0.5188,0.48,0.0,0.0,0.0361,0.5,0.5,0.0,0.0,0.0,0.4865,0.5,0.0,0.0,0.02,0.5088,0.5,0.0,0.0,0.04,0.295,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0334,0.0196,0.0322,0.0186,0.0012,0.5637,0.545,0.0,0.043,0.1771,0.5579,0.545,0.0,0.05,0.12,0.5581,0.5075,0.0,0.05,0.12,0.5289,0.5,0.0,0.0,0.065,0.4825,0.5,0.5,0.0951,,5428.03
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0304,0.0171,0.0312,0.0139,-0.0009,0.5233,0.515,0.0714,0.0918,0.11,0.5472,0.525,0.055,0.09,0.11,0.5468,0.5025,0.055,0.09,0.11,0.5445,0.535,0.0,0.0,0.08,0.56,0.5,0.5,0.0871,,5428.03
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0479,0.0304,0.0423,0.0234,0.0056,0.4576,0.465,0.01,0.04,0.01,0.492,0.5,0.01,0.035,0.03,0.4925,0.5,0.01,0.035,0.03,0.4658,0.4425,0.0,0.0,0.015,0.5175,0.5,0.5,0.0829,,5428.03
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0255,0.0189,0.0233,0.0166,0.0022,0.4165,0.47,0.0,0.0213,0.0094,0.4525,0.475,0.01,0.03,0.02,0.5473,0.5,0.0,0.06,0.125,0.4845,0.4875,0.0,0.0,0.01,0.58,0.5,0.5,0.0752,,5428.03
synthetic_high_dense,GraphSAGE,label_smoothing,"{""alpha"": 0.1}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0394,0.0192,0.0389,0.018,0.0005,0.4939,0.5,0.0208,0.0521,0.0649,0.4657,0.475,0.01,0.035,0.025,0.4652,0.4925,0.01,0.035,0.025,0.5059,0.5,0.0,0.0,0.045,0.405,0.5,0.5,0.0738,,5428.03
synthetic_high_dense,GraphSAGE,confidence_masking,"{""top_k"": 2}",42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0001,0.0005,-0.0001,0.5392,0.465,0.0,0.0,0.1292,0.52,0.5,0.0,0.0,0.04,0.5186,0.5,0.0,0.005,0.08,0.4918,0.5,0.0,0.0,0.025,0.31,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,confidence_masking,"{""top_k"": 2}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0001,-0.0,0.5412,0.49,0.0,0.0,0.0972,0.505,0.5,0.0,0.0,0.01,0.495,0.5,0.005,0.01,0.01,0.502,0.5,0.0,0.0,0.03,0.17,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,confidence_masking,"{""top_k"": 2}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0005,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.0,0.4975,0.5,0.0,0.0,0.0,0.4724,0.5,0.0,0.0,0.01,0.489,0.5,0.0,0.0,0.0,0.21,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,confidence_masking,"{""top_k"": 2}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0003,-0.0,0.5167,0.47,0.0426,0.0426,0.0331,0.5025,0.5,0.0,0.0,0.005,0.5467,0.5,0.005,0.025,0.09,0.4806,0.5,0.0,0.0,0.015,0.13,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,confidence_masking,"{""top_k"": 2}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0001,0.0004,0.0001,0.0011,-0.0,0.5141,0.48,0.0,0.0,0.0296,0.5025,0.5,0.0,0.0,0.005,0.4872,0.5,0.0,0.0,0.01,0.4971,0.5,0.0,0.0,0.02,0.29,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",42,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0001,0.0005,-0.0001,0.5462,0.465,0.0,0.0,0.1372,0.5201,0.5,0.0,0.0,0.04,0.5211,0.5,0.0,0.005,0.085,0.4918,0.5,0.0,0.0,0.025,0.31,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",123,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0001,-0.0,0.5543,0.49,0.0,0.0,0.105,0.505,0.5,0.0,0.0,0.01,0.5304,0.5,0.0,0.0,0.085,0.502,0.5,0.0,0.0,0.03,0.17,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0005,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.0,0.4975,0.5,0.0,0.0,0.0,0.479,0.5,0.0,0.0,0.01,0.489,0.5,0.0,0.0,0.0,0.21,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",789,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0001,0.0,0.0003,-0.0,0.5106,0.47,0.0213,0.0213,0.0213,0.5025,0.5,0.0,0.0,0.005,0.5196,0.5,0.005,0.07,0.035,0.4806,0.5,0.0,0.0,0.015,0.13,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,epsd_ablation,"{""lambda_epsd"": 5.0, ""ablation"": ""non_ego_consistency""}",999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0001,0.0004,0.0001,0.0011,-0.0,0.5251,0.48,0.0,0.0,0.0505,0.5025,0.5,0.0,0.0,0.005,0.4811,0.5,0.0,0.0,0.015,0.4971,0.5,0.0,0.0,0.02,0.29,0.5,0.5,0.0,,5428.03
synthetic_high_dense,GraphSAGE,dp_sgd,{},42,0.7998,0.04,0.0,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.5,0.465,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5056,0.4875,0.0,0.0,0.035,0.7525,0.5,0.5,0.0,28.3845,5428.03
synthetic_high_dense,GraphSAGE,dp_sgd,{},123,0.7998,0.04,0.0,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.5,0.49,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5668,0.5575,0.0,0.0,0.135,0.5775,0.5,0.5,0.0,28.3845,5428.03
synthetic_high_dense,GraphSAGE,dp_sgd,{},456,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0002,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.4671,0.47,0.0,0.0,0.015,0.505,0.5,0.5,0.0,28.3845,5428.03
synthetic_high_dense,GraphSAGE,dp_sgd,{},789,0.7998,0.04,0.0,1.0,1.0,1.0,-0.0,0.0,0.0,0.0,-0.0,0.5,0.47,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5155,0.5225,0.0,0.0,0.045,0.62,0.5,0.5,0.0,28.3845,5428.03
synthetic_high_dense,GraphSAGE,dp_sgd,{},999,0.7998,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.48,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.4681,0.485,0.0,0.0,0.0,0.69,0.5,0.5,0.0,28.3845,5428.03
