dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag
Citeseer,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.7355,0.000823,0.7183,0.7985,0.9121,0.1938,random_40_20_40,0.6863,0.8873,0.6525,0.5928,0.6024,0.5319,0.0,0.0233,0.5969,0.5969,0.6672,0.6176,,,0.5539,0.5383,0.0068,0.018,0.088,5.5792,1,,399.0,0.3998,0.1999,0.1199,0.3998,1330.0,harp
Chameleon,GraphSAGE,none,{},42,eac9960f8ba0,0.235,0.006966,0.4402,0.5055,0.9594,0.5192,random_40_20_40,0.4383,0.7591,0.8829,0.82,0.8884,0.8299,0.0,0.1076,0.7596,0.7596,0.8858,0.8255,,,0.6328,0.6092,0.0066,0.0571,0.2938,3.1645,1,,,,,,,,none
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.235,0.006966,0.393,0.4198,0.7947,0.4018,random_40_20_40,0.3919,0.6717,0.7605,0.7179,0.7542,0.697,0.0,0.0,0.7009,0.7009,0.7621,0.7058,,,0.5369,0.5313,0.0011,0.0241,0.2173,3.2265,1,,683.1,1.0,,0.3,1.0,2277.0,lbp_strong
Chameleon,GraphSAGE,lbp,"{""scale"": 0.12}",42,eac9960f8ba0,0.235,0.006966,0.4435,0.5055,0.9451,0.5016,random_40_20_40,0.4414,0.7106,0.8344,0.7827,0.8327,0.7717,0.0,0.0,0.7508,0.7508,0.8409,0.7783,,,0.5718,0.5582,0.011,0.022,0.2109,3.0065,1,,273.24,1.0,,0.12,1.0,2277.0,lbp_equal_mass
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.235,0.006966,0.4336,0.7187,0.8924,0.4588,random_40_20_40,0.4343,0.7199,0.8242,0.7278,0.8225,0.7311,0.0,0.0329,0.7294,0.7294,0.8263,0.7431,,,0.5636,0.5461,0.0033,0.0077,0.2485,9.6663,1,,273.3,0.4001,0.1208,0.12,0.4001,911.0,harp
Chameleon,GraphSAGE,none,{},123,eac9960f8ba0,0.235,0.006966,0.4643,0.4659,0.966,0.5016,random_40_20_40,0.4609,0.7564,0.8688,0.8255,0.8773,0.8167,0.0011,0.0637,0.7508,0.7508,0.8724,0.8288,,,0.6052,0.5955,0.0011,0.056,0.2792,3.2216,1,,,,,,,,none
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.235,0.006966,0.3974,0.367,0.8189,0.4215,random_40_20_40,0.395,0.67,0.7595,0.7102,0.7683,0.6992,0.0,0.0615,0.7108,0.7108,0.7595,0.7124,,,0.5309,0.5291,0.0044,0.0505,0.2082,2.9377,1,,683.1,1.0,,0.3,1.0,2277.0,lbp_strong
Chameleon,GraphSAGE,lbp,"{""scale"": 0.12}",123,eac9960f8ba0,0.235,0.006966,0.4533,0.444,0.9627,0.5093,random_40_20_40,0.4506,0.7186,0.83,0.7805,0.836,0.764,0.0,0.0933,0.7547,0.7547,0.83,0.7805,,,0.5474,0.5477,0.0044,0.0362,0.2018,3.0991,1,,273.24,1.0,,0.12,1.0,2277.0,lbp_equal_mass
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.235,0.006966,0.4764,0.7143,0.9001,0.4237,random_40_20_40,0.4748,0.748,0.7935,0.7025,0.7908,0.7058,0.0,0.067,0.7119,0.7119,0.7935,0.7003,,,0.5443,0.5434,0.0055,0.0132,0.2137,9.3505,1,,272.7,0.3992,0.1111,0.1198,0.3992,909.0,harp
Chameleon,GraphSAGE,none,{},456,eac9960f8ba0,0.235,0.006966,0.438,0.4571,0.9616,0.5236,random_40_20_40,0.4338,0.7607,0.8716,0.809,0.8877,0.8211,0.0011,0.1175,0.7618,0.7618,0.8734,0.8057,,,0.6153,0.5867,0.0033,0.0637,0.2961,3.0153,1,,,,,,,,none
