dataset,n,spearman_lte_abs_phi2_gap,pvalue_gap,spearman_lte_phi2,pvalue_phi2,mean_risk_member,mean_risk_nonmember,test_acc,spearman_lte_abs_phi_gap,p_abs
Cora,2708,0.0766333819792864,0.0003573461364136,-0.2500152222857059,3.1801228709352574e-32,0.3337973952293396,0.3238159120082855,0.8845798707294552,,
Citeseer,3327,0.1180472406883622,1.001900900056997e-09,-0.2549488649508234,9.136854552790381e-41,0.3903351426124573,0.3923040926456451,0.7422990232907588,,
Actor,7600,-0.0072209366919284,0.5734761167593173,-0.009295392033235,0.4686552263204077,0.5562868118286133,0.5583043694496155,0.3375,,
Chameleon,2277,,,,,,,,-0.056917611275360734,0.006593611512271003
