dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected
Citeseer,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.7355,0.000823,0.7047,0.7985,0.9286,0.2239,random_40_20_40,0.677,0.8752,0.6428,0.595,0.6463,0.6026,0.0,0.0195,0.6119,0.6119,0.6485,0.6131,,,0.5414,0.5368,0.006,0.0105,0.0805,6.3251,1,,399.3,0.4001,0.4001,0.12,0.4001,1331.0
Citeseer,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.7355,0.000823,0.6942,0.797,0.9256,0.2314,random_40_20_40,0.6626,0.88,0.6923,0.6266,0.678,0.6326,0.0,0.0165,0.6157,0.6157,0.7006,0.6349,,,0.5439,0.5361,0.0068,0.0188,0.0817,5.4422,1,,399.3,0.4001,0.4001,0.12,0.4001,1331.0
Citeseer,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.7355,0.000823,0.704,0.803,0.9174,0.2134,random_40_20_40,0.6728,0.8774,0.6391,0.6056,0.6332,0.5733,0.0,0.0113,0.6067,0.6067,0.6583,0.6093,,,0.5373,0.5319,0.0008,0.0113,0.0872,5.4256,1,,401.4,0.4022,0.0995,0.1206,0.4022,1338.0
Citeseer,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.7355,0.000823,0.7228,0.806,0.9309,0.2081,random_40_20_40,0.6956,0.8835,0.6347,0.6048,0.6204,0.5597,0.0,0.0158,0.6041,0.6041,0.6391,0.6063,,,0.5494,0.5349,0.0038,0.0128,0.0792,5.3492,1,,399.9,0.4007,0.1097,0.1202,0.4007,1333.0
Citeseer,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.7355,0.000823,0.7077,0.7895,0.9166,0.2089,random_40_20_40,0.6756,0.8871,0.6643,0.5935,0.6565,0.5913,0.0,0.021,0.6044,0.6044,0.6992,0.6401,,,0.5535,0.5379,0.0053,0.0143,0.0911,5.3043,1,,397.5,0.3983,0.0938,0.1195,0.3983,1325.0
Citeseer,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",42,eac9960f8ba0,0.7355,0.000823,0.6972,0.7429,0.9241,0.2269,random_40_20_40,0.663,0.8699,0.6485,0.6123,0.6372,0.5995,0.0,0.0143,0.6134,0.6134,0.6547,0.6101,,,0.5435,0.5252,0.0083,0.0173,0.109,4.9123,1,,399.3,0.4001,0.4001,0.12,0.4001,1331.0
Citeseer,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",123,eac9960f8ba0,0.7355,0.000823,0.707,0.7158,0.9354,0.2284,random_40_20_40,0.6799,0.8688,0.6595,0.6056,0.6521,0.6183,0.0,0.0128,0.6142,0.6142,0.6603,0.6033,,,0.5509,0.5342,0.003,0.0098,0.1332,4.8718,1,,399.3,0.4001,0.4001,0.12,0.4001,1331.0
Citeseer,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",456,eac9960f8ba0,0.7355,0.000823,0.7243,0.7188,0.9391,0.2149,random_40_20_40,0.6922,0.8849,0.6471,0.6018,0.6489,0.6078,0.0,0.0165,0.6074,0.6074,0.6523,0.6026,,,0.5461,0.5349,0.0023,0.012,0.1187,5.0395,1,,399.3,0.4001,0.4001,0.12,0.4001,1331.0
Citeseer,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",42,eac9960f8ba0,0.7355,0.000823,0.7145,0.7383,0.9151,0.2006,random_40_20_40,0.6816,0.8787,0.6009,0.5935,0.591,0.5259,0.0,0.0158,0.6003,0.6003,0.6529,0.6206,,,0.5383,0.5319,0.0015,0.0135,0.0934,2.0427,1,,399.0,0.3998,0.196,0.1199,0.3998,1330.0
Citeseer,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",123,eac9960f8ba0,0.7355,0.000823,0.71,0.7128,0.9241,0.2141,random_40_20_40,0.6831,0.8762,0.6269,0.6078,0.5992,0.5237,0.0,0.0301,0.6071,0.6071,0.6779,0.6311,,,0.5539,0.5409,0.0038,0.015,0.0944,1.9917,1,,398.7,0.3995,0.2074,0.1198,0.3995,1329.0
Citeseer,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",456,eac9960f8ba0,0.7355,0.000823,0.7183,0.7098,0.9181,0.1998,random_40_20_40,0.6894,0.8874,0.6777,0.592,0.6134,0.5409,0.0,0.0218,0.5999,0.5999,0.6823,0.6416,,,0.5496,0.5312,0.0,0.0173,0.0854,1.9983,1,,399.0,0.3998,0.1999,0.1199,0.3998,1330.0
Chameleon,GraphSAGE,none,{},42,eac9960f8ba0,0.235,0.006966,0.4402,0.5055,0.9594,0.5192,random_40_20_40,0.4383,0.7591,0.8829,0.82,0.8884,0.8299,0.0,0.1076,0.7596,0.7596,0.8858,0.8255,,,0.6328,0.6092,0.0066,0.0571,0.2938,3.1018,1,,,,,,,
Chameleon,GraphSAGE,none,{},123,eac9960f8ba0,0.235,0.006966,0.4643,0.4659,0.966,0.5016,random_40_20_40,0.4609,0.7564,0.8688,0.8255,0.8773,0.8167,0.0011,0.0637,0.7508,0.7508,0.8724,0.8288,,,0.6052,0.5955,0.0011,0.056,0.2792,3.0978,1,,,,,,,
Chameleon,GraphSAGE,none,{},456,eac9960f8ba0,0.235,0.006966,0.438,0.4571,0.9616,0.5236,random_40_20_40,0.4338,0.7607,0.8716,0.809,0.8877,0.8211,0.0011,0.1175,0.7618,0.7618,0.8734,0.8057,,,0.6153,0.5867,0.0033,0.0637,0.2961,3.108,1,,,,,,,
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.235,0.006966,0.393,0.4198,0.7947,0.4018,random_40_20_40,0.3919,0.6717,0.7605,0.7179,0.7542,0.697,0.0,0.0,0.7009,0.7009,0.7621,0.7058,,,0.5369,0.5313,0.0011,0.0241,0.2173,3.1032,1,,683.1,1.0,,0.3,1.0,2277.0
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.235,0.006966,0.3974,0.367,0.8189,0.4215,random_40_20_40,0.395,0.67,0.7595,0.7102,0.7683,0.6992,0.0,0.0615,0.7108,0.7108,0.7595,0.7124,,,0.5309,0.5291,0.0044,0.0505,0.2082,3.1879,1,,683.1,1.0,,0.3,1.0,2277.0
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.235,0.006966,0.382,0.3626,0.809,0.427,random_40_20_40,0.3808,0.6687,0.7476,0.7003,0.7631,0.697,0.0,0.0,0.7135,0.7135,0.7486,0.6937,,,0.5484,0.5362,0.0088,0.0384,0.2249,3.2079,1,,683.1,1.0,,0.3,1.0,2277.0
Chameleon,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,eac9960f8ba0,0.235,0.006966,0.4665,0.5275,0.9572,0.4907,random_40_20_40,0.4612,0.7187,0.8014,0.7475,0.7684,0.6894,0.0,0.0296,0.7453,0.7453,0.797,0.7519,,,0.5933,0.5692,0.0011,0.0176,0.4093,3.1722,1,,,,,,,
Chameleon,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,eac9960f8ba0,0.235,0.006966,0.4786,0.4791,0.9594,0.4808,random_40_20_40,0.4716,0.718,0.7885,0.7563,0.7703,0.6948,0.0,0.034,0.7404,0.7404,0.8026,0.7596,,,0.5698,0.5571,0.0,0.0165,0.3975,3.1908,1,,,,,,,
Chameleon,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",456,eac9960f8ba0,0.235,0.006966,0.4577,0.4879,0.9528,0.4951,random_40_20_40,0.4512,0.7252,0.7933,0.7344,0.7566,0.6795,0.0011,0.0296,0.7475,0.7475,0.7905,0.7453,,,0.574,0.5521,0.0,0.0209,0.4162,3.126,1,,,,,,,
Chameleon,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,eac9960f8ba0,0.235,0.006966,0.4369,0.6725,0.9023,0.4654,random_40_20_40,0.4345,0.7195,0.7908,0.7563,0.7914,0.7322,0.0,0.0,0.7327,0.7327,0.7912,0.7585,,,0.5609,0.5488,0.0022,0.034,0.2076,9.0624,1,,391.1836,0.9987,,0.1718,0.4909,2274.0
Chameleon,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,eac9960f8ba0,0.235,0.006966,0.4808,0.6923,0.9385,0.4577,random_40_20_40,0.4796,0.7261,0.794,0.7486,0.7942,0.7256,0.0,0.0637,0.7289,0.7289,0.7943,0.7442,,,0.539,0.5368,0.0011,0.0318,0.1764,8.9013,1,,349.5492,0.9978,,0.1535,0.4386,2272.0
Chameleon,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,eac9960f8ba0,0.235,0.006966,0.4566,0.6308,0.9155,0.4588,random_40_20_40,0.4534,0.7214,0.7821,0.7311,0.7909,0.7179,0.0,0.0,0.7294,0.7294,0.7823,0.7344,,,0.5481,0.5346,0.0077,0.0231,0.1919,9.1773,1,,394.2143,0.9996,,0.1731,0.4947,2276.0
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.235,0.006966,0.4336,0.7187,0.8924,0.4588,random_40_20_40,0.4343,0.7199,0.8242,0.7278,0.8225,0.7311,0.0,0.0329,0.7294,0.7294,0.8263,0.7431,,,0.5636,0.5461,0.0033,0.0077,0.2485,9.3208,1,,273.3,0.4001,0.1208,0.12,0.4001,911.0
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.235,0.006966,0.4764,0.7143,0.9001,0.4237,random_40_20_40,0.4748,0.748,0.7935,0.7025,0.7908,0.7058,0.0,0.067,0.7119,0.7119,0.7935,0.7003,,,0.5443,0.5434,0.0055,0.0132,0.2137,9.4782,1,,272.7,0.3992,0.1111,0.1198,0.3992,909.0
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.235,0.006966,0.4446,0.6945,0.899,0.4544,random_40_20_40,0.4406,0.7339,0.8025,0.7256,0.803,0.719,0.0,0.0,0.7272,0.7272,0.8028,0.7256,,,0.5562,0.5445,0.0044,0.011,0.2511,9.2711,1,,273.3,0.4001,0.0738,0.12,0.4001,911.0
Chameleon,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.235,0.006966,0.4435,0.6945,0.8639,0.4204,random_40_20_40,0.4404,0.7355,0.8026,0.7234,0.8067,0.7344,0.0,0.0428,0.7102,0.7102,0.8006,0.7168,,,0.573,0.5565,0.0044,0.022,0.2399,9.1018,1,,273.0,0.3996,0.3996,0.1199,0.3996,910.0
Chameleon,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.235,0.006966,0.4555,0.7011,0.8913,0.4358,random_40_20_40,0.4552,0.7319,0.8015,0.7069,0.8054,0.719,0.0,0.0516,0.7179,0.7179,0.8007,0.708,,,0.5486,0.5417,0.0,0.0241,0.2293,9.4827,1,,273.0,0.3996,0.3996,0.1199,0.3996,910.0
Chameleon,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.235,0.006966,0.4424,0.6418,0.8902,0.4479,random_40_20_40,0.4399,0.7314,0.8133,0.7377,0.821,0.742,0.0,0.0735,0.7239,0.7239,0.8135,0.7366,,,0.5591,0.5412,0.0,0.0154,0.2377,9.249,1,,273.0,0.3996,0.3996,0.1199,0.3996,910.0
Chameleon,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.235,0.006966,0.4138,0.7033,0.8935,0.4797,random_40_20_40,0.4145,0.718,0.8501,0.7662,0.85,0.7634,0.0,0.1087,0.7398,0.7398,0.8528,0.7673,,,0.6017,0.5867,0.0033,0.0187,0.2756,9.4715,1,,222.3,0.3254,0.0022,0.0976,0.3254,741.0
Chameleon,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.235,0.006966,0.449,0.7077,0.8902,0.4413,random_40_20_40,0.4486,0.7217,0.818,0.7289,0.814,0.7245,0.0,0.0735,0.7206,0.7206,0.8168,0.7256,,,0.5511,0.5499,0.0011,0.011,0.2335,9.4497,1,,314.4,0.4603,0.011,0.1381,0.4603,1048.0
Chameleon,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.235,0.006966,0.4237,0.6813,0.8825,0.4588,random_40_20_40,0.4217,0.7223,0.8247,0.7289,0.826,0.7311,0.0,0.0527,0.7294,0.7294,0.825,0.7201,,,0.5832,0.5609,0.0,0.0121,0.2497,9.364,1,,309.0,0.4523,0.0009,0.1357,0.4523,1030.0
Chameleon,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",42,eac9960f8ba0,0.235,0.006966,0.4435,0.5341,0.8968,0.4533,random_40_20_40,0.4422,0.7337,0.7915,0.7113,0.788,0.7036,0.0,0.0,0.7267,0.7267,0.7922,0.7102,,,0.5814,0.5664,0.0022,0.0252,0.2697,8.6051,1,,273.0,0.3996,0.3996,0.1199,0.3996,910.0
Chameleon,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",123,eac9960f8ba0,0.235,0.006966,0.4665,0.5099,0.899,0.4325,random_40_20_40,0.4602,0.7369,0.794,0.7201,0.7963,0.7234,0.0,0.0472,0.7162,0.7162,0.7947,0.7278,,,0.558,0.5576,0.0011,0.0252,0.2541,7.7683,1,,273.0,0.3996,0.3996,0.1199,0.3996,910.0
Chameleon,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",456,eac9960f8ba0,0.235,0.006966,0.4248,0.4923,0.9034,0.4786,random_40_20_40,0.4238,0.7232,0.7972,0.7168,0.8052,0.7179,0.0,0.0329,0.7393,0.7393,0.7906,0.7234,,,0.581,0.5637,0.0022,0.0187,0.2752,7.8895,1,,273.0,0.3996,0.3996,0.1199,0.3996,910.0
Chameleon,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",42,eac9960f8ba0,0.235,0.006966,0.4116,0.4681,0.8968,0.4852,random_40_20_40,0.4117,0.7089,0.8372,0.7475,0.8307,0.7464,0.0,0.0549,0.7426,0.7426,0.8377,0.753,,,0.5728,0.5609,0.0055,0.0066,0.272,3.0657,1,,273.3,0.4001,0.1208,0.12,0.4001,911.0
Chameleon,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",123,eac9960f8ba0,0.235,0.006966,0.4479,0.444,0.9056,0.4577,random_40_20_40,0.4464,0.7295,0.8063,0.7102,0.8106,0.7267,0.0,0.0406,0.7289,0.7289,0.8062,0.7124,,,0.556,0.5538,0.011,0.0241,0.2484,2.9848,1,,272.7,0.3992,0.1111,0.1198,0.3992,909.0
Chameleon,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",456,eac9960f8ba0,0.235,0.006966,0.4204,0.444,0.9012,0.4808,random_40_20_40,0.4188,0.724,0.8213,0.7344,0.8245,0.7333,0.0,0.0,0.7404,0.7404,0.8218,0.7409,,,0.5614,0.5445,0.0088,0.0154,0.2608,3.0172,1,,273.3,0.4001,0.0738,0.12,0.4001,911.0
Actor,GraphSAGE,none,{},42,eac9960f8ba0,0.2188,0.00052,0.327,0.325,0.903,0.576,random_40_20_40,0.3146,0.6554,0.8756,0.7984,0.8401,0.777,0.0013,0.0115,0.788,0.788,0.8747,0.7993,,,0.6159,0.5855,0.0026,0.0303,0.2703,1.4938,1,,,,,,,
Actor,GraphSAGE,none,{},123,eac9960f8ba0,0.2188,0.00052,0.3414,0.3375,0.9105,0.5691,random_40_20_40,0.3261,0.6627,0.8746,0.7977,0.8355,0.7806,0.0013,0.0128,0.7845,0.7845,0.872,0.7895,,,0.5983,0.5837,0.0053,0.0349,0.2554,1.5679,1,,,,,,,
Actor,GraphSAGE,none,{},456,eac9960f8ba0,0.2188,0.00052,0.3375,0.3178,0.9095,0.572,random_40_20_40,0.3259,0.6599,0.8798,0.8063,0.84,0.7826,0.0013,0.0122,0.786,0.786,0.8788,0.8013,,,0.6151,0.5868,0.0151,0.0444,0.2604,1.5146,1,,,,,,,
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.2188,0.00052,0.297,0.2928,0.6562,0.3592,random_40_20_40,0.2817,0.5708,0.7383,0.6951,0.7411,0.6898,0.0,0.0,0.6796,0.6796,0.7386,0.6891,,,0.5478,0.5329,0.0043,0.0332,0.2794,1.536,1,,2280.0,1.0,,0.3,1.0,7600.0
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.2188,0.00052,0.2849,0.2816,0.6618,0.377,random_40_20_40,0.2711,0.5902,0.734,0.6901,0.7395,0.6954,0.0,0.0299,0.6885,0.6885,0.7361,0.6911,,,0.536,0.5349,0.003,0.0266,0.2892,1.5143,1,,2280.0,1.0,,0.3,1.0,7600.0
Actor,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.2188,0.00052,0.2796,0.2809,0.653,0.3734,random_40_20_40,0.2645,0.572,0.7366,0.6924,0.7376,0.6947,0.0,0.026,0.6867,0.6867,0.7362,0.6908,,,0.5619,0.5467,0.0036,0.0349,0.2995,1.5377,1,,2280.0,1.0,,0.3,1.0,7600.0
Actor,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,eac9960f8ba0,0.2188,0.00052,0.348,0.3349,0.8516,0.5036,random_40_20_40,0.3277,0.6623,0.8488,0.7559,0.7835,0.7444,0.0,0.0105,0.7518,0.7518,0.8502,0.7556,,,0.5933,0.5689,0.0,0.0174,0.2486,1.5486,1,,,,,,,
Actor,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,eac9960f8ba0,0.2188,0.00052,0.3359,0.3421,0.8539,0.5181,random_40_20_40,0.3126,0.6617,0.8449,0.7638,0.787,0.7464,0.0,0.0102,0.759,0.759,0.8459,0.7602,,,0.5791,0.5712,0.0033,0.022,0.269,1.5522,1,,,,,,,
