dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,eac9960f8ba0,0.81,0.00144,0.8698,0.8948,0.9834,0.1136,random_40_20_40,0.8617,0.9591,0.5664,0.5466,0.5675,0.542,0.0,0.0,0.5568,0.5568,0.5477,0.5605,,,0.4951,0.4922,0.0102,0.0185,0.1248,2.3723,1,,303.044,0.9996,,0.1119,0.3197,2707.0
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8449,0.8358,0.9077,0.0628,random_40_20_40,0.8294,0.9472,0.5622,0.5614,0.5005,0.4875,0.0,0.0129,0.5314,0.5314,0.6203,0.5697,,,0.5366,0.5286,0.0037,0.012,0.0415,2.5239,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8292,0.845,0.9141,0.0849,random_40_20_40,0.8107,0.9456,0.5796,0.5374,0.5219,0.5115,0.0,0.0175,0.5425,0.5425,0.6377,0.6039,,,0.5463,0.5282,0.0092,0.0166,0.0308,2.4355,1,,325.2,0.4003,0.1821,0.1201,0.4003,1084.0
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8329,0.8432,0.9114,0.0785,random_40_20_40,0.8205,0.9535,0.572,0.5485,0.5159,0.4968,0.0,0.0175,0.5392,0.5392,0.6291,0.5697,,,0.5194,0.5189,0.0074,0.012,0.0378,2.446,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0
Cora,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8486,0.8395,0.9151,0.0665,random_40_20_40,0.8372,0.9451,0.5365,0.5439,0.5495,0.5392,0.0,0.0102,0.5332,0.5332,0.5699,0.5568,,,0.5244,0.5194,0.0046,0.0194,0.0565,2.384,1,,324.9,0.3999,0.3999,0.12,0.3999,1083.0
Cora,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8264,0.821,0.9261,0.0997,random_40_20_40,0.8147,0.9406,0.5314,0.5503,0.573,0.5642,0.0,0.0194,0.5499,0.5499,0.5882,0.5476,,,0.5344,0.5189,0.0037,0.0074,0.0338,2.3563,1,,324.9,0.3999,0.3999,0.12,0.3999,1083.0
Cora,GraphSAGE,harp_k0,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8273,0.8579,0.9344,0.1071,random_40_20_40,0.8127,0.9485,0.5768,0.5337,0.5755,0.566,0.0046,0.0295,0.5536,0.5536,0.606,0.5873,,,0.5138,0.5175,0.0046,0.0139,0.0361,2.3856,1,,324.9,0.3999,0.3999,0.12,0.3999,1083.0
Cora,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8338,0.8266,0.9261,0.0923,random_40_20_40,0.8193,0.95,0.5191,0.5568,0.5784,0.5568,0.0,0.0074,0.5462,0.5462,0.5862,0.5734,,,0.5286,0.5231,0.0,0.0074,0.0595,2.5534,1,,326.4,0.4018,0.0499,0.1205,0.4018,1088.0
Cora,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8227,0.8192,0.9086,0.0859,random_40_20_40,0.8038,0.9436,0.5816,0.5402,0.5712,0.5633,0.0,0.0148,0.5429,0.5429,0.5934,0.5716,,,0.5408,0.5282,0.0037,0.0175,0.0448,2.4506,1,,323.7,0.3984,0.0439,0.1195,0.3984,1079.0
Cora,GraphSAGE,harp_k2,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 2, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8273,0.8266,0.9178,0.0905,random_40_20_40,0.8144,0.9564,0.5898,0.5614,0.5551,0.5355,0.0,0.0111,0.5452,0.5452,0.5957,0.591,,,0.5188,0.5222,0.0037,0.0111,0.0471,2.4579,1,,351.6,0.4328,0.0462,0.1298,0.4328,1172.0
Cora,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",42,eac9960f8ba0,0.81,0.00144,0.8375,0.7731,0.9252,0.0877,random_40_20_40,0.8251,0.9451,0.6012,0.566,0.5772,0.5605,0.0,0.0083,0.5439,0.5439,0.591,0.5697,,,0.5351,0.5254,0.0009,0.0111,0.1028,2.0329,1,,324.9,0.3999,0.3999,0.12,0.3999,1083.0
Cora,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",123,eac9960f8ba0,0.81,0.00144,0.819,0.7878,0.9243,0.1053,random_40_20_40,0.8074,0.9407,0.5824,0.5448,0.5836,0.5614,0.0,0.0175,0.5526,0.5526,0.5796,0.5494,,,0.5387,0.5249,0.0009,0.0231,0.0759,2.0009,1,,324.9,0.3999,0.3999,0.12,0.3999,1083.0
Cora,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",456,eac9960f8ba0,0.81,0.00144,0.8227,0.7952,0.9224,0.0997,random_40_20_40,0.8067,0.9479,0.5624,0.5476,0.5729,0.5586,0.0,0.0203,0.5499,0.5499,0.5647,0.5439,,,0.5055,0.5046,0.0046,0.0185,0.074,2.0267,1,,324.9,0.3999,0.3999,0.12,0.3999,1083.0
Cora,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",42,eac9960f8ba0,0.81,0.00144,0.8347,0.797,0.9114,0.0766,random_40_20_40,0.8193,0.9463,0.5652,0.5494,0.511,0.4958,0.0,0.0092,0.5383,0.5383,0.6318,0.5679,,,0.541,0.5291,0.0046,0.0129,0.0333,0.9142,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0
Cora,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",123,eac9960f8ba0,0.81,0.00144,0.8246,0.8007,0.9187,0.0942,random_40_20_40,0.8057,0.9424,0.5754,0.5346,0.524,0.5125,0.0,0.0259,0.5471,0.5471,0.6301,0.5762,,,0.5481,0.5342,0.0083,0.0166,0.0195,0.8949,1,,325.2,0.4003,0.1821,0.1201,0.4003,1084.0
Cora,GraphSAGE,harp_release_only,"{""lam"": 0.0, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",456,eac9960f8ba0,0.81,0.00144,0.831,0.8229,0.916,0.0849,random_40_20_40,0.8222,0.9513,0.5763,0.5457,0.5195,0.5032,0.0,0.0231,0.5425,0.5425,0.6287,0.5679,,,0.5274,0.5259,0.0083,0.0148,0.045,0.9062,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0
Citeseer,GraphSAGE,none,{},42,eac9960f8ba0,0.7355,0.000823,0.7408,0.7654,1.0,0.2592,random_40_20_40,0.7073,0.9131,0.7372,0.7295,0.7326,0.6566,0.0008,0.0128,0.6296,0.6296,0.737,0.731,,,0.5833,0.5654,0.0083,0.0316,0.153,1.8792,1,,,,,,,
Citeseer,GraphSAGE,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7431,0.7414,0.9992,0.2562,random_40_20_40,0.7171,0.9252,0.7395,0.7325,0.7393,0.6679,0.0075,0.0308,0.6281,0.6281,0.7394,0.7318,,,0.595,0.5718,0.0105,0.0406,0.1386,1.8578,1,,,,,,,
Citeseer,GraphSAGE,none,{},456,eac9960f8ba0,0.7355,0.000823,0.7476,0.7368,0.9992,0.2517,random_40_20_40,0.7182,0.926,0.7907,0.7536,0.7793,0.704,0.0015,0.0173,0.6258,0.6258,0.7907,0.7558,,,0.5953,0.5654,0.027,0.0548,0.1277,1.9193,1,,,,,,,
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.7355,0.000823,0.6228,0.6,0.8527,0.2299,random_40_20_40,0.5927,0.8129,0.6311,0.5943,0.6501,0.5995,0.0,0.0,0.615,0.615,0.6326,0.6011,,,0.5204,0.5071,0.003,0.027,0.0712,1.8393,1,,998.1,1.0,,0.3,1.0,3327.0
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.7355,0.000823,0.6266,0.6361,0.8392,0.2126,random_40_20_40,0.6009,0.8206,0.6277,0.5875,0.6416,0.5913,0.0,0.0,0.6063,0.6063,0.6241,0.5973,,,0.5203,0.5053,0.0038,0.0301,0.0848,1.8562,1,,998.1,1.0,,0.3,1.0,3327.0
Citeseer,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.7355,0.000823,0.6108,0.615,0.8249,0.2141,random_40_20_40,0.5868,0.8147,0.6316,0.583,0.6395,0.5935,0.0,0.0,0.6071,0.6071,0.6152,0.5905,,,0.5287,0.5147,0.015,0.0331,0.0517,1.8684,1,,998.1,1.0,,0.3,1.0,3327.0
