,raw_exactfrac,raw_exactfrac,replay_frac,replay_frac,cross_client_exactfrac,cross_client_exactfrac,presession_audit_replay,presession_audit_replay,clean_threshold_flicker,clean_threshold_flicker,shared_cache_hit,shared_cache_hit
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
policy,,,,,,,,,,,,
harp,0.5995814869522403,0.00042640344844133566,0.5994583948793698,0.00021320172422067184,0.5995814869522403,0.00021320172422065582,0.5995814869522403,0.00021320172422065582,0.0,0.0,0.7691500000000001,0.005692978130996073
lbp_fresh,0.0002461841457410143,0.000213201724220689,0.00012309207287050715,0.000213201724220689,0.00036927621861152144,0.000639605172662067,0.0,0.0,0.08890960403963144,0.009194461316314009,0.0041,0.00026457513110645904
lbp_global,0.00012309207287050715,0.000213201724220689,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8692500000000001,0.0027335873865672964
lbp_seeded,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8692500000000001,0.0027335873865672964
lbp_sticky,0.0002461841457410143,0.000213201724220689,1.0,0.0,0.00036927621861152144,0.000639605172662067,0.0,0.0,0.08890960403963144,0.009194461316314009,0.6193666666666666,0.0010539607835841499
none,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8692500000000001,0.0027335873865672964
