dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,target_frac,tag
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8449,0.8358,0.9077,0.0628,random_40_20_40,0.8294,0.9472,0.5622,0.5614,0.5005,0.4875,0.0,0.0129,0.5314,0.5314,0.6203,0.5697,,,0.5366,0.5286,0.0037,0.012,0.0415,3.2034,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0,0.4,harp_frac0.4
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8292,0.845,0.9141,0.0849,random_40_20_40,0.8107,0.9456,0.5794,0.5374,0.5218,0.5115,0.0,0.0185,0.5425,0.5425,0.6342,0.591,,,0.5467,0.5291,0.0092,0.0166,0.0309,3.2747,1,,325.2,0.4003,0.1821,0.1201,0.4003,1084.0,0.4,harp_frac0.4
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8329,0.8432,0.9114,0.0785,random_40_20_40,0.8205,0.9535,0.572,0.5485,0.5159,0.4977,0.0,0.0185,0.5392,0.5392,0.6298,0.5706,,,0.5187,0.518,0.0074,0.012,0.0393,3.176,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0,0.4,harp_frac0.4
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",789,eac9960f8ba0,0.81,0.00144,0.8255,0.8653,0.9086,0.0831,random_40_20_40,0.7992,0.9556,0.566,0.5429,0.5243,0.4977,0.0,0.0203,0.5416,0.5416,0.6151,0.5762,,,0.53,0.5268,0.0083,0.0092,0.0266,3.2074,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0,0.4,harp_frac0.4
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",1024,eac9960f8ba0,0.81,0.00144,0.8255,0.8487,0.9104,0.0849,random_40_20_40,0.8008,0.9382,0.561,0.5485,0.5259,0.5088,0.0,0.0175,0.5425,0.5425,0.61,0.5725,,,0.5322,0.5397,0.0046,0.0074,0.028,3.3056,1,,324.3,0.3992,0.1787,0.1198,0.3992,1081.0,0.4,harp_frac0.4
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.6, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8181,0.8044,0.8753,0.0572,random_40_20_40,0.7975,0.9377,0.592,0.5928,0.4876,0.4626,0.0,0.0065,0.5286,0.5286,0.6216,0.5854,,,0.5277,0.5222,0.0074,0.0175,0.074,3.2033,1,,487.5,0.6001,0.322,0.18,0.6001,1625.0,0.6,harp_frac0.6
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.6, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.7987,0.797,0.8827,0.084,random_40_20_40,0.7769,0.9275,0.5929,0.5845,0.5026,0.47,0.0,0.0175,0.542,0.542,0.5939,0.5965,,,0.528,0.5235,0.0,0.012,0.0519,3.4166,1,,487.2,0.5997,0.2903,0.1799,0.5997,1624.0,0.6,harp_frac0.6
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.6, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8006,0.8063,0.8892,0.0886,random_40_20_40,0.7852,0.9372,0.5641,0.5531,0.5223,0.4922,0.0,0.0231,0.5443,0.5443,0.5952,0.5614,,,0.509,0.5143,0.0037,0.0148,0.0717,3.2864,1,,486.9,0.5993,0.3227,0.1798,0.5993,1623.0,0.6,harp_frac0.6
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.6, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",789,eac9960f8ba0,0.81,0.00144,0.7913,0.8303,0.88,0.0886,random_40_20_40,0.7631,0.9358,0.6032,0.578,0.4988,0.4654,0.0,0.0083,0.5443,0.5443,0.6155,0.5873,,,0.5106,0.506,0.0046,0.0148,0.0583,3.2158,1,,487.2,0.5997,0.3191,0.1799,0.5997,1624.0,0.6,harp_frac0.6
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.6, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",1024,eac9960f8ba0,0.81,0.00144,0.7913,0.8007,0.8726,0.0813,random_40_20_40,0.7647,0.9279,0.5963,0.5762,0.5144,0.4783,0.0,0.0175,0.5406,0.5406,0.6163,0.5882,,,0.5205,0.5295,0.0074,0.0129,0.0553,3.2654,1,,487.2,0.5997,0.305,0.1799,0.5997,1624.0,0.6,harp_frac0.6
Cora,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": null, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",42,eac9960f8ba0,0.81,0.00144,0.7341,0.679,0.8227,0.0886,random_40_20_40,0.7086,0.9042,0.569,0.5531,0.5684,0.5485,0.0,0.0,0.5443,0.5443,0.5698,0.554,,,0.5196,0.512,0.0046,0.0231,0.1666,2.7406,1,,812.4,1.0,1.0,0.3,1.0,2708.0,1.0,harp_frac1.0
Cora,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": null, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",123,eac9960f8ba0,0.81,0.00144,0.7211,0.6882,0.8172,0.096,random_40_20_40,0.6981,0.8952,0.5655,0.5485,0.5673,0.5365,0.0,0.0,0.548,0.548,0.5648,0.5503,,,0.5202,0.5189,0.0009,0.0194,0.152,2.8704,1,,812.4,1.0,1.0,0.3,1.0,2708.0,1.0,harp_frac1.0
Cora,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": null, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",456,eac9960f8ba0,0.81,0.00144,0.7267,0.7048,0.831,0.1043,random_40_20_40,0.709,0.9084,0.568,0.5522,0.567,0.5392,0.0,0.0,0.5522,0.5522,0.5704,0.5466,,,0.4973,0.5028,0.0055,0.0314,0.1594,2.8523,1,,812.4,1.0,1.0,0.3,1.0,2708.0,1.0,harp_frac1.0
Cora,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": null, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",789,eac9960f8ba0,0.81,0.00144,0.6925,0.7011,0.8236,0.1311,random_40_20_40,0.6649,0.8982,0.5776,0.5679,0.5806,0.5549,0.0,0.0,0.5656,0.5656,0.5758,0.566,,,0.5027,0.5065,0.0028,0.0129,0.1457,2.7347,1,,812.4,1.0,1.0,0.3,1.0,2708.0,1.0,harp_frac1.0
Cora,GraphSAGE,harp_uniform,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""arch_aware"": true, ""risk_frac"": 1.0, ""k_hops"": 0, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": null, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": false}",1024,eac9960f8ba0,0.81,0.00144,0.6953,0.7159,0.8098,0.1145,random_40_20_40,0.6692,0.8947,0.5576,0.5448,0.5707,0.5503,0.0,0.0,0.5572,0.5572,0.5646,0.5476,,,0.5129,0.5189,0.0,0.0231,0.1307,2.7022,1,,812.4,1.0,1.0,0.3,1.0,2708.0,1.0,harp_frac1.0
