,Acc,Acc,Acc,LiRA,LiRA,LiRA
,mean,std,count,mean,std,count
tag,,,,,,
harp,0.6005540166204986,0.024268766760479468,5,0.6817368054436523,0.004628540589734043,5
lbp_strong,0.47645429362880887,0.017964059518322906,5,0.5838458711779204,0.009902027683934328,5
none,0.6718374884579871,0.02567707493127147,5,0.8181725636441299,0.008602836152013649,5
