dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,wall_seconds,n_shadows_run
ogbn-arxiv,GraphSAGE,none,{},42,07773cb6cd14,0.6542,8.1e-05,0.6629,0.6693,0.6699,0.007,ogb_official,0.3953,0.9569,0.5221,0.6524,0.5131,0.5083,0.0079,0.0438,0.5035,0.554,0.5622,0.6524,,,0.5088,0.4994,0.0005,0.0059,0.0554,74.2307,1,,1087.94,16
ogbn-arxiv,GraphSAGE,none,{},123,07773cb6cd14,0.6542,8.1e-05,0.6661,0.6686,0.6618,-0.0043,ogb_official,0.3837,0.9569,0.5302,0.6496,0.5068,0.5022,0.0073,0.0387,0.4978,0.5476,0.5573,0.6496,,,0.508,0.499,0.0015,0.0137,0.0391,86.5576,1,,1251.73,16
ogbn-arxiv,GraphSAGE,none,{},456,07773cb6cd14,0.6542,8.1e-05,0.6691,0.6726,0.6718,0.0027,ogb_official,0.391,0.9565,0.5299,0.6513,0.5114,0.5069,0.0067,0.0408,0.5014,0.5531,0.5629,0.6513,,,0.512,0.5016,0.0005,0.0079,0.0597,90.0178,1,,1176.57,16
