lam,sigma,seed,acc_val,acc_test,conf_tr_va,none_conf_tr_va,none_acc_val,delta_conf_va,acc_ratio
0.5,0.35,42,0.8763837638376384,0.8753462603878116,0.5366346045731926,0.6553180143989805,0.8597785977859779,-0.11868340982578796,1.01931330472103
0.5,0.35,123,0.9040590405904059,0.8698060941828255,0.5481851355909682,0.6487463074076725,0.8690036900369004,-0.10056117181670432,1.040339702760085
0.5,0.45,42,0.8616236162361623,0.8670360110803325,0.5335178351783517,0.6572022160664821,0.8616236162361623,-0.12368438088813039,1.0
0.5,0.45,123,0.8782287822878229,0.8578024007386889,0.547969627895725,0.6541203708435976,0.8763837638376384,-0.10615074294787263,1.0021052631578946
0.5,0.55,42,0.8450184501845018,0.850415512465374,0.5348304729584692,0.6543426930114177,0.8597785977859779,-0.11951222005294848,0.9828326180257511
0.5,0.55,123,0.8542435424354243,0.8337950138504155,0.5472805143563901,0.6418262105058723,0.8653136531365314,-0.09454569614948216,0.9872068230277184
0.5,0.65,42,0.8302583025830258,0.827331486611265,0.5290449857407161,0.6555011533494836,0.8542435424354243,-0.12645616760876743,0.9719222462203023
0.5,0.65,123,0.8284132841328413,0.8227146814404432,0.5459423223041094,0.6442206458075661,0.8726937269372693,-0.09827832350345667,0.9492600422832982
0.75,0.35,42,0.8856088560885609,0.8744228993536473,0.5334530976888716,0.6497727373395618,0.8597785977859779,-0.11631963965069014,1.0300429184549356
0.75,0.35,123,0.922509225092251,0.8725761772853186,0.5423740941010518,0.6475886988786785,0.8653136531365314,-0.10521460477762679,1.0660980810234542
0.75,0.45,42,0.8597785977859779,0.8707294552169899,0.5329326423458141,0.6555105232492768,0.8690036900369004,-0.12257788090346278,0.9893842887473461
0.75,0.45,123,0.8837638376383764,0.8568790397045245,0.5476621248206942,0.6478783139631951,0.8690036900369004,-0.10021618914250086,1.0169851380042463
0.75,0.55,42,0.8450184501845018,0.850415512465374,0.5311676939484077,0.6502233443387065,0.8579335793357934,-0.11905565039029886,0.9849462365591397
0.75,0.55,123,0.8560885608856088,0.8411819021237303,0.5447353088489334,0.6492573928509369,0.8708487084870848,-0.10452208400200347,0.983050847457627
0.75,0.65,42,0.8265682656826568,0.8282548476454293,0.5313014279727285,0.6511526680363756,0.8505535055350554,-0.11985124006364711,0.9718004338394793
0.75,0.65,123,0.8228782287822878,0.8236380424746076,0.5433332311162447,0.6457581611827199,0.8690036900369004,-0.10242493006647524,0.9469214437367303
1.0,0.35,42,0.8763837638376384,0.8707294552169899,0.534201837863254,0.6586528469162807,0.8597785977859779,-0.12445100905302664,1.01931330472103
1.0,0.35,123,0.8966789667896679,0.8753462603878116,0.5469414943456914,0.6487531218802494,0.8745387453874539,-0.10181162753455797,1.0253164556962024
1.0,0.45,42,0.8616236162361623,0.8642659279778393,0.531431754760761,0.6531194951838715,0.8579335793357934,-0.12168774042311048,1.004301075268817
1.0,0.45,123,0.8819188191881919,0.8605724838411819,0.5433264166436678,0.6458424902808585,0.8671586715867159,-0.10251607363719073,1.0170212765957447
1.0,0.55,42,0.8505535055350554,0.8494921514312096,0.5313670172712808,0.649759108394408,0.8560885608856088,-0.11839209112312721,0.9935344827586208
1.0,0.55,123,0.8505535055350554,0.8411819021237303,0.5462634543242939,0.6479566803978289,0.8690036900369004,-0.10169322607353504,0.9787685774946921
1.0,0.65,42,0.8339483394833949,0.830101569713758,0.5283712047646791,0.6564032191568454,0.8616236162361623,-0.12803201439216627,0.967880085653105
1.0,0.65,123,0.8154981549815498,0.8190212373037857,0.5478580409072789,0.647155979870048,0.8745387453874539,-0.09929793896276917,0.9324894514767932
