tag,Acc,LiRA,ECE,eps,ExactFrac,n,Acc_std,LiRA_std
gap_agg_s3,0.77618,0.51864,0.39893999999999996,41.3317,0.0,5,0.02754744997272888,0.009110323814223083
gap_agg_s5,0.44173999999999997,0.50022,0.28686,19.2243,0.0,5,0.0894528535039548,0.00873309796120483
harp_release,0.82622,0.53576,0.032979999999999995,,0.59968,5,0.006434827115004732,0.008625137680060567
lbp_eqmass,0.8701599999999999,0.5197200000000001,0.15874,,0.0,5,0.00537010241987992,0.012217078210439672
memguard,0.877,0.6169399999999999,0.0673,,0.0,5,0.005616493568054744,0.01070854798747243
none,0.877,0.56672,0.05134,,1.0,5,0.005616493568054744,0.006947445573734289
