dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,train_ratio
Cora,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8615,0.9797,0.1182,0.8582,0.957,0.582,0.5623,0.5651,0.5346,0.0,0.0,0.5461,0.5577,,,0.5444,0.5189,0.0055,0.0203,0.0869,2.3787,1,,0.4
Cora,GCN,none,{},123,eac9960f8ba0,0.81,0.00144,0.8587,0.9852,0.1265,0.8484,0.9783,0.5703,0.5651,0.5769,0.5355,0.0,0.0129,0.5708,0.5743,,,0.5707,0.5346,0.0018,0.0222,0.0415,1.0802,1,,0.4
Cora,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8606,0.9778,0.1173,0.8496,0.9552,0.5641,0.5586,0.5641,0.5365,0.0,0.0148,0.5787,0.5457,,,0.5104,0.5,0.0046,0.0083,0.0874,2.6279,1,,0.4
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8809,1.0,0.1191,0.8756,0.9802,0.6572,0.6528,0.6455,0.5854,0.0,0.0102,0.6569,0.6482,,,0.6461,0.5762,0.0295,0.1016,0.0549,1.6798,1,,0.4
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.81,0.00144,0.8864,0.9926,0.1062,0.8812,0.9605,0.5833,0.554,0.5685,0.5346,0.0,0.0,0.5646,0.5577,,,0.5386,0.5157,0.0018,0.0175,0.1035,5.3475,1,,0.4
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8707,1.0,0.1293,0.8586,0.9783,0.6531,0.6482,0.6439,0.578,0.0,0.0212,0.6528,0.6445,,,0.6438,0.5766,0.0157,0.0591,0.0623,1.8194,1,,0.4
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8726,0.9954,0.1228,0.8592,0.9581,0.5798,0.5503,0.5716,0.542,0.0,0.0148,0.5788,0.5466,,,0.5168,0.5028,0.0055,0.0111,0.0884,6.2251,1,,0.4
Citeseer,GCN,none,{},42,eac9960f8ba0,0.7355,0.000823,0.716,0.979,0.263,0.6878,0.9068,0.645,0.6349,0.6445,0.5988,0.0045,0.0188,0.6753,0.6364,,,0.6203,0.5661,0.0053,0.0398,0.1791,0.9583,1,,0.4
Citeseer,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.7355,0.000823,0.7258,0.9647,0.2389,0.6974,0.8765,0.6218,0.6093,0.6271,0.5725,0.0,0.0,0.6219,0.6138,,,0.5608,0.5316,0.0068,0.0248,0.0529,2.9556,1,,0.4
Citeseer,GCN,none,{},123,eac9960f8ba0,0.7355,0.000823,0.7122,0.9752,0.263,0.6862,0.914,0.6565,0.6379,0.6414,0.5883,0.0075,0.0285,0.6625,0.6499,,,0.6191,0.5676,0.0098,0.0451,0.1829,0.9149,1,,0.4
