tag,seed,n_sub,n_shadows,Acc,LiRA,canary_LiRA,ExactFrac,wall
none,42,15000,4,0.8599166666666667,0.5890433611111111,1.0,1.0,145.4
none,123,15000,4,0.8634166666666667,0.5950541666666667,0.9935555555555555,1.0,159.6
none,456,15000,4,0.86,0.5945180833333333,0.9984000000000001,1.0,121.6
lbp,42,15000,4,0.3764166666666667,0.5836266388888889,0.8020444444444444,0.0,118.4
lbp,123,15000,4,0.38316666666666666,0.5885547499999999,0.8461777777777778,0.0,129.5
lbp,456,15000,4,0.37866666666666665,0.5712021944444445,0.7655555555555555,0.0,129.1
harp,42,15000,4,0.68325,0.5849945833333333,0.8795333333333334,0.6,158.2
harp,123,15000,4,0.68475,0.6056881944444444,0.9071555555555556,0.6,203.6
harp,456,15000,4,0.6861666666666667,0.5861567777777777,0.8874222222222222,0.6,158.4
