,Acc,Acc,Acc,LiRA,LiRA,LiRA
,mean,std,count,mean,std,count
tag,,,,,,
harp,0.6925,0.012862520921049826,3,0.5127999074074073,0.006083522909040913,3
lbp,0.3425,0.010476163419878462,3,0.5008417870370371,0.0019136231141225195,3
none,0.8762777777777778,0.0053394062646758885,3,0.5282285555555556,0.004367975707360746,3
