dataset,model,defense,defense_params,seed,homophily,density,train_time_seconds,test_accuracy,test_f1,test_auroc,train_ego_gap,train_ego_gap_std,test_ego_gap,test_ego_gap_std,ego_gap_diff,conf_attack_auc,conf_attack_acc,conf_attack_tpr01,conf_attack_tpr05,conf_attack_adv,threshold_attack_auc,threshold_attack_acc,threshold_attack_tpr01,threshold_attack_tpr05,threshold_attack_adv,shadow_attack_auc,shadow_attack_acc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,label_only_attack_auc,label_only_attack_acc,label_only_attack_tpr01,label_only_attack_tpr05,label_only_attack_adv,label_only_flip_rate,ece_test,actual_dp_epsilon,dp_delta,dp_clip_norm,dp_noise_multiplier,lambda_epsd,epsd_ablation,model_sha256,prediction_sha256,normal_loss_ep1,epsd_kl_loss_ep1,total_loss_ep1,normal_loss_final,epsd_kl_loss_final,total_loss_final
Cora,LogReg,none,{},42,0.81,0.00144,0.0302,0.7341,0.718,0.9447,,,,,,0.7272,0.6921,0.0423,0.1408,0.3943,0.6761,0.6143,0.0078,0.0529,0.3795,0.7295,0.6843,0.0264,0.1205,0.3849,,,,,,,0.0176,,,,,0.0,none,N/A,307843f7cb85e25b3064c809a24b0c387be79617195fc908d14ceeca50fe3493,,,,,,
Cora,LogReg,none,{},123,0.81,0.00144,0.0252,0.7607,0.7439,0.9466,,,,,,0.729,0.6591,0.0433,0.1453,0.3422,0.6576,0.6012,0.0114,0.0563,0.3501,0.7186,0.6731,0.0434,0.1096,0.3531,,,,,,,0.026,,,,,0.0,none,N/A,24687177a33b4e2b2a74967d7ecfb65e9cfd42ce526970509916b3787c920d80,,,,,,
Cora,LogReg,none,{},456,0.81,0.00144,0.0224,0.7548,0.7375,0.948,,,,,,0.7219,0.6954,0.0365,0.1201,0.4079,0.6836,0.6272,0.0158,0.057,0.3833,0.7488,0.695,0.018,0.1133,0.3946,,,,,,,0.0351,,,,,0.0,none,N/A,ad621d6407971f480a45c96a337160df53a0133a8baaa7ed74365766bd1de11b,,,,,,
Cora,LogReg,none,{},789,0.81,0.00144,0.0254,0.7415,0.7203,0.9453,,,,,,0.7695,0.6977,0.053,0.2025,0.4043,0.6742,0.6219,0.0094,0.0375,0.375,0.7528,0.6859,0.0461,0.1742,0.3867,,,,,,,0.0339,,,,,0.0,none,N/A,8396adc3158dadd0c52e2f806aa117896e64b9a2b24a9fbf9b020f3370189530,,,,,,
Cora,LogReg,none,{},1024,0.81,0.00144,0.0247,0.7216,0.6946,0.94,,,,,,0.7643,0.7014,0.0378,0.1498,0.4189,0.6721,0.6078,0.0046,0.0465,0.3998,0.7635,0.6965,0.0503,0.1752,0.3976,,,,,,,0.0223,,,,,0.0,none,N/A,7785fb08fffdcb1486c20ebdf35b208e61dbcbfb0df6e87cd94e77b46301569b,,,,,,
Cora,LogReg,none,{},2024,0.81,0.00144,0.0248,0.7504,0.724,0.9456,,,,,,0.7338,0.6712,0.0543,0.1252,0.3764,0.6634,0.5986,0.0113,0.0567,0.3515,0.7231,0.6765,0.0393,0.1028,0.3621,,,,,,,0.0235,,,,,0.0,none,N/A,eded9b270e340626fc27035caed13965e71346d06b91303e448d82208cc37555,,,,,,
Cora,LogReg,none,{},3141,0.81,0.00144,0.0221,0.7452,0.718,0.9477,,,,,,0.7253,0.6736,0.0189,0.1336,0.3628,0.6732,0.6125,0.007,0.0456,0.3712,0.7391,0.6814,0.0201,0.1183,0.3813,,,,,,,0.0309,,,,,0.0,none,N/A,9ec8bc79f0462623a09f6761e2594b2da973d34543f3666bcaa5ac50561dbc35,,,,,,
Cora,LogReg,none,{},5000,0.81,0.00144,0.0238,0.7341,0.7053,0.9415,,,,,,0.7485,0.6916,0.0437,0.1828,0.3952,0.6759,0.6199,0.0101,0.053,0.3731,0.7363,0.6881,0.0405,0.1456,0.3808,,,,,,,0.024,,,,,0.0,none,N/A,6c70eea11c71c0cc780a4631a3940c04f62261f575ee1cba1a08c547d84e8817,,,,,,
Cora,LogReg,none,{},7777,0.81,0.00144,0.0242,0.7393,0.7137,0.9454,,,,,,0.7406,0.7046,0.0221,0.1132,0.4009,0.6883,0.6315,0.0234,0.0573,0.3926,0.7504,0.6903,0.0151,0.1319,0.3994,,,,,,,0.0317,,,,,0.0,none,N/A,e24d425cfa0becc6521077835141181299c713cced9fb885fbb5052cab2bb690,,,,,,
Cora,LogReg,none,{},9999,0.81,0.00144,0.0237,0.7378,0.7161,0.9441,,,,,,0.727,0.6844,0.0144,0.1326,0.387,0.6844,0.6211,0.0123,0.0671,0.3889,0.7438,0.6952,0.0247,0.1304,0.3927,,,,,,,0.0337,,,,,0.0,none,N/A,c8fdc89260bdb5adc2ed86eccfa618b5ea1379d8f51decdabe16db5276aa1dac,,,,,,
Cora,MLP,none,{},42,0.81,0.00144,0.3203,0.7127,0.6905,0.9285,,,,,,0.7697,0.7418,0.0219,0.0767,0.5323,0.7648,0.6952,0.0,0.0754,0.5389,0.7635,0.7551,0.0171,0.0785,0.5365,,,,,,,0.1737,,,,,0.0,none,N/A,9e094b0896ea74cb8cd14fe91667256b4adfa44d768c8f6064db7edcc4884e90,,,,,,
Cora,MLP,none,{},123,0.81,0.00144,0.3218,0.7459,0.7233,0.9331,,,,,,0.7495,0.7352,0.0108,0.0665,0.5124,0.755,0.6857,0.0,0.0738,0.5228,0.7538,0.7451,0.0114,0.0738,0.5213,,,,,,,0.1474,,,,,0.0,none,N/A,d0193e37df3fb9a4f8942004b1c3ad6efe8056169f89fac0bbb64744cd2d153c,,,,,,
Cora,MLP,none,{},456,0.81,0.00144,0.3223,0.7422,0.7235,0.9341,,,,,,0.7828,0.7569,0.0106,0.0851,0.5692,0.7832,0.7239,0.0,0.0848,0.5694,0.782,0.7663,0.0128,0.0848,0.5649,,,,,,,0.1453,,,,,0.0,none,N/A,63d2b5692ab688d65ad328a4c4131c1045a2e5643b60cc7b4a3d0f613404d7db,,,,,,
Cora,MLP,none,{},789,0.81,0.00144,0.36,0.7267,0.7022,0.93,,,,,,0.7831,0.7555,0.0202,0.0779,0.5741,0.765,0.7016,0.0,0.0664,0.5344,0.7639,0.7523,0.0109,0.0672,0.5305,,,,,,,0.1634,,,,,0.0,none,N/A,a96e797186f697cebde10ab44e541f06eb4e52aafd8c1e493e5daad6657f0de4,,,,,,
Cora,MLP,none,{},1024,0.81,0.00144,0.3336,0.7282,0.6985,0.9231,,,,,,0.7788,0.7654,0.0091,0.059,0.5684,0.7689,0.7022,0.0053,0.064,0.5514,0.7678,0.7635,0.0069,0.0655,0.5468,,,,,,,0.1572,,,,,0.0,none,N/A,f233e98f56a1a4382d21bf8a043dedbb15f9b3408130a0826b719d8d7beba6c6,,,,,,
Cora,MLP,none,{},2024,0.81,0.00144,0.3176,0.7194,0.6885,0.9227,,,,,,0.757,0.7339,0.0241,0.0724,0.5217,0.7632,0.6969,0.0,0.0748,0.5291,0.7619,0.7475,0.0166,0.0771,0.5276,,,,,,,0.1818,,,,,0.0,none,N/A,6e33b79712c55a4b7f2a37f33d47b0a621a868a417d847ecc7a9ffa988bac1d4,,,,,,
Cora,MLP,none,{},3141,0.81,0.00144,0.354,0.7349,0.7095,0.9313,,,,,,0.7457,0.7193,0.0094,0.0535,0.5001,0.7562,0.6829,0.0,0.0889,0.5097,0.7549,0.7456,0.0108,0.0866,0.5058,,,,,,,0.1628,,,,,0.0,none,N/A,8ba332270db2e63e2caae87a43c94c90fb9c8ef631377cbc1651b59ea62eb88e,,,,,,
Cora,MLP,none,{},5000,0.81,0.00144,0.3399,0.7208,0.6951,0.9258,,,,,,0.7918,0.757,0.0141,0.1031,0.5835,0.7823,0.7212,0.0,0.0779,0.5654,0.7808,0.7625,0.0125,0.0787,0.5615,,,,,,,0.1708,,,,,0.0,none,N/A,08c832cc2bcd3352c22ddac05254d2f5c0f568ecc0a34157e1b9352e6192fe87,,,,,,
Cora,MLP,none,{},7777,0.81,0.00144,0.3957,0.7223,0.6977,0.9325,,,,,,0.7672,0.7521,0.0191,0.0721,0.537,0.7731,0.7069,0.0,0.0806,0.5479,0.7722,0.7607,0.0211,0.0806,0.5441,,,,,,,0.163,,,,,0.0,none,N/A,7ff04c9bd252cd3d46637ff4587a9a67c6a33339e921eefeec83b1d453622365,,,,,,
Cora,MLP,none,{},9999,0.81,0.00144,0.3485,0.7201,0.6969,0.929,,,,,,0.7664,0.7546,0.0112,0.0751,0.5554,0.7739,0.7076,0.0,0.0826,0.5625,0.773,0.7658,0.017,0.0833,0.5594,,,,,,,0.1662,,,,,0.0,none,N/A,5abb0434bcc4763edbb20da0149ac356959a51e06cc495da025737cafdc1a309,,,,,,
Cora,GCN,none,{},42,0.81,0.00144,0.0,0.8685,0.8598,0.982,0.029,0.1086,0.0196,0.0553,0.0093,0.5701,0.5451,0.0282,0.0626,0.1242,0.5518,0.5295,0.0078,0.0591,0.1205,0.5668,0.5587,0.021,0.0599,0.1213,,,,,,,0.0485,,,,,0.0,none,bfab41eeac5b7c5f12d9c178b617532a734144cfb39e1d14d8ed0e14d3c492aa,8f793798f148cdd5041348fabb9b283f52f338f94cbef93acb2d7cf198eb08a6,1.9676,0.0,1.9676,0.1072,0.0,0.1072
Cora,GCN,none,{},123,0.81,0.00144,0.0,0.87,0.8635,0.9805,0.028,0.1029,0.0215,0.0572,0.0065,0.5805,0.5571,0.0139,0.051,0.1456,0.5586,0.5304,0.0038,0.0647,0.137,0.5705,0.5658,0.0084,0.0715,0.1393,,,,,,,0.0379,,,,,0.0,none,2cbfdb2bd5c6a22c46002299da2b5d83ff92c6726b34ea06d57623d2da0a169a,be9a45d1a1e604573855e59b65ba164ca79a4f66234e4821eb875d4a26413460,1.9641,0.0,1.9641,0.1148,0.0,0.1148
Cora,GCN,none,{},456,0.81,0.00144,0.0,0.8752,0.865,0.9847,0.033,0.1094,0.0175,0.0437,0.0155,0.5689,0.5626,0.0137,0.0456,0.1477,0.5536,0.5338,0.0053,0.0413,0.123,0.5546,0.5589,0.006,0.0675,0.1238,,,,,,,0.0257,,,,,0.0,none,856ea1a0d46239df5244c4c095806df5b1fa7383df2c206afb41b97d77261960,a4f0ca6cd55d4e7309776100fec76804df7aa6461760af4df5da2c1fcd9bca6d,1.9655,0.0,1.9655,0.1237,0.0,0.1237
Cora,GCN,none,{},789,0.81,0.00144,0.0,0.8752,0.861,0.9875,0.027,0.094,0.0199,0.0521,0.0071,0.5425,0.55,0.0187,0.0561,0.1192,0.5568,0.5359,0.0039,0.0547,0.1148,0.5488,0.5523,0.0102,0.0719,0.1148,,,,,,,0.0218,,,,,0.0,none,93e21c61fc47e8d7ad14e5f2a48de6cf6d6335ccccd5911d842f4f19a1a8e420,2e79f37c847fbcaedf08e7f91263cffcfccf87c2a904e7e85427fa6c2b98a828,1.9577,0.0,1.9577,0.1255,0.0,0.1255
Cora,GCN,none,{},1024,0.81,0.00144,0.0,0.8671,0.8583,0.9839,0.0324,0.1223,0.0191,0.049,0.0133,0.5902,0.5727,0.0106,0.0545,0.1496,0.5443,0.5164,0.0076,0.0411,0.131,0.5761,0.5598,0.0198,0.0724,0.131,,,,,,,0.0388,,,,,0.0,none,8db3c38ddfead974e379d0aeb9bb3acd89db37935778b401e1f772cf2d2ad7eb,da2eb64a6172f0797f6cdcb815687a2aa54546de930882daaa186ac268bc5f92,1.9539,0.0,1.9539,0.1127,0.0,0.1127
Cora,GCN,none,{},2024,0.81,0.00144,0.0,0.89,0.8798,0.9846,0.0288,0.1035,0.0204,0.0547,0.0084,0.5742,0.5737,0.0181,0.0377,0.1459,0.559,0.5389,0.0038,0.0612,0.1194,0.5593,0.554,0.0144,0.0574,0.1149,,,,,,,0.0231,,,,,0.0,none,6dc28a3722f6645d52159d6baa7b09d39b4925041ad3e437c624519b053a9749,a7e6a787bf5ecb1067f3e015148174e90b2d12f085c880d1b4f363b37a8d822e,1.9442,0.0,1.9442,0.1136,0.0,0.1136
Cora,GCN,none,{},3141,0.81,0.00144,0.0,0.8774,0.8641,0.9818,0.0301,0.115,0.0191,0.0535,0.011,0.561,0.5545,0.0063,0.0582,0.1238,0.56,0.5321,0.0124,0.0619,0.1338,0.5717,0.5576,0.0101,0.0487,0.1245,,,,,,,0.0385,,,,,0.0,none,cae17272edfa155126933e80ad5f23385a471cefbcdd225186540985a1879e29,5d80661db120cfc380815851cae06f9b9b9ee55027126af6ed08a71099587ae0,1.9459,0.0,1.9459,0.1034,0.0,0.1034
Cora,GCN,none,{},5000,0.81,0.00144,0.0,0.873,0.8653,0.9816,0.0313,0.1069,0.0195,0.0527,0.0118,0.5396,0.5514,0.0063,0.0312,0.1194,0.5526,0.5296,0.0156,0.06,0.1137,0.5563,0.5526,0.0117,0.0662,0.1121,,,,,,,0.0354,,,,,0.0,none,c383e75ac9babfad212aee463ff66386a791e1fc00f105d5138b54aac2c7dc2f,1ca43bc2a508af898de0678d07216d11fdedf0a08f7a006b5330d3732764ee0f,1.9296,0.0,1.9296,0.1232,0.0,0.1232
Cora,GCN,none,{},7777,0.81,0.00144,0.0,0.8671,0.8555,0.9829,0.0274,0.0948,0.0194,0.0553,0.008,0.5721,0.5592,0.0074,0.0544,0.1239,0.5644,0.5335,0.0075,0.061,0.1236,0.5653,0.5584,0.009,0.0588,0.1258,,,,,,,0.0329,,,,,0.0,none,f5ce809395e3a129fe96c16a9c5e3d32afe3b19c7ada91981eaa93b216330e4a,b15f4e95499798264be5776dc9bcb8226d3fb961a5b2218dce2e418362fd6d84,1.9319,0.0,1.9319,0.1092,0.0,0.1092
Cora,GCN,none,{},9999,0.81,0.00144,0.0,0.884,0.8783,0.9839,0.0321,0.1106,0.02,0.0548,0.0121,0.5634,0.5532,0.0128,0.0495,0.146,0.5621,0.5316,0.0131,0.064,0.1373,0.5854,0.5598,0.0177,0.0849,0.1397,,,,,,,0.0275,,,,,0.0,none,32eec7b2344756c649f8b63eaa53d9bd65ac4204770932b485ec3ab2d93e97b8,bd57b3cd193693c3b396a7b5531901af1e632e422a4156c1c9736c3f54a446db,1.942,0.0,1.942,0.1108,0.0,0.1108
Cora,GCN,dropedge,"{""rate"": 0.3}",42,0.81,0.00144,0.0,0.8693,0.863,0.983,0.0265,0.0786,0.0187,0.0487,0.0078,0.555,0.5435,0.0141,0.0642,0.1091,0.5565,0.5264,0.0101,0.0599,0.1089,0.5621,0.5513,0.014,0.0607,0.1081,,,,,,,0.0366,,,,,0.0,none,62894b69758093091706754377da818132328d55844fb4dd744b3ad917e8c835,37c47cdef6ed818d23935e78ca2c298fcd2037f9eaaf7ee69a6183374cc85252,1.9689,0.0,1.9689,0.17,0.0,0.17
Cora,GCN,dropedge,"{""rate"": 0.3}",123,0.81,0.00144,0.0,0.8737,0.8643,0.9806,0.025,0.075,0.0204,0.0515,0.0046,0.5802,0.5548,0.0155,0.0665,0.1391,0.5639,0.5358,0.0053,0.0647,0.1233,0.5652,0.5548,0.0167,0.054,0.121,,,,,,,0.0273,,,,,0.0,none,4f981b5f8a91d81aff833113349e78d685daf8a6aab7ed1bc7dc04e7ca7deb72,75a1c23d63f66083213a143b22223115dc1b54f5462b801d61aba6c27ff27bbf,1.9626,0.0,1.9626,0.1579,0.0,0.1579
Cora,GCN,dropedge,"{""rate"": 0.3}",456,0.81,0.00144,0.0,0.8818,0.8711,0.9856,0.0293,0.0786,0.0168,0.0394,0.0125,0.5487,0.5611,0.0076,0.0426,0.1345,0.5584,0.5409,0.0038,0.0443,0.114,0.5584,0.5398,0.0038,0.0443,0.1125,,,,,,,0.0151,,,,,0.0,none,e27c0ac2af33fbe5570f815dc8fa213c45fd895ca980e1a31ca12d63e9365322,ba7e952dfcfdc32d30de09afcbb76c53e53434610edc214e5368a60c964af2c9,1.9743,0.0,1.9743,0.1779,0.0,0.1779
Cora,GCN,dropedge,"{""rate"": 0.3}",789,0.81,0.00144,0.0,0.8796,0.868,0.9877,0.0244,0.0691,0.0188,0.0441,0.0056,0.56,0.5367,0.0078,0.0545,0.0943,0.5633,0.5461,0.0039,0.0602,0.1,0.5623,0.5449,0.0039,0.0602,0.1023,,,,,,,0.0165,,,,,0.0,none,560009b5797781c56895f2856a820305be8a71bf54dfa5a450d9d09adf260ac9,9152d636a228cb2b875913e6534df016170d897925c1479531a541c9da9e7efe,1.9568,0.0,1.9568,0.1911,0.0,0.1911
Cora,GCN,dropedge,"{""rate"": 0.3}",1024,0.81,0.00144,0.0,0.8663,0.8559,0.9849,0.0282,0.0858,0.0186,0.0475,0.0096,0.575,0.5674,0.0106,0.059,0.1398,0.5491,0.5209,0.0069,0.0465,0.1234,0.5502,0.5487,0.0198,0.0533,0.1219,,,,,,,0.0208,,,,,0.0,none,b69839b54e33068e0d45f287733b5d8db593a652930d3b20828d5358b674abe2,7549fc55b47e92125f5bc3a1d18e65fbdf58bea474bcca6df55e9c61630f5fc1,1.9574,0.0,1.9574,0.165,0.0,0.165
Cora,GCN,dropedge,"{""rate"": 0.3}",2024,0.81,0.00144,0.0,0.8877,0.876,0.9842,0.0267,0.0782,0.0192,0.0475,0.0075,0.5817,0.5563,0.0075,0.0588,0.1453,0.5676,0.548,0.0015,0.0499,0.1217,0.5675,0.551,0.0015,0.0514,0.1209,,,,,,,0.0194,,,,,0.0,none,79203d97658c83b2ed0bf16ff51f9de843dfe02e6f9cce4c09fa192d2a6e7a56,fdf8f4d5e1039d5802279294a7c164cdb36109db7958d4242f7634a40b4c46f4,1.9481,0.0,1.9481,0.1825,0.0,0.1825
Cora,GCN,dropedge,"{""rate"": 0.3}",3141,0.81,0.00144,0.0,0.8715,0.8605,0.9821,0.026,0.0808,0.0181,0.0474,0.0079,0.5712,0.5553,0.0126,0.0723,0.1307,0.5684,0.5476,0.0147,0.0665,0.1261,0.5747,0.5626,0.0162,0.0704,0.1408,,,,,,,0.0282,,,,,0.0,none,8a2b779bcb04d9e782cea9d7d9d05b0d8fe896fa6b35be1660f43c53020a01a3,d6f865b0c124a101c4de0d194a0eff500798436bfe8319e4c86c4b42d6ebc1c1,1.9464,0.0,1.9464,0.1565,0.0,0.1565
Cora,GCN,dropedge,"{""rate"": 0.3}",5000,0.81,0.00144,0.0,0.8774,0.8721,0.9831,0.0257,0.0657,0.0182,0.0464,0.0076,0.5695,0.5514,0.0047,0.0641,0.1127,0.5555,0.5312,0.0132,0.06,0.1028,0.5533,0.5483,0.0132,0.06,0.1028,,,,,,,0.0206,,,,,0.0,none,42d12a9df5a5b6d6126775c9ebe3389ff73fc6597664ba272a491478ffd5b475,a43ffcb00a6dae6997d80daad5b587bb4d3a650644636e49540edc13ab7cc164,1.9272,0.0,1.9272,0.1824,0.0,0.1824
Cora,GCN,dropedge,"{""rate"": 0.3}",7777,0.81,0.00144,0.0,0.8656,0.8564,0.9831,0.0251,0.0671,0.0179,0.0472,0.0071,0.577,0.5667,0.0074,0.0515,0.1282,0.5719,0.5463,0.0075,0.0573,0.1206,0.5719,0.5528,0.0075,0.0573,0.1198,,,,,,,0.0255,,,,,0.0,none,85af3f2a03114e0d2e4ed7c1e2249f0e5d9264b4249d8c2aedbcdcc555b6463f,37ab108baaf8b0e4d16c7f79947b55352327340176448a4af2abaa5cea8cb353,1.9316,0.0,1.9316,0.173,0.0,0.173
Cora,GCN,dropedge,"{""rate"": 0.3}",9999,0.81,0.00144,0.0,0.8781,0.8713,0.9842,0.0275,0.0773,0.019,0.0505,0.0084,0.5691,0.5471,0.0096,0.0447,0.131,0.5682,0.5394,0.0123,0.0532,0.1204,0.5687,0.559,0.0162,0.0532,0.1265,,,,,,,0.0192,,,,,0.0,none,573ea4af2ebb6d812a1a5d4175dfd1181909f6db33a24c35ee635db35cbd5d10,9c2077689f2d535db6e361cff10fa480b83a51fb8017e65bcfa1060701ea0baf,1.9491,0.0,1.9491,0.1638,0.0,0.1638
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",42,0.81,0.00144,0.0,0.8722,0.864,0.9804,0.0334,0.0724,0.0229,0.0489,0.0105,0.5513,0.5583,0.0,0.0407,0.1248,0.5585,0.5404,0.0062,0.0397,0.1283,0.5591,0.5603,0.0124,0.0467,0.1275,,,,,,,0.0802,,,,,0.0,none,60959d2cb27568cbf03e46721df6a8fb55fb0d9a74e2fdda651b441fa5bb4f83,354ccee5042ff6e54cc4e1c034ecd9cfd006a73bf8da9b86cdaee081dde38c03,1.9657,0.0,1.9657,0.5795,0.0,0.5795
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",123,0.81,0.00144,0.0,0.8759,0.8699,0.9787,0.0308,0.0656,0.0239,0.0486,0.0068,0.6156,0.5715,0.017,0.0881,0.1828,0.5729,0.5472,0.0038,0.0411,0.1522,0.5721,0.5723,0.0053,0.0411,0.1484,,,,,,,0.0945,,,,,0.0,none,8e7519a4f95fefe08b1af8b6dc2a302342c9cdc770e5a38d564e6ba05bd9e5fb,2f19120985ce83f110beba6f7efb322bdd50e91c90adc1cea2b1fcafba42f045,1.9627,0.0,1.9627,0.5825,0.0,0.5825
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",456,0.81,0.00144,0.0,0.8708,0.8613,0.9819,0.0358,0.0782,0.0213,0.0434,0.0145,0.6113,0.5664,0.0091,0.0699,0.1742,0.5663,0.5611,0.0038,0.0285,0.144,0.612,0.563,0.024,0.0915,0.1575,,,,,,,0.0905,,,,,0.0,none,591977c504e767e43c59ab36bc9d5ff0aafb45a7ea976c1f580b215a238601d7,04ba52802c2aa5c5d07bfa1a6300160afa4557480ae6c7adbf9194086f3e2618,1.9639,0.0,1.9639,0.5883,0.0,0.5883
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",789,0.81,0.00144,0.0,0.8789,0.8668,0.9864,0.0316,0.0706,0.023,0.0463,0.0086,0.5645,0.5602,0.0016,0.0421,0.1253,0.5675,0.5508,0.0039,0.0383,0.1352,0.5688,0.559,0.0086,0.0406,0.1383,,,,,,,0.0964,,,,,0.0,none,8cd3cc48177c81ac8770566fd8f58b88c8de1b2596d44545f9cb6d4188cf68dd,05d0d8309a1ecb2f880f9caa51256ade7c90c00c22cb952f981c34ca3194abcf,1.9567,0.0,1.9567,0.5946,0.0,0.5946
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",1024,0.81,0.00144,0.0,0.8641,0.8557,0.9821,0.0339,0.0744,0.0231,0.0481,0.0108,0.6017,0.5933,0.0106,0.0711,0.2049,0.5566,0.5385,0.003,0.0236,0.1432,0.6037,0.567,0.0137,0.0746,0.1645,,,,,,,0.0801,,,,,0.0,none,0742c9eef38be3a32070e18a7cd2b71bc77a753df69784488c44d86368e9c52b,29fd1fbabde8b1a0c50fa0545b40f1d154a4d397d7e6d1b3cf1448ae45c9462c,1.9533,0.0,1.9533,0.5828,0.0,0.5828
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",2024,0.81,0.00144,0.0,0.887,0.8734,0.9818,0.0328,0.0718,0.0235,0.0499,0.0093,0.6248,0.5729,0.0136,0.0769,0.1923,0.5703,0.5563,0.0038,0.034,0.1398,0.5798,0.5612,0.0091,0.0416,0.1481,,,,,,,0.1016,,,,,0.0,none,2bd7e0e91d20bfcc425530d98acc28d4e1e77597a927328ccc078b7a61175d1e,1da83dc34c8bde440b0caca6a588aeef862ad75c19384fdabd3b88be3429b263,1.9446,0.0,1.9446,0.5816,0.0,0.5816
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",3141,0.81,0.00144,0.0,0.8752,0.8633,0.9775,0.0334,0.0769,0.0233,0.0485,0.0102,0.5975,0.5545,0.0252,0.0975,0.1495,0.5775,0.5592,0.0031,0.0363,0.1555,0.5835,0.5708,0.0124,0.0657,0.1647,,,,,,,0.0813,,,,,0.0,none,c6e8f8b9d94a03e2bca038502421af7c864f66057076d92bd9f2e80876e97a33,0acfb6ecc8c6f8f3bc53b8fed7d1d53afaa95cc44408b8c9842f21794e4290f4,1.9464,0.0,1.9464,0.5724,0.0,0.5724
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",5000,0.81,0.00144,0.0,0.8774,0.871,0.9797,0.0342,0.0716,0.0222,0.0473,0.012,0.6093,0.56,0.0359,0.0797,0.1677,0.5654,0.5514,0.0078,0.0413,0.1402,0.5656,0.5689,0.0078,0.0405,0.1394,,,,,,,0.0982,,,,,0.0,none,b080b4f2a235f30c8fdf9c5d8128f460f72ee753556f34e2c31ab75d411ffe33,159196d90407aec6522cd2b70622255c3ffb4849d70d534d6450c52053105254,1.9315,0.0,1.9315,0.5891,0.0,0.5891
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",7777,0.81,0.00144,0.0,0.8641,0.8544,0.9822,0.0338,0.0679,0.0214,0.0474,0.0124,0.5767,0.5727,0.0103,0.0559,0.1597,0.5728,0.5546,0.0075,0.0392,0.15,0.5692,0.5705,0.0038,0.0362,0.1575,,,,,,,0.0857,,,,,0.0,none,35eb8b958dacad330f9a2ca94f25d11fda5c0cb229fcc7356e2a1200aaf3a905,0968ba63cb3ee0d0c301e4b119153f7d22587837b30a6223e923130af0187bad,1.9336,0.0,1.9336,0.5795,0.0,0.5795
Cora,GCN,label_smoothing,"{""alpha"": 0.1}",9999,0.81,0.00144,0.0,0.8759,0.8695,0.9807,0.0334,0.0714,0.0228,0.0475,0.0106,0.6171,0.5656,0.0096,0.0767,0.1788,0.5695,0.5486,0.0093,0.0332,0.1543,0.5693,0.5691,0.0093,0.0316,0.1528,,,,,,,0.0946,,,,,0.0,none,db9b690e82f0a34ebd8adbadbb24558430e64a65051ad8bbe4897c10eb941e5b,ca5387f3f330e10186d25815e24b3ab652c400015f4cac87cf3ba8535734611f,1.9427,0.0,1.9427,0.5791,0.0,0.5791
Cora,GCN,early_stopping,"{""patience"": 15}",42,0.81,0.00144,0.0,0.8685,0.8598,0.982,0.029,0.1086,0.0196,0.0553,0.0093,0.5701,0.5451,0.0282,0.0626,0.1242,0.5518,0.5295,0.0078,0.0591,0.1205,0.5668,0.5587,0.021,0.0599,0.1213,,,,,,,0.0485,,,,,0.0,none,bfab41eeac5b7c5f12d9c178b617532a734144cfb39e1d14d8ed0e14d3c492aa,8f793798f148cdd5041348fabb9b283f52f338f94cbef93acb2d7cf198eb08a6,1.9676,0.0,1.9676,0.1072,0.0,0.1072
Cora,GCN,early_stopping,"{""patience"": 15}",123,0.81,0.00144,0.0,0.87,0.8635,0.9805,0.028,0.1029,0.0215,0.0572,0.0065,0.5805,0.5571,0.0139,0.051,0.1456,0.5586,0.5304,0.0038,0.0647,0.137,0.5705,0.5658,0.0084,0.0715,0.1393,,,,,,,0.0379,,,,,0.0,none,2cbfdb2bd5c6a22c46002299da2b5d83ff92c6726b34ea06d57623d2da0a169a,be9a45d1a1e604573855e59b65ba164ca79a4f66234e4821eb875d4a26413460,1.9641,0.0,1.9641,0.1148,0.0,0.1148
Cora,GCN,early_stopping,"{""patience"": 15}",456,0.81,0.00144,0.0,0.8752,0.865,0.9847,0.033,0.1094,0.0175,0.0437,0.0155,0.5689,0.5626,0.0137,0.0456,0.1477,0.5536,0.5338,0.0053,0.0413,0.123,0.5546,0.5589,0.006,0.0675,0.1238,,,,,,,0.0257,,,,,0.0,none,856ea1a0d46239df5244c4c095806df5b1fa7383df2c206afb41b97d77261960,a4f0ca6cd55d4e7309776100fec76804df7aa6461760af4df5da2c1fcd9bca6d,1.9655,0.0,1.9655,0.1237,0.0,0.1237
