,Acc,Acc,Acc,LiRA,LiRA,LiRA
,mean,std,count,mean,std,count
tag,,,,,,
harp,0.6483958333333333,0.006058417869653173,3,0.5062996393229167,0.004050159707502129,3
lbp,0.305,0.001763341997458238,3,0.5033788326822917,0.0029948353624263176,3
none,0.8258541666666667,0.0036133072915728076,3,0.5039006705729167,0.003114659937690115,3
