dataset,protocol,defense,seed,test_accuracy,lira_attack_auc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,noise_mass,frac_protected,n_train_edges,n_full_edges,train_seconds
Cora,inductive_exclude_test_edges,none,42,0.6768236380424746,0.630024665590691,0.006463527239150508,0.03508771929824561,0.05127259877029658,,,3748,10556,0.6304628849029541
Cora,inductive_exclude_test_edges,none,123,0.6860572483841182,0.6485524205615365,0.009233610341643583,0.03693444136657433,0.03907569234335963,,,4106,10556,0.8630928993225098
Cora,inductive_exclude_test_edges,none,456,0.7054478301015698,0.614979763643448,0.007386888273314866,0.03693444136657433,0.05071019265019884,,,3596,10556,0.6698939800262451
Cora,inductive_exclude_test_edges,lbp,42,0.4773776546629732,0.5332576228441055,0.0018467220683287165,0.0110803324099723,0.050724374414223124,812.4,1.0,3748,10556,0.6347341537475586
Cora,inductive_exclude_test_edges,lbp,123,0.4903047091412742,0.5449381825560645,0.009233610341643583,0.023084025854108958,0.05133483376218037,812.4,1.0,4106,10556,0.661395788192749
Cora,inductive_exclude_test_edges,lbp,456,0.4903047091412742,0.52935785057239,0.002770083102493075,0.027700831024930747,0.0384961230879567,812.4,1.0,3596,10556,0.613541841506958
Cora,inductive_exclude_test_edges,harp,42,0.6204986149584487,0.5722237995240812,0.00554016620498615,0.013850415512465374,0.04516471245170657,325.19999999999993,0.40029542097488924,3748,10556,1.7812931537628174
Cora,inductive_exclude_test_edges,harp,123,0.6204986149584487,0.5813082056358274,0.006463527239150508,0.01569713758079409,0.03138227971322944,324.9,0.3999261447562777,4106,10556,1.8212170600891113
Cora,inductive_exclude_test_edges,harp,456,0.6177285318559557,0.5543815314151638,0.018467220683287166,0.019390581717451522,0.034535387485253574,324.9,0.3999261447562777,3596,10556,1.709010124206543
