dataset,seed,tag,defense,Acc,LiRA,TPR1,ECE,Mass,Frac,ExactFrac,feasible_c060
Chameleon,123,none,none,0.4643,0.6052,,,,,,1
Chameleon,123,lbp_strong,lbp,0.3974,0.5309,,,683.1,1.0,0.0,0
Chameleon,123,lbp_eqmass,lbp,0.4533,0.5474,,,273.24,1.0,0.0,0
Chameleon,123,sel_lte,harp_release_only,0.4479,0.556,,,272.7,0.3992,0.6008,1
Chameleon,123,sel_random,harp_random,0.4555,0.5546,,,271.8,0.3979,0.6021000000000001,1
Chameleon,123,sel_audit,harp_audit,0.4435,0.5564,,,295.5,0.4326,0.5674,1
Chameleon,123,sel_degree,harp_degree,0.4468,0.5741,,,273.3,0.4001,0.5999,1
Chameleon,123,sel_train_nbr,harp_train_nbr,0.438,0.5423,,,288.6,0.4225,0.5775,1
Chameleon,123,sel_confidence,harp_confidence,0.4215,0.5523,,,317.7,0.4651,0.5348999999999999,1
Chameleon,123,sel_entropy,harp_entropy,0.438,0.5554,,,289.2,0.4234,0.5766,1
Chameleon,456,none,none,0.438,0.6153,,,,,,1
Chameleon,456,lbp_strong,lbp,0.382,0.5484,,,683.1,1.0,0.0,0
Chameleon,456,lbp_eqmass,lbp,0.4215,0.5616,,,273.24,1.0,0.0,0
Chameleon,456,sel_lte,harp_release_only,0.4204,0.5614,,,273.3,0.4001,0.5999,1
Chameleon,456,sel_random,harp_random,0.4369,0.5616,,,276.9,0.4054,0.5946,1
Chameleon,456,sel_audit,harp_audit,0.4226,0.5628,,,276.6,0.4049,0.5951,1
Chameleon,456,sel_degree,harp_degree,0.4215,0.5942,,,273.3,0.4001,0.5999,1
Chameleon,456,sel_train_nbr,harp_train_nbr,0.4226,0.552,,,273.3,0.4001,0.5999,1
Chameleon,456,sel_confidence,harp_confidence,0.4336,0.5629,,,276.3,0.4045,0.5954999999999999,1
Chameleon,456,sel_entropy,harp_entropy,0.4215,0.5747,,,272.4,0.3988,0.6012,1
Chameleon,789,none,none,0.4786,0.64,,,,,,1
Chameleon,789,lbp_strong,lbp,0.4193,0.558,,,683.1,1.0,0.0,0
Chameleon,789,lbp_eqmass,lbp,0.4687,0.5837,,,273.24,1.0,0.0,0
Chameleon,789,sel_lte,harp_release_only,0.4555,0.5635,,,272.1,0.3983,0.6017,1
Chameleon,789,sel_random,harp_random,0.4588,0.5906,,,273.0,0.3996,0.6004,1
Chameleon,789,sel_audit,harp_audit,0.4533,0.5647,,,393.0,0.5753,0.42469999999999997,1
Chameleon,789,sel_degree,harp_degree,0.4435,0.6013,,,273.3,0.4001,0.5999,1
Chameleon,789,sel_train_nbr,harp_train_nbr,0.4566,0.5618,,,274.8,0.4023,0.5977,1
Chameleon,789,sel_confidence,harp_confidence,0.4588,0.572,,,273.9,0.401,0.599,1
Chameleon,789,sel_entropy,harp_entropy,0.4621,0.5864,,,274.2,0.4014,0.5986,1
Chameleon,1024,none,none,0.4215,0.6192,,,,,,1
Chameleon,1024,lbp_strong,lbp,0.3524,0.5447,,,683.1,1.0,0.0,0
Chameleon,1024,lbp_eqmass,lbp,0.404,0.5717,,,273.24,1.0,0.0,0
Chameleon,1024,sel_lte,harp_release_only,0.3941,0.5621,,,268.8,0.3935,0.6065,1
Chameleon,1024,sel_random,harp_random,0.3963,0.5783,,,264.9,0.3878,0.6122000000000001,1
Chameleon,1024,sel_audit,harp_audit,0.4237,0.5755,,,267.9,0.3922,0.6078,1
Chameleon,1024,sel_degree,harp_degree,0.416,0.5836,,,273.3,0.4001,0.5999,1
Chameleon,1024,sel_train_nbr,harp_train_nbr,0.4061,0.5636,,,272.7,0.3992,0.6008,1
Chameleon,1024,sel_confidence,harp_confidence,0.4094,0.5817,,,211.8,0.3101,0.6899,1
Chameleon,1024,sel_entropy,harp_entropy,0.4193,0.5749,,,272.4,0.3988,0.6012,1
