dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,pareto_lam,pareto_noise,pareto_lbp_scale,pareto_gtd_gamma
Cora,GraphSAGE,gtd,"{""gamma"": 2.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,eac9960f8ba0,0.81,0.00144,0.8873,1.0,0.1127,0.8861,0.9795,0.5951,0.578,0.5772,0.5466,0.0,0.0102,0.5472,0.5706,,,0.5791,0.5351,0.012,0.0517,0.0852,1.706,1,,,,,2.0
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8707,1.0,0.1293,0.8586,0.9783,0.6531,0.6482,0.6439,0.578,0.0,0.0212,0.6528,0.6445,,,0.6438,0.5766,0.0157,0.0591,0.0623,1.6458,1,,,,,
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",123,eac9960f8ba0,0.81,0.00144,0.8763,1.0,0.1237,0.8653,0.9798,0.6327,0.6159,0.6239,0.5743,0.0018,0.0157,0.6123,0.6131,,,0.6314,0.5711,0.0212,0.0646,0.0545,5.4576,1,,0.25,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8744,0.9954,0.121,0.8603,0.9564,0.5821,0.5549,0.5742,0.5429,0.0,0.0148,0.5803,0.5522,,,0.5162,0.5023,0.0055,0.0102,0.0875,6.6409,1,,0.25,0.25,,
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.81,0.00144,0.8689,0.9797,0.1108,0.8562,0.9462,0.5742,0.5503,0.5654,0.5374,0.0,0.0166,0.5697,0.5531,,,0.5036,0.4949,0.0065,0.0102,0.137,6.512,1,,0.25,0.4,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",123,eac9960f8ba0,0.81,0.00144,0.8781,1.0,0.1219,0.8673,0.9803,0.6252,0.6039,0.6173,0.5706,0.0009,0.0148,0.6095,0.5993,,,0.6105,0.5536,0.024,0.06,0.0489,6.4258,1,,0.5,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8735,0.9954,0.1219,0.8601,0.9581,0.5795,0.5494,0.5715,0.542,0.0,0.0148,0.5803,0.5494,,,0.5169,0.5028,0.0055,0.0111,0.0903,5.9769,1,,0.5,0.25,,
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.81,0.00144,0.868,0.9778,0.1099,0.856,0.9463,0.5721,0.5476,0.5637,0.5365,0.0,0.0157,0.5687,0.5503,,,0.5072,0.4977,0.0055,0.0074,0.1371,4.7535,1,,0.5,0.4,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",123,eac9960f8ba0,0.81,0.00144,0.8772,1.0,0.1228,0.8668,0.9807,0.618,0.6002,0.61,0.566,0.0009,0.0175,0.5991,0.59,,,0.6018,0.5489,0.0323,0.0545,0.0469,4.9866,1,,1.0,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.81,0.00144,0.8753,0.9945,0.1191,0.8634,0.9589,0.5798,0.5476,0.5698,0.5392,0.0,0.0148,0.5809,0.5568,,,0.5192,0.5042,0.0065,0.012,0.0899,5.3372,1,,1.0,0.25,,
Cora,GraphSAGE,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.81,0.00144,0.867,0.9741,0.1071,0.8568,0.9479,0.57,0.5439,0.5624,0.5374,0.0,0.0157,0.5683,0.5494,,,0.5097,0.5,0.0037,0.0055,0.1361,4.8717,1,,1.0,0.4,,
Cora,GraphSAGE,lbp,"{""scale"": 0.1}",123,eac9960f8ba0,0.81,0.00144,0.8698,0.9991,0.1293,0.8594,0.9472,0.5864,0.5771,0.5793,0.5328,0.0,0.0166,0.5865,0.5679,,,0.5503,0.5222,0.0111,0.0268,0.1227,1.6078,1,,,,0.1,
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.81,0.00144,0.7184,0.8098,0.0914,0.6922,0.8958,0.5584,0.5466,0.5472,0.5162,0.0,0.0,0.5591,0.542,,,0.5244,0.5055,0.0083,0.0194,0.1461,1.5947,1,,,,0.3,
Cora,GraphSAGE,lbp,"{""scale"": 0.5}",123,eac9960f8ba0,0.81,0.00144,0.5457,0.5716,0.0259,0.5183,0.823,0.5269,0.5235,0.5303,0.5115,0.0,0.0,0.5254,0.506,,,0.5197,0.5051,0.0009,0.0129,0.0452,1.4727,1,,,,0.5,
Cora,GraphSAGE,gtd,"{""gamma"": 0.5, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,eac9960f8ba0,0.81,0.00144,0.8744,0.9991,0.1247,0.8667,0.9766,0.591,0.5679,0.5866,0.5494,0.0,0.0166,0.5734,0.5716,,,0.5971,0.5489,0.0055,0.024,0.0965,1.6652,1,,,,,0.5
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,eac9960f8ba0,0.81,0.00144,0.868,0.9991,0.1311,0.8588,0.9765,0.5885,0.5679,0.5838,0.5476,0.0,0.0092,0.5668,0.5716,,,0.5901,0.5439,0.0055,0.024,0.1008,1.4632,1,,,,,1.0
Cora,GraphSAGE,gtd,"{""gamma"": 2.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,eac9960f8ba0,0.81,0.00144,0.868,0.9991,0.1311,0.8595,0.9767,0.5835,0.5651,0.5795,0.5466,0.0,0.0166,0.566,0.5623,,,0.5837,0.5411,0.0037,0.0194,0.105,1.4981,1,,,,,2.0
Cora,GraphSAGE,none,{},456,eac9960f8ba0,0.81,0.00144,0.8846,1.0,0.1154,0.8768,0.9861,0.6535,0.65,0.6456,0.5854,0.0,0.0259,0.6533,0.6491,,,0.6456,0.5799,0.0305,0.1006,0.0428,1.4703,1,,,,,
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.0}",456,eac9960f8ba0,0.81,0.00144,0.8781,1.0,0.1219,0.8701,0.986,0.6291,0.6187,0.6228,0.5706,0.0,0.0166,0.6288,0.614,,,0.6219,0.5665,0.0342,0.0923,0.0497,4.7621,1,,0.25,0.0,,
Cora,GraphSAGE,sami,"{""lam"": 0.25, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",456,eac9960f8ba0,0.81,0.00144,0.8772,0.9963,0.1191,0.8704,0.9642,0.5724,0.5596,0.5756,0.542,0.0,0.0,0.5556,0.5697,,,0.5304,0.5157,0.0028,0.024,0.0948,4.5904,1,,0.25,0.25,,
