noise_multiplier,epochs,lr,acc_mean,acc_std,eps_mean
0.05,150,0.1,0.7823945829485996,0.007125784489252199,1186.7300796533862
0.08,120,0.08,0.6248076331178825,0.032917385588919955,663.4022822621779
0.1,100,0.05,0.3770390889504463,0.046170103576031116,484.4805262605389
0.15,100,0.05,0.38565712526931367,0.04745113534158636,322.987017507026
0.2,80,0.05,0.3859649122807018,0.036594309504959927,216.66627809868746
