dataset,defense,seed,plant_canaries,acc,pop_lira,pop_tpr01,topdecile_lira,n_topdecile,n_shadows,canary_lira,n_canaries
Cora,none,42,False,0.8781163434903048,0.5729868725855558,0.034164358264081256,0.6039409486032116,169,4,,
Cora,none,123,False,0.8670360110803325,0.5793694032427621,0.04155124653739612,0.5614035087719298,149,4,,
Cora,none,456,False,0.8901200369344414,0.5583478061436333,0.024930747922437674,0.5661100851544065,144,4,,
Cora,sami,42,False,0.8670360110803325,0.5179782571070237,0.012003693444136657,0.5252011998229769,169,4,,
Cora,sami,123,False,0.8781163434903048,0.5191957636229856,0.014773776546629732,0.4771607577757534,149,4,,
Cora,sami,456,False,0.8716528162511542,0.4934819066424871,0.018467220683287166,0.4747999384425977,144,4,,
Cora,none,42,True,0.8845798707294552,0.5685904633771823,0.038781163434903045,0.6083364749463194,169,4,0.5846750923361035,64.0
Cora,none,123,True,0.8707294552169899,0.5810191757276264,0.03508771929824561,0.5622648992668884,149,4,0.5342364958448753,64.0
Cora,none,456,True,0.8799630655586335,0.5543542483559826,0.018467220683287166,0.559960757156048,144,4,0.4934643351800554,64.0
Cora,sami,42,True,0.8753462603878116,0.5187575294848874,0.014773776546629732,0.5355603271648446,169,4,0.5369344413665744,64.0
Cora,sami,123,True,0.8707294552169899,0.5204797725957017,0.01662049861495845,0.47746441341786117,149,4,0.4836969067405355,64.0
Cora,sami,456,True,0.8725761772853186,0.4970730393072149,0.01662049861495845,0.48291782086795937,144,4,0.4517976685133887,64.0
