tag,seed,n_sub,n_shadows,Acc,LiRA,Mass,Frac,wall
none,42,15000,8,0.8806666666666667,0.5242716944444443,,,43.87
none,123,15000,8,0.8778333333333334,0.527498361111111,,,45.74
none,456,15000,8,0.8703333333333333,0.5329156111111112,,,43.82
lbp,42,15000,8,0.3335,0.5026168888888889,4500.0,1.0,44.32
lbp,123,15000,8,0.354,0.49881462499999996,4500.0,1.0,44.26
lbp,456,15000,8,0.34,0.5010938472222222,4500.0,1.0,44.38
harp,42,15000,8,0.6801666666666667,0.5076996388888889,1840.8,0.4090666666666667,95.18
harp,123,15000,8,0.6915,0.5111667777777777,1799.1,0.3998,93.02
harp,456,15000,8,0.7058333333333333,0.5195333055555555,1642.5,0.365,93.82
