dataset,model,defense,defense_params,n_seeds,test_accuracy,test_f1,shadow_attack_auc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,conf_attack_auc,conf_attack_tpr01,label_only_attack_auc,label_only_attack_tpr01,test_accuracy_p_val,test_accuracy_fdr_q_val,test_f1_p_val,test_f1_fdr_q_val,shadow_attack_auc_p_val,shadow_attack_auc_fdr_q_val,shadow_attack_tpr01_p_val,shadow_attack_tpr01_fdr_q_val,shadow_attack_tpr05_p_val,shadow_attack_tpr05_fdr_q_val,shadow_attack_adv_p_val,shadow_attack_adv_fdr_q_val,conf_attack_auc_p_val,conf_attack_auc_fdr_q_val,conf_attack_tpr01_p_val,conf_attack_tpr01_fdr_q_val,label_only_attack_auc_p_val,label_only_attack_auc_fdr_q_val,label_only_attack_tpr01_p_val,label_only_attack_tpr01_fdr_q_val
Citeseer,GCN,dropedge,"{""rate"": 0.1}",10,"0.7174 (0.7130, 0.7223)","0.6853 (0.6798, 0.6909)","0.6590 (0.6522, 0.6673)","0.0182 (0.0138, 0.0234)","0.0808 (0.0732, 0.0886)","0.2838 (0.2732, 0.2945)","0.6396 (0.6258, 0.6525)","0.0110 (0.0084, 0.0135)","0.5646 (0.5562, 0.5721)","0.0000 (0.0000, 0.0000)",0.6700126601532712,0.7577524132685806,0.13846700439592804,0.2702951798139691,0.23110550279526942,0.31967897743486606,0.9090434882814232,0.9572117485424074,0.7383638663402525,0.8716024587625538,0.013648095355655773,0.024488582523862358,0.011338140937458472,0.025612778808359427,0.06833131494847962,0.3399603377447811,0.20364917130916257,0.33655705153198445,,
Citeseer,GCN,dropedge,"{""rate"": 0.2}",10,"0.7197 (0.7145, 0.7253)","0.6871 (0.6813, 0.6928)","0.6614 (0.6550, 0.6688)","0.0186 (0.0162, 0.0212)","0.0780 (0.0734, 0.0822)","0.2829 (0.2743, 0.2930)","0.6426 (0.6294, 0.6562)","0.0118 (0.0085, 0.0148)","0.5688 (0.5572, 0.5812)","0.0000 (0.0000, 0.0000)",0.49505639120745043,0.6355453670906459,0.6780230840351161,0.7729463158000324,0.07266356309967544,0.11581908027054867,0.7206407269097437,0.8629148171560757,0.6577914101960177,0.8204395006877949,0.011509547821532509,0.02125881185859534,0.0038822221923533046,0.009598565105503446,0.04522784393266994,0.3399603377447811,0.03308545789085086,0.08446206323355422,,
Citeseer,GCN,dropedge,"{""rate"": 0.3}",10,"0.7212 (0.7165, 0.7259)","0.6891 (0.6837, 0.6940)","0.6633 (0.6565, 0.6708)","0.0209 (0.0186, 0.0230)","0.0827 (0.0804, 0.0851)","0.2844 (0.2744, 0.2957)","0.6437 (0.6308, 0.6575)","0.0113 (0.0087, 0.0142)","0.5689 (0.5587, 0.5789)","0.0000 (0.0000, 0.0000)",0.2917504604303173,0.46976769052339235,0.7238989108027702,0.7914584246044215,0.019212740467931314,0.03507698636805775,0.27244812741386576,0.6054981460200438,0.37710892199489926,0.6652370871145975,0.17513881475601703,0.2380674797982223,0.001255378047017296,0.0038377034788451233,0.17231219299486086,0.45358387052452037,0.003278744953427576,0.013546393623371827,,
Citeseer,GCN,dropedge,"{""rate"": 0.5}",10,"0.7255 (0.7197, 0.7310)","0.6923 (0.6870, 0.6973)","0.6641 (0.6571, 0.6717)","0.0209 (0.0176, 0.0246)","0.0774 (0.0711, 0.0835)","0.2777 (0.2685, 0.2884)","0.6448 (0.6323, 0.6572)","0.0127 (0.0099, 0.0152)","0.5704 (0.5606, 0.5799)","0.0000 (0.0000, 0.0000)",0.00803537024982643,0.03418030628657511,0.10591379162643134,0.2321956201040995,0.027367920059812673,0.04855099942814226,0.16319843710414025,0.5006227194013174,0.6116135217275787,0.8035424511399988,0.00249975040099118,0.005376175519939935,0.00037397413339959086,0.0013654404405519945,0.04818108221571585,0.3399603377447811,0.0001145866957636567,0.0012444381002063023,,
Citeseer,GCN,edge_sparsification,"{""rate"": 0.05}",10,"0.7173 (0.7123, 0.7218)","0.6861 (0.6813, 0.6907)","0.6536 (0.6467, 0.6606)","0.0150 (0.0119, 0.0181)","0.0733 (0.0646, 0.0817)","0.2900 (0.2791, 0.3014)","0.6397 (0.6254, 0.6554)","0.0158 (0.0113, 0.0214)","0.5619 (0.5529, 0.5695)","0.0000 (0.0000, 0.0000)",0.6449659979311213,0.7368994387870585,0.3993072149832231,0.5497708032377708,0.42378518497041323,0.49652443313697664,0.32357529916077843,0.6589208148677645,0.34076934465795466,0.6445877965216733,0.643295129638683,0.7087532305492859,0.06984361866551331,0.12750521081959987,0.03170745613725107,0.3399603377447811,0.9558167117173019,0.9650368086148965,,
Citeseer,GCN,edge_sparsification,"{""rate"": 0.1}",10,"0.7158 (0.7103, 0.7207)","0.6853 (0.6801, 0.6904)","0.6570 (0.6499, 0.6648)","0.0140 (0.0113, 0.0165)","0.0756 (0.0699, 0.0807)","0.2962 (0.2864, 0.3066)","0.6440 (0.6315, 0.6582)","0.0106 (0.0078, 0.0140)","0.5661 (0.5567, 0.5742)","0.0000 (0.0000, 0.0000)",0.3567630892437316,0.5152095667443376,0.357420270105515,0.5155619635881195,0.7203007872739414,0.7853279416806167,0.24882351006043563,0.6054981460200438,0.4662277987774947,0.734172782254382,0.02936449304650269,0.048952225221421494,0.0011804676091422244,0.0037823145843944744,0.46259873653558764,0.720365196694721,0.23426747286542834,0.3677999323987225,,
Citeseer,GCN,edge_sparsification,"{""rate"": 0.2}",10,"0.7128 (0.7089, 0.7170)","0.6824 (0.6777, 0.6866)","0.6695 (0.6637, 0.6769)","0.0170 (0.0138, 0.0201)","0.0822 (0.0760, 0.0890)","0.3039 (0.2932, 0.3154)","0.6570 (0.6452, 0.6698)","0.0128 (0.0101, 0.0153)","0.5737 (0.5661, 0.5806)","0.0000 (0.0000, 0.0000)",0.05283126333322821,0.1364280455772924,0.04657689578722172,0.12642300285103036,0.0008785585562123757,0.0022428242817128944,0.7763994836335054,0.8943766214206054,0.46691610923770727,0.734172782254382,0.0024005301379600953,0.005198389402203241,3.425263180586797e-05,0.00017631682601709087,0.09449063863418723,0.35183339779159584,0.0028965828486605984,0.012127026859725705,,
Citeseer,GCN,edge_sparsification,"{""rate"": 0.3}",10,"0.7087 (0.7061, 0.7116)","0.6767 (0.6730, 0.6802)","0.6762 (0.6677, 0.6859)","0.0140 (0.0116, 0.0167)","0.0733 (0.0673, 0.0797)","0.3204 (0.3110, 0.3296)","0.6683 (0.6577, 0.6780)","0.0152 (0.0117, 0.0182)","0.5818 (0.5756, 0.5878)","0.0000 (0.0000, 0.0000)",0.0030004325059186233,0.016767122827192307,0.0009043890620623786,0.006706311267142353,0.0002342055283558259,0.0007003860562259936,0.03864283822078634,0.2468409870021658,0.22390232047214742,0.5207802120611429,2.4100501780365447e-06,1.4013995479693982e-05,9.071409473423612e-07,1.0955471440980825e-05,0.004066178346205199,0.15908922779527843,0.0003783350835870552,0.0028285051487222696,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 0.01}",10,"0.7181 (0.7139, 0.7231)","0.6866 (0.6824, 0.6920)","0.6560 (0.6477, 0.6645)","0.0164 (0.0139, 0.0188)","0.0728 (0.0682, 0.0770)","0.2880 (0.2777, 0.2992)","0.6334 (0.6187, 0.6488)","0.0164 (0.0112, 0.0230)","0.5620 (0.5505, 0.5735)","0.0000 (0.0000, 0.0000)",0.9549622523908639,0.965121425288639,0.20114047980088626,0.35385825150155914,0.808738167822195,0.8521603513294269,0.3812107659325891,0.6818226842108595,0.0815441420002438,0.28137209437446764,0.4883466380877389,0.5658333740204798,0.45957423244942375,0.5706077739789641,0.055480230778464236,0.3399603377447811,0.8861914906878492,0.9183634589966491,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 0.03}",10,"0.7191 (0.7142, 0.7251)","0.6874 (0.6827, 0.6927)","0.6544 (0.6455, 0.6635)","0.0152 (0.0125, 0.0185)","0.0703 (0.0649, 0.0759)","0.2874 (0.2761, 0.2981)","0.6327 (0.6198, 0.6469)","0.0130 (0.0102, 0.0153)","0.5598 (0.5478, 0.5712)","0.0000 (0.0000, 0.0000)",0.37307500285226286,0.5263681970935391,0.5007115682077686,0.6305916929794323,0.3079468569324829,0.3924568097052501,0.2404463719895656,0.6054981460200438,0.05434281465409055,0.2337485452244443,0.4492778240956271,0.5224934695038034,0.5626059344895727,0.6691600887489616,0.020745705550895385,0.32467029187151275,0.43314196062408417,0.5742322976957097,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 0.1}",10,"0.7203 (0.7156, 0.7257)","0.6884 (0.6835, 0.6938)","0.6535 (0.6439, 0.6625)","0.0155 (0.0124, 0.0189)","0.0713 (0.0657, 0.0766)","0.2837 (0.2732, 0.2948)","0.6268 (0.6124, 0.6397)","0.0121 (0.0092, 0.0150)","0.5523 (0.5399, 0.5635)","0.0000 (0.0000, 0.0000)",0.060033433681380206,0.1500835842034505,0.7248092941114176,0.7914584246044215,0.2675185603492532,0.35751340210105403,0.37244207385397865,0.6777579599784611,0.034380247821428254,0.17411931961174956,0.028306110787740372,0.04753004699117902,0.39762617726992155,0.5180689612562464,0.1260169079727775,0.39443292195479357,0.003604281054755385,0.014509541681963988,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 0.3}",10,"0.7202 (0.7155, 0.7254)","0.6880 (0.6822, 0.6939)","0.6541 (0.6417, 0.6650)","0.0165 (0.0132, 0.0197)","0.0767 (0.0703, 0.0830)","0.2808 (0.2704, 0.2915)","0.6213 (0.6086, 0.6342)","0.0104 (0.0083, 0.0127)","0.5441 (0.5350, 0.5529)","0.0000 (0.0000, 0.0000)",0.16119411118741092,0.3076454624105616,0.9495549516968017,0.9662334584749156,0.6459343021707071,0.716690356472092,0.5269401364075781,0.7975727784653361,0.47355372146561364,0.7361542511725396,0.006698033329149427,0.013547772631549524,0.028893154688250974,0.05923206133963425,0.5329784607870591,0.767596849063765,3.3828009357717145e-06,7.587139241659417e-05,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 1.0}",10,"0.7223 (0.7167, 0.7284)","0.6902 (0.6830, 0.6975)","0.6545 (0.6408, 0.6658)","0.0172 (0.0137, 0.0214)","0.0796 (0.0746, 0.0848)","0.2778 (0.2695, 0.2868)","0.6203 (0.6053, 0.6322)","0.0106 (0.0077, 0.0140)","0.5301 (0.5196, 0.5388)","0.0000 (0.0000, 0.0000)",0.016497698301779107,0.057339561170817635,0.22812544350167943,0.38244559645869786,0.7942399546453994,0.8425383302657278,0.7635716618208043,0.8917833214548945,0.9292262108129213,0.9661491066068122,0.0023115293738729214,0.005075665897874807,0.1285094434714122,0.2090775401555618,0.574394059059177,0.7990459577134329,1.3861360447361616e-07,6.217810257816496e-06,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 10.0}",10,"0.7187 (0.7128, 0.7254)","0.6827 (0.6763, 0.6895)","0.6786 (0.6694, 0.6894)","0.0217 (0.0163, 0.0280)","0.0789 (0.0680, 0.0864)","0.3204 (0.3103, 0.3310)","0.6647 (0.6532, 0.6790)","0.0142 (0.0108, 0.0176)","0.5733 (0.5657, 0.5830)","0.0000 (0.0000, 0.0000)",0.7891987238539776,0.8487608916920136,0.10178114289297137,0.23191793074314723,1.8274390359273075e-05,8.564415780316037e-05,0.25386733258889405,0.6054981460200438,0.9226307096972735,0.9656868094831462,3.383142138691162e-08,3.9344690057371294e-07,9.529070568988689e-07,1.1081956143194253e-05,0.029394580001935306,0.3399603377447811,0.00961972989326881,0.03114015656171553,,
Citeseer,GCN,epsd_tuned,"{""lambda_epsd"": 3.0}",10,"0.7233 (0.7179, 0.7289)","0.6904 (0.6856, 0.6961)","0.6573 (0.6476, 0.6659)","0.0165 (0.0135, 0.0202)","0.0796 (0.0695, 0.0889)","0.2880 (0.2796, 0.2964)","0.6219 (0.6113, 0.6328)","0.0130 (0.0093, 0.0168)","0.5375 (0.5291, 0.5459)","0.0000 (0.0000, 0.0000)",0.00655498338279536,0.030625742034371763,0.2543727064548316,0.4190533025411966,0.6614682419700525,0.7313416478119594,0.437557957659253,0.7270267101872337,0.95115571291111,0.9805928961157842,0.8809076073663046,0.9009934485766111,0.04327679247327004,0.08235704749458662,0.10599757249391867,0.36062217598474505,5.753890105246619e-06,0.00011480217567896033,,
Citeseer,GCN,label_smoothing,"{""alpha"": 0.01}",10,"0.7177 (0.7124, 0.7236)","0.6879 (0.6823, 0.6940)","0.6708 (0.6592, 0.6821)","0.0155 (0.0122, 0.0186)","0.0858 (0.0777, 0.0931)","0.3000 (0.2886, 0.3114)","0.6406 (0.6257, 0.6561)","0.0095 (0.0063, 0.0128)","0.5632 (0.5541, 0.5731)","0.0000 (0.0000, 0.0000)",0.53666624146267,0.6517352167888407,0.8454775367790869,0.8924485110445918,0.00010320855384662063,0.00035225528160694435,0.050719008785172055,0.29068019370920917,0.0025019701415117906,0.02709358224919218,8.152989479257387e-07,5.446890843588977e-06,0.0739080562684467,0.13261216953309862,0.8997802508153675,0.9530382372571955,0.18065407172016706,0.3082901006528938,,
Citeseer,GCN,label_smoothing,"{""alpha"": 0.05}",10,"0.7136 (0.7053, 0.7196)","0.6835 (0.6770, 0.6897)","0.7120 (0.7032, 0.7218)","0.0245 (0.0218, 0.0276)","0.1063 (0.0982, 0.1156)","0.3419 (0.3310, 0.3534)","0.6502 (0.6349, 0.6651)","0.0056 (0.0035, 0.0079)","0.5670 (0.5570, 0.5779)","0.0000 (0.0000, 0.0000)",0.022800049156485723,0.0730113933662745,0.03757648132164711,0.10927854261907577,8.671278850989557e-09,1.2965626472432004e-07,0.0037972600397257533,0.11885423924341607,2.0466219895511715e-05,0.0009638567304250964,8.910995564965369e-12,2.798052607399126e-09,0.0014622228541552845,0.004331490341554333,0.007412733072442991,0.2034340256430268,0.013512700808205833,0.04119270233428696,,
Citeseer,GCN,label_smoothing,"{""alpha"": 0.1}",10,"0.7128 (0.7057, 0.7187)","0.6820 (0.6756, 0.6879)","0.7248 (0.7159, 0.7335)","0.0211 (0.0172, 0.0251)","0.1082 (0.0991, 0.1169)","0.3646 (0.3549, 0.3751)","0.6569 (0.6408, 0.6712)","0.0055 (0.0035, 0.0071)","0.5691 (0.5592, 0.5793)","0.0000 (0.0000, 0.0000)",0.011182098339528872,0.043656137352955184,0.015796640899735048,0.05771849559518575,1.2635700815594658e-09,4.4084556178852474e-08,0.11985206136201905,0.41399738645327416,2.1487251952151833e-05,0.0009638567304250964,4.34015306497189e-10,2.7256161248023467e-08,0.0004023765838222843,0.0014038471924466365,0.011772028994707133,0.21616518158948222,0.004058611124795861,0.0156717472601135,,
Citeseer,GCN,label_smoothing,"{""alpha"": 0.2}",10,"0.7124 (0.7051, 0.7183)","0.6820 (0.6760, 0.6875)","0.7355 (0.7272, 0.7430)","0.0207 (0.0158, 0.0263)","0.1088 (0.0950, 0.1210)","0.3836 (0.3732, 0.3945)","0.6819 (0.6588, 0.7077)","0.0136 (0.0077, 0.0196)","0.5722 (0.5624, 0.5807)","0.0000 (0.0000, 0.0000)",0.04068462656261081,0.11149152471484693,0.06173352632767963,0.15994595457626085,9.114745978359126e-10,3.577537796505957e-08,0.3886307473725291,0.6872396832067887,0.0006132495811852411,0.009169541356769794,5.138701604855089e-11,5.3785076797483264e-09,0.0003070291876374992,0.0011477043442639852,0.23705883288007165,0.5472330742426816,0.003957442069458699,0.015532960122625391,,
Citeseer,GCN,none,{},10,"0.7182 (0.7125, 0.7246)","0.6881 (0.6827, 0.6939)","0.6557 (0.6467, 0.6639)","0.0178 (0.0144, 0.0214)","0.0793 (0.0731, 0.0856)","0.2888 (0.2779, 0.3001)","0.6301 (0.6180, 0.6441)","0.0097 (0.0073, 0.0120)","0.5617 (0.5529, 0.5708)","0.0000 (0.0000, 0.0000)",,,,,,,,,,,,,,,,,,,,
Citeseer,GraphSAGE,dropedge,"{""rate"": 0.1}",10,"0.7471 (0.7408, 0.7530)","0.7105 (0.7027, 0.7175)","0.7500 (0.7423, 0.7571)","0.0187 (0.0159, 0.0217)","0.0960 (0.0884, 0.1052)","0.4671 (0.4562, 0.4777)","0.7433 (0.7313, 0.7552)","0.0157 (0.0111, 0.0199)","0.6979 (0.6896, 0.7060)","0.0000 (0.0000, 0.0000)",0.04242340543590593,0.11406292970974707,0.4161711976328509,0.564803768216012,0.013377994948524902,0.025153834813394126,0.6876718389102809,0.8507560694818891,0.026006042580866046,0.1360982895065323,0.6029773620903967,0.6714003251644842,0.005625193568458036,0.01338114227648351,0.8050310687663452,0.9196157829338177,0.01964813123328707,0.057125122289371666,,
Citeseer,GraphSAGE,dropedge,"{""rate"": 0.2}",10,"0.7494 (0.7438, 0.7554)","0.7120 (0.7050, 0.7195)","0.7549 (0.7482, 0.7619)","0.0193 (0.0162, 0.0222)","0.1018 (0.0936, 0.1119)","0.4739 (0.4643, 0.4834)","0.7482 (0.7370, 0.7598)","0.0140 (0.0101, 0.0184)","0.7059 (0.6971, 0.7128)","0.0000 (0.0000, 0.0000)",0.030685682037762795,0.09018354797815692,0.31328713477678616,0.4749299649541705,0.0012241237232111343,0.002911930674911335,0.5444262452695481,0.8007916401679597,0.007571122818424664,0.06271095265729534,0.16078095442947465,0.221426402152873,0.0005096474634602898,0.0017207451992100108,0.42063487574560005,0.696606963536364,0.0005696272756263916,0.003650264582585448,,
Citeseer,GraphSAGE,dropedge,"{""rate"": 0.3}",10,"0.7492 (0.7422, 0.7562)","0.7117 (0.7042, 0.7198)","0.7586 (0.7524, 0.7643)","0.0185 (0.0163, 0.0203)","0.1012 (0.0947, 0.1077)","0.4799 (0.4724, 0.4896)","0.7512 (0.7412, 0.7616)","0.0137 (0.0099, 0.0184)","0.7110 (0.7037, 0.7178)","0.0000 (0.0000, 0.0000)",0.023764614937792396,0.07442764018978937,0.25797638148006513,0.42013296412467754,0.0004417740150760314,0.0012168161467883672,0.8973515411557718,0.952105194514429,0.003089981771375849,0.03129852503909731,0.01219062364724973,0.022385121785008275,5.944010617278384e-05,0.0002871414359731404,0.34742589782791056,0.6396723883537412,6.542290107279212e-05,0.0008559496223690303,,
Citeseer,GraphSAGE,dropedge,"{""rate"": 0.5}",10,"0.7450 (0.7368, 0.7520)","0.7063 (0.6986, 0.7136)","0.7638 (0.7584, 0.7688)","0.0173 (0.0145, 0.0198)","0.0994 (0.0922, 0.1067)","0.4889 (0.4793, 0.4981)","0.7568 (0.7476, 0.7652)","0.0119 (0.0087, 0.0155)","0.7155 (0.7081, 0.7222)","0.0000 (0.0000, 0.0000)",0.43785663944310127,0.5837817137452839,0.1027918817328476,0.23191793074314723,6.79803284578451e-05,0.00024887978646753896,0.6700658194666621,0.8486261423320899,0.013580405740543287,0.09086238859542416,0.00028355477291672356,0.0008244092471838073,8.765435121670816e-06,6.255333245919628e-05,0.06966921746328207,0.3399603377447811,0.00010265507419710263,0.0012397574345342395,,
Citeseer,GraphSAGE,edge_sparsification,"{""rate"": 0.05}",10,"0.7426 (0.7370, 0.7487)","0.7071 (0.7006, 0.7142)","0.7380 (0.7314, 0.7448)","0.0154 (0.0126, 0.0187)","0.0834 (0.0759, 0.0929)","0.4635 (0.4552, 0.4723)","0.7305 (0.7185, 0.7419)","0.0150 (0.0112, 0.0195)","0.6883 (0.6832, 0.6950)","0.0000 (0.0000, 0.0000)",0.6307042041568548,0.7277356201809864,0.24873638283270524,0.41215040178674994,0.03837544373016345,0.06620818313885343,0.06071065336141163,0.3268076490394722,0.5732438742925655,0.7758559333097653,0.15764202024814555,0.21805988703928503,0.018974872259665692,0.04109041303127605,0.8796864909701237,0.9435343302768944,0.5566592143520207,0.6748687000252297,,
Citeseer,GraphSAGE,edge_sparsification,"{""rate"": 0.1}",10,"0.7396 (0.7341, 0.7457)","0.7044 (0.6977, 0.7121)","0.7392 (0.7331, 0.7461)","0.0161 (0.0125, 0.0202)","0.0820 (0.0743, 0.0907)","0.4653 (0.4570, 0.4731)","0.7308 (0.7191, 0.7421)","0.0145 (0.0099, 0.0193)","0.6928 (0.6871, 0.6990)","0.0000 (0.0000, 0.0000)",0.06226476087639235,0.15297807629113638,0.03015259299828263,0.09057758449915432,0.1697178813651152,0.23978158299711264,0.12036345740334808,0.41399738645327416,0.39277436718943,0.6734224485247354,0.3505675801617485,0.42665976810383344,0.1099354147134072,0.18558989365596698,0.6071745771471697,0.8121608660130945,0.1433440833247359,0.2535378220888493,,
Citeseer,GraphSAGE,edge_sparsification,"{""rate"": 0.2}",10,"0.7337 (0.7268, 0.7414)","0.6962 (0.6882, 0.7044)","0.7400 (0.7328, 0.7466)","0.0152 (0.0121, 0.0183)","0.0812 (0.0732, 0.0893)","0.4750 (0.4674, 0.4817)","0.7312 (0.7206, 0.7416)","0.0127 (0.0091, 0.0164)","0.6981 (0.6936, 0.7026)","0.0000 (0.0000, 0.0000)",0.004964238476922622,0.025264427962909775,0.001903107067297779,0.011299698212080564,0.28994595749845375,0.379345961060477,0.02226191307861005,0.195119585513664,0.33603262233711406,0.6445877965216733,0.03475707138914537,0.05539959602127739,0.1888304856127686,0.27968288906796857,0.09419364245164763,0.35183339779159584,0.01770879101415195,0.051967854004146836,,
Citeseer,GraphSAGE,edge_sparsification,"{""rate"": 0.3}",10,"0.7284 (0.7210, 0.7358)","0.6897 (0.6817, 0.6985)","0.7499 (0.7401, 0.7593)","0.0169 (0.0137, 0.0205)","0.0875 (0.0725, 0.1065)","0.4879 (0.4796, 0.4960)","0.7371 (0.7272, 0.7477)","0.0123 (0.0083, 0.0168)","0.7065 (0.7008, 0.7123)","0.0000 (0.0000, 0.0000)",0.00020370015960395922,0.0024189393952970158,7.055662525167806e-05,0.0010054319098364124,0.2515291678712543,0.34043171858437005,0.5201509079612129,0.7971706409102651,0.8252313530311031,0.9188746271339233,2.3158895639053767e-05,9.568280566661687e-05,0.45990727972390893,0.5706077739789641,0.3134675120863996,0.6396723883537412,0.00016746419164299524,0.0015023930335971573,,
Citeseer,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.01}",10,"0.7443 (0.7388, 0.7517)","0.7076 (0.6976, 0.7165)","0.7338 (0.7237, 0.7421)","0.0158 (0.0126, 0.0192)","0.0857 (0.0784, 0.0927)","0.4508 (0.4401, 0.4608)","0.7244 (0.7121, 0.7373)","0.0134 (0.0093, 0.0176)","0.6721 (0.6649, 0.6796)","0.0000 (0.0000, 0.0000)",0.4831550929951464,0.6259054613800761,0.4207757952716205,0.5683464533289662,1.7010500898041325e-05,8.092874669674206e-05,0.015607949551782248,0.1579515094873283,0.9281940767680024,0.9661491066068122,0.00015217197986698995,0.0004977291841482796,2.491687725365736e-05,0.00013726139399383177,0.06946561261215706,0.3399603377447811,0.03597918429959986,0.08966241166725679,,
Citeseer,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.03}",10,"0.7435 (0.7379, 0.7505)","0.7068 (0.6980, 0.7149)","0.7228 (0.7141, 0.7319)","0.0157 (0.0130, 0.0183)","0.0834 (0.0764, 0.0911)","0.4322 (0.4213, 0.4414)","0.7127 (0.7005, 0.7258)","0.0133 (0.0092, 0.0179)","0.6589 (0.6511, 0.6663)","0.0000 (0.0000, 0.0000)",0.9511588444651627,0.9646984721443821,0.2812984168669492,0.4453891600393362,2.8684278802284474e-07,2.64907751291686e-06,0.06946491592686359,0.3378961472124805,0.2999146869859598,0.6155111876705318,6.490659133398404e-07,4.449604313151331e-06,2.7915567092248715e-07,3.9843127577118614e-06,0.12530954006102032,0.39443292195479357,0.0005075768495384878,0.0035417584612241148,,
Citeseer,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.1}",10,"0.7429 (0.7371, 0.7496)","0.7059 (0.6968, 0.7139)","0.7025 (0.6916, 0.7145)","0.0168 (0.0123, 0.0229)","0.0804 (0.0709, 0.0924)","0.4041 (0.3935, 0.4142)","0.6903 (0.6787, 0.7034)","0.0122 (0.0089, 0.0160)","0.6353 (0.6256, 0.6451)","0.0000 (0.0000, 0.0000)",0.7263142108887385,0.7956486262505977,0.11470442057473665,0.24553367783316712,4.919303100214752e-07,4.2907254818539785e-06,0.3603711701754263,0.6674329956503458,0.12152042197601559,0.3289432112109387,5.699831630899964e-09,9.419721747908361e-08,6.726048047355719e-09,1.6701960806794586e-07,0.039941356266189824,0.3399603377447811,2.530005044888119e-06,6.110935262268226e-05,,
Citeseer,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.3}",10,"0.7412 (0.7359, 0.7470)","0.7044 (0.6968, 0.7112)","0.6798 (0.6672, 0.6944)","0.0141 (0.0119, 0.0168)","0.0762 (0.0680, 0.0873)","0.3815 (0.3699, 0.3920)","0.6652 (0.6530, 0.6783)","0.0114 (0.0083, 0.0153)","0.6120 (0.5995, 0.6228)","0.0000 (0.0000, 0.0000)",0.15665405173385422,0.30166489691992193,0.022796311838023574,0.07218832082040798,7.597865133117366e-07,5.680308694759174e-06,0.04198552216778592,0.2527205468945576,0.02480450008982598,0.13476395407222527,5.218229672694755e-09,9.102911762367518e-08,3.964271913086129e-10,5.042351736927398e-08,0.009389867095457749,0.2104783425759268,1.1136345735671454e-07,6.217810257816496e-06,,
Citeseer,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 1.0}",10,"0.7406 (0.7358, 0.7460)","0.7042 (0.6971, 0.7102)","0.6559 (0.6410, 0.6754)","0.0141 (0.0111, 0.0176)","0.0703 (0.0611, 0.0802)","0.3593 (0.3475, 0.3719)","0.6397 (0.6292, 0.6520)","0.0128 (0.0095, 0.0167)","0.5765 (0.5648, 0.5867)","0.0000 (0.0000, 0.0000)",0.3498427046374143,0.5105276352819754,0.16734957551050095,0.3097458964082792,1.1738414989783375e-06,8.012744145199956e-06,0.0306727310315486,0.21819465483806164,0.001876110336004359,0.022927384732240156,1.2465850960029977e-09,4.892846501811766e-08,1.1531838093236265e-10,3.620997161276187e-08,0.10830793223160214,0.3606423700903348,2.4689824099306993e-09,3.876302383591198e-07,,
Citeseer,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 10.0}",10,"0.7246 (0.7171, 0.7325)","0.6845 (0.6757, 0.6922)","0.7450 (0.7251, 0.7660)","0.0141 (0.0113, 0.0177)","0.0912 (0.0743, 0.1138)","0.4531 (0.4267, 0.4811)","0.7493 (0.7299, 0.7715)","0.0128 (0.0100, 0.0167)","0.6754 (0.6614, 0.6923)","0.0000 (0.0000, 0.0000)",7.512956125489609e-06,0.00018872026060467613,5.51102821001188e-06,0.00015706430398533858,0.813605773892144,0.8544221170639906,0.02420635043322632,0.195119585513664,0.5209835414219539,0.7454157930783891,0.19654125530329222,0.25930232842535195,0.07901957111809692,0.13939407489372155,0.27981273237241716,0.5877945317621918,0.274830782575073,0.41689307115252616,,
Citeseer,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 3.0}",10,"0.7355 (0.7298, 0.7409)","0.6945 (0.6861, 0.7019)","0.6464 (0.6347, 0.6605)","0.0127 (0.0093, 0.0165)","0.0681 (0.0568, 0.0816)","0.3471 (0.3346, 0.3594)","0.6355 (0.6252, 0.6466)","0.0138 (0.0087, 0.0193)","0.5705 (0.5628, 0.5785)","0.0000 (0.0000, 0.0000)",0.017479763268723827,0.05914939525994071,0.001377369657412914,0.009018722826406953,3.714165375977188e-08,4.664991712227348e-07,0.0018475169595612892,0.08444700140575798,0.003982920439339761,0.0390824068110214,6.266933682533105e-10,2.8111673947362784e-08,4.817533506618533e-10,5.042351736927398e-08,0.4304560908619409,0.698097183625842,1.4468189391850462e-10,4.543011469041045e-08,,
