dataset,model,defense,defense_params,n_seeds,test_accuracy,test_f1,shadow_attack_auc,shadow_attack_tpr01,shadow_attack_tpr05,shadow_attack_adv,conf_attack_auc,conf_attack_tpr01,label_only_attack_auc,label_only_attack_tpr01,test_accuracy_p_val,test_accuracy_fdr_q_val,test_f1_p_val,test_f1_fdr_q_val,shadow_attack_auc_p_val,shadow_attack_auc_fdr_q_val,shadow_attack_tpr01_p_val,shadow_attack_tpr01_fdr_q_val,shadow_attack_tpr05_p_val,shadow_attack_tpr05_fdr_q_val,shadow_attack_adv_p_val,shadow_attack_adv_fdr_q_val,conf_attack_auc_p_val,conf_attack_auc_fdr_q_val,conf_attack_tpr01_p_val,conf_attack_tpr01_fdr_q_val,label_only_attack_auc_p_val,label_only_attack_auc_fdr_q_val,label_only_attack_tpr01_p_val,label_only_attack_tpr01_fdr_q_val
synthetic_high_sparse,GraphSAGE,edge_sparsification,"{""rate"": 0.2}",10,"0.8455 (0.8255, 0.8660)","0.8433 (0.8225, 0.8624)","0.7273 (0.7139, 0.7398)","0.0288 (0.0175, 0.0441)","0.0985 (0.0756, 0.1219)","0.4128 (0.3953, 0.4288)","0.7374 (0.7200, 0.7544)","0.0283 (0.0148, 0.0440)","0.6622 (0.6362, 0.6901)","0.0151 (0.0076, 0.0245)",0.3394235887744599,0.5071470098409604,0.2694192971732806,0.4338107327366383,0.2759279112343012,0.3659605268621443,0.6063323430515912,0.8269077646235701,0.14744835443564985,0.3826345726677195,0.060293528709063404,0.09145974886302372,0.5860427603596782,0.6851045811051832,0.6722349481345765,0.8419570110940925,0.42376243858686063,0.5710789944904474,0.8050592643888735,0.9598547859145484
synthetic_high_sparse,GraphSAGE,edge_sparsification,"{""rate"": 0.3}",10,"0.8235 (0.8020, 0.8455)","0.8214 (0.8004, 0.8426)","0.7404 (0.7243, 0.7574)","0.0257 (0.0144, 0.0389)","0.1016 (0.0751, 0.1273)","0.4355 (0.4055, 0.4680)","0.7532 (0.7307, 0.7761)","0.0292 (0.0130, 0.0500)","0.6722 (0.6518, 0.6912)","0.0126 (0.0050, 0.0242)",0.0013714963550300033,0.00947525552503799,0.0009177057523457957,0.006706311267142353,0.03642418825184432,0.06353997283932843,0.5221085667303653,0.7971706409102651,0.3298380604676753,0.6445877965216733,0.034502782316516024,0.055274865547887915,0.25088542645625495,0.35808192685120027,0.7715178042765725,0.8918649093094486,0.9652342226721642,0.9714216215354472,0.6226863344367483,0.9102168949389025
synthetic_high_sparse,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.01}",10,"0.8605 (0.8445, 0.8780)","0.8597 (0.8427, 0.8753)","0.7120 (0.6993, 0.7257)","0.0157 (0.0063, 0.0290)","0.1162 (0.0971, 0.1367)","0.3859 (0.3644, 0.4111)","0.7273 (0.7058, 0.7493)","0.0139 (0.0024, 0.0277)","0.6461 (0.6282, 0.6681)","0.0182 (0.0107, 0.0276)",0.18681611650919325,0.33270958968829806,0.15983758494061506,0.29969547176365324,0.004185636073552175,0.009130221488872738,0.002471909701367701,0.09671346706601129,0.6106585312689523,0.8035424511399988,0.2637911597743422,0.3353458468386375,0.0005496976559327548,0.0018362240847115425,0.1645277132045848,0.4533494411978785,0.030678127034868486,0.08152706943613189,0.8520042214816576,0.9685873964486025
synthetic_high_sparse,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.03}",10,"0.8570 (0.8400, 0.8735)","0.8559 (0.8394, 0.8718)","0.6993 (0.6866, 0.7133)","0.0213 (0.0119, 0.0333)","0.1111 (0.0917, 0.1334)","0.3646 (0.3468, 0.3860)","0.7155 (0.6954, 0.7348)","0.0114 (0.0000, 0.0231)","0.6385 (0.6203, 0.6615)","0.0182 (0.0100, 0.0282)",0.3983551468920089,0.5525145015919839,0.3581798904927988,0.5155619635881195,0.00010808336324427713,0.0003636547752591759,0.14356263702805624,0.45852148356920003,0.3734581506462581,0.6635409034665256,0.0012727144057198855,0.003027517601485182,2.3693330274079747e-05,0.00013285188760823286,0.09554581090187107,0.35183339779159584,0.004092621895953207,0.0156717472601135,0.8704784746486314,0.9685873964486025
synthetic_high_sparse,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.1}",10,"0.8555 (0.8345, 0.8745)","0.8543 (0.8328, 0.8739)","0.6809 (0.6648, 0.6986)","0.0164 (0.0082, 0.0278)","0.1012 (0.0816, 0.1250)","0.3432 (0.3206, 0.3661)","0.6989 (0.6772, 0.7195)","0.0100 (0.0023, 0.0211)","0.6288 (0.6063, 0.6572)","0.0132 (0.0082, 0.0183)",0.7286466366716,0.7956486262505977,0.7217476824684292,0.7914584246044215,3.520326189893368e-05,0.00014355615891253475,0.01556421604051484,0.1579515094873283,0.0005215161023993464,0.008187802807669738,0.0012588690720958704,0.0030174418980007884,2.0251450520143306e-05,0.00011775843450601849,0.10162322373201318,0.35342298920133475,0.0020222369817557845,0.009520892593099226,0.44152776109995706,0.8522161625522906
synthetic_high_sparse,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 0.3}",10,"0.8505 (0.8270, 0.8695)","0.8495 (0.8293, 0.8685)","0.6589 (0.6415, 0.6785)","0.0170 (0.0081, 0.0284)","0.0980 (0.0760, 0.1203)","0.3207 (0.3005, 0.3435)","0.6785 (0.6602, 0.6960)","0.0123 (0.0037, 0.0212)","0.6172 (0.5947, 0.6397)","0.0182 (0.0076, 0.0338)",0.6074859863870937,0.7064931694525404,0.6545054556030225,0.7599812705173822,2.662030480450324e-05,0.00011772923533259179,0.010754848138705215,0.1429392591541314,0.03436645607087428,0.17411931961174956,0.00021769860505329664,0.0006636637086090791,4.534327357490811e-06,3.6507148468002935e-05,0.23581007124892153,0.5472330742426816,0.00020315807632741688,0.0016641472033705805,0.8986624119280452,0.9726699046750608
synthetic_high_sparse,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 1.0}",10,"0.8465 (0.8275, 0.8655)","0.8446 (0.8230, 0.8625)","0.6450 (0.6257, 0.6676)","0.0151 (0.0081, 0.0233)","0.0835 (0.0661, 0.1007)","0.3087 (0.2863, 0.3327)","0.6686 (0.6510, 0.6865)","0.0087 (0.0025, 0.0150)","0.6087 (0.5916, 0.6270)","0.0151 (0.0082, 0.0232)",0.35109970707111293,0.5105276352819754,0.3262994031861179,0.49203878258224126,4.117674126042665e-06,2.5351954423086213e-05,0.022653235218286917,0.195119585513664,0.00038926421227037164,0.007429724852275719,3.922348381898467e-05,0.00014838763758025526,5.113101133307409e-06,4.013784389646315e-05,0.18831953127430795,0.479219620234621,2.2576657904308576e-05,0.0003544535290976446,0.7811855282692872,0.9519081933877408
synthetic_high_sparse,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 10.0}",10,"0.7905 (0.7680, 0.8110)","0.7883 (0.7667, 0.8081)","0.6976 (0.6826, 0.7104)","0.0206 (0.0107, 0.0331)","0.1354 (0.1116, 0.1587)","0.3197 (0.2896, 0.3485)","0.7263 (0.7002, 0.7523)","0.0222 (0.0091, 0.0431)","0.6468 (0.6235, 0.6683)","0.0194 (0.0081, 0.0300)",1.116645433807481e-05,0.00022731710616795148,1.0711468119461957e-05,0.0002264232451714284,0.01927715278886741,0.03507698636805775,0.417970794341643,0.726804770160746,0.3217495461058225,0.643499092211645,0.00900319760516391,0.017450642271737454,0.2979098255830468,0.4194784091169358,0.9029396716900665,0.9530382372571955,0.12258504417720255,0.2291172849502476,0.8085733250910598,0.9598547859145484
synthetic_high_sparse,GraphSAGE,epsd_tuned,"{""lambda_epsd"": 3.0}",10,"0.8320 (0.8070, 0.8580)","0.8301 (0.8050, 0.8546)","0.6384 (0.6251, 0.6534)","0.0169 (0.0100, 0.0251)","0.0797 (0.0631, 0.0961)","0.2531 (0.2206, 0.2845)","0.6666 (0.6495, 0.6825)","0.0152 (0.0040, 0.0296)","0.6129 (0.5956, 0.6306)","0.0150 (0.0094, 0.0213)",0.03278248615261583,0.09437382377268194,0.030510344252346715,0.09057758449915432,1.8336338779195884e-07,1.9192034588891693e-06,0.06353811739441065,0.33145717907417555,0.012812994468947939,0.08940622807221452,2.850549086884804e-05,0.00011330030547871246,1.1708002359912263e-06,1.2254375803374835e-05,0.3303054882172368,0.6396723883537412,0.0001288701708229763,0.0012719002460349134,0.7296578344405017,0.9138751171333527
synthetic_high_sparse,GraphSAGE,label_smoothing,"{""alpha"": 0.01}",10,"0.8385 (0.8215, 0.8580)","0.8376 (0.8210, 0.8538)","0.7653 (0.7570, 0.7741)","0.0276 (0.0150, 0.0435)","0.1130 (0.0859, 0.1405)","0.4907 (0.4700, 0.5134)","0.7780 (0.7601, 0.7945)","0.0182 (0.0027, 0.0390)","0.6887 (0.6705, 0.7101)","0.0170 (0.0069, 0.0265)",0.0012598815252936645,0.009206826530992163,0.001319511299901147,0.008953826677900642,6.002136296133952e-09,1.0254485201605392e-07,0.5751223723524259,0.8219785504397685,0.5315057532300177,0.7454157930783891,4.418542653098167e-08,4.955079975260088e-07,2.019996582516896e-06,1.8307211146849204e-05,0.39849970380317223,0.6778826483173528,0.032175648763666145,0.08281273534255057,0.9909743819401052,0.9995661178417156
