seed,policy,K,B,acc,lira,ece,conf_unprot,conf_pop,train_seconds
42,uncapped_avg,1,5,0.8448753462603878,0.53663560660898,0.04149921462975951,0.6250162483751626,0.5005013262124548,2.712865114212036
42,uncapped_avg,5,5,0.8928901200369345,0.5371889411529991,0.08403448209768904,0.6250162483751626,0.502648161931777,2.712865114212036
42,uncapped_avg,20,5,0.8965835641735919,0.5383510289549991,0.09309387295851772,0.6250162483751626,0.5037386317034264,2.712865114212036
42,budget_reuse,1,5,0.8448753462603878,0.53663560660898,0.04149921462975951,0.6250162483751626,0.5005013262124548,2.712865114212036
42,budget_reuse,5,5,0.8928901200369345,0.5371889411529991,0.08403448209768904,0.6250162483751626,0.502648161931777,2.712865114212036
42,budget_reuse,20,5,0.8928901200369345,0.5371889411529991,0.08403448209768904,0.6250162483751626,0.502648161931777,2.712865114212036
42,compounding,1,5,0.8430286241920592,0.5333292408744561,0.03278497673281345,0.6250162483751626,0.5022517049780499,2.712865114212036
42,compounding,5,5,0.8919667590027701,0.538705708724355,0.0835861555437997,0.6250162483751626,0.5016335731684755,2.712865114212036
42,compounding,20,5,0.8938134810710988,0.5347394339958854,0.1388392009390255,0.6250162483751626,0.4959697806015745,2.712865114212036
123,uncapped_avg,1,5,0.8291782086795937,0.5463338815523038,0.030802761544934734,0.6488574838263927,0.5218690771249453,2.8737778663635254
123,uncapped_avg,5,5,0.8734995383194829,0.5463790691190726,0.0935532793356501,0.6488574838263927,0.5258882127805785,2.8737778663635254
123,uncapped_avg,20,5,0.8790397045244691,0.5508526382291931,0.09317750794848999,0.6488574838263927,0.5292806906706432,2.8737778663635254
123,budget_reuse,1,5,0.8291782086795937,0.5463338815523038,0.030802761544934734,0.6488574838263927,0.5218690771249453,2.8737778663635254
123,budget_reuse,5,5,0.8734995383194829,0.5463790691190726,0.0935532793356501,0.6488574838263927,0.5258882127805785,2.8737778663635254
123,budget_reuse,20,5,0.8734995383194829,0.5463790691190726,0.0935532793356501,0.6488574838263927,0.5258882127805785,2.8737778663635254
123,compounding,1,5,0.8217913204062789,0.5434333513231004,0.02586681103466191,0.6488574838263927,0.5209998559113437,2.8737778663635254
123,compounding,5,5,0.8753462603878116,0.5471148591213661,0.08981673639598224,0.6488574838263927,0.5251251397191038,2.8737778663635254
123,compounding,20,5,0.8725761772853186,0.545050725175187,0.14243373291486283,0.6488574838263927,0.5213541093828998,2.8737778663635254
456,uncapped_avg,1,5,0.8328716528162512,0.5195674953043298,0.0393256934454088,0.6402114190611535,0.5159836097021968,2.730633020401001
456,uncapped_avg,5,5,0.8808864265927978,0.521634187037307,0.09318459841626239,0.6402114190611535,0.5187178837895146,2.730633020401001
456,uncapped_avg,20,5,0.8836565096952909,0.523442542303662,0.09774343265726776,0.6402114190611535,0.5182063264298667,2.730633020401001
456,budget_reuse,1,5,0.8328716528162512,0.5195674953043298,0.0393256934454088,0.6402114190611535,0.5159836097021968,2.730633020401001
456,budget_reuse,5,5,0.8808864265927978,0.521634187037307,0.09318459841626239,0.6402114190611535,0.5187178837895146,2.730633020401001
456,budget_reuse,20,5,0.8808864265927978,0.521634187037307,0.09318459841626239,0.6402114190611535,0.5187178837895146,2.730633020401001
456,compounding,1,5,0.8374884579870729,0.5147852865872218,0.0344327202130069,0.6402114190611535,0.5104656109827955,2.730633020401001
456,compounding,5,5,0.8827331486611265,0.522296653818051,0.09350375924131182,0.6402114190611535,0.518458694727293,2.730633020401001
456,compounding,20,5,0.8799630655586335,0.5195146343771662,0.14724631147151293,0.6402114190611535,0.5076264676367499,2.730633020401001
