dataset,protocol,defense,seed,frac,test_accuracy,lira_attack_auc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,noise_mass,frac_protected,train_seconds
Cora,inductive_exclude_test_edges,none,42,0.0,0.6869806094182825,0.626741746235151,0.002770083102493,0.0369344413665743,0.0753879427689704,,,0.5665950775146484
Cora,inductive_exclude_test_edges,lbp,42,1.0,0.494921514312096,0.5227749599493218,0.0036934441366574,0.025854108956602,0.0474940211171929,812.4,1.0,0.5024609565734863
Cora,inductive_exclude_test_edges,harp,42,0.6,0.5530932594644506,0.5545746443184308,0.0083102493074792,0.0184672206832871,0.0406398956833552,487.2,0.5997045790251108,1.498833179473877
Cora,inductive_exclude_test_edges,none,123,0.0,0.6860572483841182,0.6610881336597069,0.012927054478301,0.0452446906740535,0.0381346499463087,,,0.5176010131835938
Cora,inductive_exclude_test_edges,lbp,123,1.0,0.4986149584487535,0.549426245791375,0.0055401662049861,0.0249307479224376,0.046251055466154,812.4,1.0,0.5371732711791992
Cora,inductive_exclude_test_edges,harp,123,0.6,0.5337026777469991,0.5651242359677684,0.0064635272391505,0.0203139427516158,0.0348244219506697,487.5,0.6000738552437223,1.5027141571044922
Cora,inductive_exclude_test_edges,none,456,0.0,0.7146814404432132,0.6487668483547888,0.015697137580794,0.0563250230840258,0.0486422590051441,,,0.5111508369445801
Cora,inductive_exclude_test_edges,lbp,456,1.0,0.4958448753462603,0.5467145654874417,0.0009233610341643,0.0184672206832871,0.0473782518666501,812.4,1.0,0.5226330757141113
Cora,inductive_exclude_test_edges,harp,456,0.6,0.5586334256694367,0.5571588615802519,0.007386888273314866,0.013850415512465374,0.04378536573959677,486.9,0.5993353028064993,1.51674485206604
