dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,sweep_tag,lam,noise_scale,use_gate
synthetic_low_sparse,GCN,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.6}",123,eac9960f8ba0,0.2982,0.005,0.7125,0.775,0.0625,0.7085,0.9029,0.5322,0.5188,0.5187,0.5188,0.0,0.0,0.5408,0.5375,,,0.5036,0.4844,0.0063,0.0063,0.0933,0.1989,1,,lam=0.5_noise=0.6_gate=False,0.5,0.6,False
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7688,0.8938,0.125,0.768,0.9265,0.5655,0.5687,0.5766,0.55,0.0,0.0,0.5564,0.5563,,,0.5172,0.5062,0.0,0.0063,0.0658,0.1828,1,,lam=1.0_noise=0.25_gate=True,1.0,0.25,True
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.8125,0.925,0.1125,0.8114,0.9406,0.5512,0.5125,0.552,0.5188,0.0,0.0,0.5404,0.5,,,0.5081,0.4875,0.0,0.0063,0.0799,0.1728,1,,lam=1.0_noise=0.25_gate=True,1.0,0.25,True
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",42,eac9960f8ba0,0.2982,0.005,0.7438,0.8938,0.15,0.7416,0.9301,0.5487,0.5437,0.5603,0.5188,0.0,0.0,0.5331,0.5188,,,0.5254,0.5062,0.0,0.0063,0.0598,0.1224,1,,lam=1.0_noise=0.25_gate=False,1.0,0.25,False
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.25}",123,eac9960f8ba0,0.2982,0.005,0.825,0.9,0.075,0.8227,0.9483,0.534,0.5188,0.522,0.5,0.0,0.0,0.5489,0.5062,,,0.5201,0.4906,0.0,0.0063,0.0692,0.1238,1,,lam=1.0_noise=0.25_gate=False,1.0,0.25,False
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.2982,0.005,0.725,0.8375,0.1125,0.7236,0.9026,0.5281,0.5125,0.5654,0.5375,0.0,0.0,0.4898,0.5188,,,0.5113,0.5031,0.0,0.0063,0.0718,0.1713,1,,lam=1.0_noise=0.4_gate=True,1.0,0.4,True
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.2982,0.005,0.775,0.8688,0.0938,0.7715,0.925,0.5402,0.5125,0.539,0.525,0.0,0.0,0.5369,0.4938,,,0.5032,0.4844,0.0063,0.0063,0.0933,0.1706,1,,lam=1.0_noise=0.4_gate=True,1.0,0.4,True
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",42,eac9960f8ba0,0.2982,0.005,0.7312,0.825,0.0938,0.7306,0.9115,0.5232,0.4938,0.552,0.525,0.0,0.0,0.5024,0.5062,,,0.5128,0.5031,0.0,0.0063,0.0587,0.1266,1,,lam=1.0_noise=0.4_gate=False,1.0,0.4,False
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.4}",123,eac9960f8ba0,0.2982,0.005,0.8125,0.8562,0.0437,0.811,0.9339,0.5307,0.5312,0.5153,0.5125,0.0,0.0,0.536,0.5062,,,0.5054,0.4844,0.0063,0.0063,0.1122,0.122,1,,lam=1.0_noise=0.4_gate=False,1.0,0.4,False
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.6}",42,eac9960f8ba0,0.2982,0.005,0.6438,0.7562,0.1125,0.6419,0.8673,0.5435,0.525,0.5584,0.525,0.0,0.0,0.4521,0.4688,,,0.516,0.5062,0.0,0.0063,0.071,0.1667,1,,lam=1.0_noise=0.6_gate=True,1.0,0.6,True
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": true, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.6}",123,eac9960f8ba0,0.2982,0.005,0.7,0.7937,0.0938,0.6932,0.9014,0.535,0.5625,0.531,0.5375,0.0,0.0,0.5074,0.4938,,,0.4923,0.4781,0.0063,0.0063,0.0926,0.1782,1,,lam=1.0_noise=0.6_gate=True,1.0,0.6,True
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.6}",42,eac9960f8ba0,0.2982,0.005,0.6625,0.75,0.0875,0.6599,0.8782,0.5005,0.4875,0.5468,0.5125,0.0,0.0,0.4453,0.4688,,,0.5161,0.5062,0.0,0.0063,0.0754,0.1219,1,,lam=1.0_noise=0.6_gate=False,1.0,0.6,False
synthetic_low_sparse,GCN,sami,"{""lam"": 1.0, ""use_lte"": true, ""use_gate"": false, ""beta"": 0.0, ""warmup_epochs"": 5, ""noise_scale"": 0.6}",123,eac9960f8ba0,0.2982,0.005,0.7,0.7812,0.0813,0.697,0.904,0.5371,0.525,0.5171,0.5125,0.0,0.0,0.5313,0.5062,,,0.504,0.4844,0.0063,0.0063,0.0599,0.1244,1,,lam=1.0_noise=0.6_gate=False,1.0,0.6,False
