dataset,seed,policy,K,B,acc,lira,ece,conf_unprot,conf_pop,train_seconds
Chameleon,42,uncapped_avg,1,5,0.433589462129528,0.5635976195324615,0.2485118131481613,0.915335271158022,0.8225294937710939,8.462811946868896
Chameleon,42,uncapped_avg,5,5,0.4610318331503842,0.5674835315650526,0.18585135617113896,0.915335271158022,0.8420036364907022,8.462811946868896
Chameleon,42,uncapped_avg,20,5,0.4643249176728869,0.5701054678698334,0.1881973449387124,0.915335271158022,0.8448786089278377,8.462811946868896
Chameleon,42,budget_reuse,1,5,0.433589462129528,0.5635976195324615,0.2485118131481613,0.915335271158022,0.8225294937710939,8.462811946868896
Chameleon,42,budget_reuse,5,5,0.4610318331503842,0.5674835315650526,0.18585135617113896,0.915335271158022,0.8420036364907022,8.462811946868896
Chameleon,42,budget_reuse,20,5,0.4610318331503842,0.5674835315650526,0.18585135617113896,0.915335271158022,0.8420036364907022,8.462811946868896
Chameleon,42,compounding,1,5,0.4500548847420417,0.5704464641815306,0.2263159366654125,0.915335271158022,0.826129836454313,8.462811946868896
Chameleon,42,compounding,5,5,0.4665203073545554,0.569972925133838,0.18355559981107103,0.915335271158022,0.8414144237825046,8.462811946868896
Chameleon,42,compounding,20,5,0.4698133918770582,0.5631843271829486,0.1701409335473298,0.915335271158022,0.8235283840269134,8.462811946868896
Chameleon,123,uncapped_avg,1,5,0.47639956092206365,0.5442216789308862,0.21368852062301302,0.8768128260253654,0.7907855085002067,8.182738780975342
Chameleon,123,uncapped_avg,5,5,0.48957189901207465,0.5464556264993896,0.16071158932971524,0.8768128260253654,0.8144353498706504,8.182738780975342
Chameleon,123,uncapped_avg,20,5,0.4862788144895719,0.5481630179258026,0.16165145503679781,0.8768128260253654,0.8212444316989207,8.182738780975342
Chameleon,123,budget_reuse,1,5,0.47639956092206365,0.5442216789308862,0.21368852062301302,0.8768128260253654,0.7907855085002067,8.182738780975342
Chameleon,123,budget_reuse,5,5,0.48957189901207465,0.5464556264993896,0.16071158932971524,0.8768128260253654,0.8144353498706504,8.182738780975342
Chameleon,123,budget_reuse,20,5,0.48957189901207465,0.5464556264993896,0.16071158932971524,0.8768128260253654,0.8144353498706504,8.182738780975342
Chameleon,123,compounding,1,5,0.4566410537870472,0.5435300468357831,0.2245794719299904,0.8768128260253654,0.7944605570891687,8.182738780975342
Chameleon,123,compounding,5,5,0.4862788144895719,0.5479617939538823,0.16555749911983536,0.8768128260253654,0.813183423482476,8.182738780975342
Chameleon,123,compounding,20,5,0.4807903402854007,0.5419190501264578,0.1570848681921704,0.8768128260253654,0.7996797285524767,8.182738780975342
Chameleon,456,uncapped_avg,1,5,0.4445664105378705,0.5562433050856648,0.25114534560897384,0.8903825722911209,0.8030222153674867,9.056689262390137
Chameleon,456,uncapped_avg,5,5,0.4522502744237102,0.5607726518548151,0.20769434475511714,0.8903825722911209,0.8238711877395558,9.056689262390137
Chameleon,456,uncapped_avg,20,5,0.4588364434687157,0.563216257932984,0.20109811548465037,0.8903825722911209,0.8223855041624443,9.056689262390137
Chameleon,456,budget_reuse,1,5,0.4445664105378705,0.5562433050856648,0.25114534560897384,0.8903825722911209,0.8030222153674867,9.056689262390137
Chameleon,456,budget_reuse,5,5,0.4522502744237102,0.5607726518548151,0.20769434475511714,0.8903825722911209,0.8238711877395558,9.056689262390137
Chameleon,456,budget_reuse,20,5,0.4522502744237102,0.5607726518548151,0.20769434475511714,0.8903825722911209,0.8238711877395558,9.056689262390137
Chameleon,456,compounding,1,5,0.42151481888035125,0.5564240451802038,0.26897398543060463,0.8903825722911209,0.815772224103258,9.056689262390137
Chameleon,456,compounding,5,5,0.4522502744237102,0.5601930786183263,0.20841896157021755,0.8903825722911209,0.821784242114611,9.056689262390137
Chameleon,456,compounding,20,5,0.4544456641053787,0.5550142724427987,0.19300685753593172,0.8903825722911209,0.8020209152437401,9.056689262390137
