dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag
Cora,GraphSAGE,none,{},456,eac9960f8ba0,0.81,0.00144,0.8846,0.8875,1.0,0.1154,random_40_20_40,0.8768,0.9861,0.6535,0.65,0.6456,0.5854,0.0,0.0259,0.5577,0.5577,0.6533,0.6491,,,0.5587,0.5439,0.0102,0.0268,0.0428,0.8403,1,,,,,,,,none
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.81,0.00144,0.7239,0.7122,0.8135,0.0896,random_40_20_40,0.7007,0.8999,0.5485,0.5503,0.5531,0.5346,0.0,0.0,0.5448,0.5448,0.5755,0.566,,,0.5001,0.5046,0.0157,0.0231,0.1513,0.8489,1,,812.4,1.0,,0.3,1.0,2708.0,lbp_strong
Cora,GraphSAGE,lbp,"{""scale"": 0.12}",456,eac9960f8ba0,0.81,0.00144,0.8781,0.8764,0.9926,0.1145,random_40_20_40,0.8672,0.9524,0.5763,0.5512,0.581,0.5429,0.0,0.0,0.5572,0.5572,0.5668,0.5753,,,0.5041,0.5092,0.0102,0.0157,0.1658,0.846,1,,324.96,1.0,,0.12,1.0,2708.0,lbp_equal_mass
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8329,0.8432,0.9114,0.0785,random_40_20_40,0.8205,0.9535,0.572,0.5485,0.5159,0.4968,0.0,0.0175,0.5392,0.5392,0.6291,0.5706,,,0.5196,0.5194,0.0074,0.012,0.0393,2.6735,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0,harp
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",456,eac9960f8ba0,0.81,0.00144,0.8698,0.8948,0.9834,0.1136,random_40_20_40,0.8617,0.9591,0.5664,0.5466,0.5675,0.542,0.0,0.0,0.5568,0.5568,0.5477,0.5605,,,0.4951,0.4922,0.0102,0.0185,0.1248,2.5395,1,,303.044,0.9996,,0.1119,0.3197,2707.0,sami
Cora,GraphSAGE,none,{},789,eac9960f8ba0,0.81,0.00144,0.8744,0.8635,1.0,0.1256,random_40_20_40,0.8576,0.9879,0.6424,0.6482,0.6635,0.6057,0.0,0.0185,0.5628,0.5628,0.6422,0.6482,,,0.5636,0.5471,0.0083,0.0305,0.0464,0.8906,1,,,,,,,,none
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",789,eac9960f8ba0,0.81,0.00144,0.699,0.6863,0.8236,0.1247,random_40_20_40,0.6749,0.8909,0.5607,0.554,0.5707,0.5485,0.0,0.0,0.5623,0.5623,0.5618,0.5577,,,0.5072,0.5125,0.0,0.0148,0.139,0.8865,1,,812.4,1.0,,0.3,1.0,2708.0,lbp_strong
Cora,GraphSAGE,lbp,"{""scale"": 0.12}",789,eac9960f8ba0,0.81,0.00144,0.8707,0.8358,0.9954,0.1247,random_40_20_40,0.8548,0.9461,0.6005,0.5679,0.6048,0.5614,0.0,0.0111,0.5623,0.5623,0.6031,0.59,,,0.5096,0.5134,0.0083,0.0166,0.1648,0.8964,1,,324.96,1.0,,0.12,1.0,2708.0,lbp_equal_mass
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",789,eac9960f8ba0,0.81,0.00144,0.8255,0.8653,0.9086,0.0831,random_40_20_40,0.7992,0.9555,0.566,0.5429,0.5243,0.4977,0.0,0.0203,0.5416,0.5416,0.6151,0.5771,,,0.5295,0.5263,0.0083,0.0092,0.0266,2.814,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0,harp
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",789,eac9960f8ba0,0.81,0.00144,0.8744,0.8911,0.9797,0.1053,random_40_20_40,0.8548,0.9582,0.5521,0.5263,0.5711,0.5476,0.0,0.0,0.5526,0.5526,0.5516,0.5448,,,0.5003,0.5069,0.0111,0.0111,0.1399,3.0795,1,,318.1234,0.9996,,0.1175,0.3356,2707.0,sami
Cora,GraphSAGE,none,{},1024,eac9960f8ba0,0.81,0.00144,0.8744,0.869,1.0,0.1256,random_40_20_40,0.8562,0.9824,0.6442,0.6556,0.6499,0.5854,0.0046,0.0259,0.5628,0.5628,0.6442,0.6528,,,0.5674,0.5586,0.012,0.0332,0.0503,1.0931,1,,,,,,,,none
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",1024,eac9960f8ba0,0.81,0.00144,0.6888,0.6937,0.8089,0.12,random_40_20_40,0.6562,0.8893,0.5678,0.5485,0.577,0.5466,0.0,0.0148,0.56,0.56,0.558,0.5568,,,0.5259,0.5319,0.0,0.0185,0.1308,1.0142,1,,812.4,1.0,,0.3,1.0,2708.0,lbp_strong
Cora,GraphSAGE,lbp,"{""scale"": 0.12}",1024,eac9960f8ba0,0.81,0.00144,0.8633,0.8542,0.9972,0.1339,random_40_20_40,0.8419,0.9516,0.6008,0.5716,0.6014,0.5577,0.0,0.0148,0.5669,0.5669,0.5862,0.5789,,,0.528,0.5365,0.0055,0.0102,0.1566,1.0259,1,,324.96,1.0,,0.12,1.0,2708.0,lbp_equal_mass
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",1024,eac9960f8ba0,0.81,0.00144,0.8255,0.8487,0.9104,0.0849,random_40_20_40,0.8008,0.9382,0.561,0.5485,0.5259,0.5088,0.0,0.0175,0.5425,0.5425,0.6095,0.5725,,,0.5318,0.5388,0.0046,0.0074,0.028,3.113,1,,324.3,0.3992,0.1787,0.1198,0.3992,1081.0,harp
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",1024,eac9960f8ba0,0.81,0.00144,0.8735,0.8875,0.9861,0.1127,random_40_20_40,0.8567,0.9508,0.5525,0.5559,0.5612,0.5272,0.0,0.0,0.5563,0.5563,0.5566,0.5568,,,0.5144,0.5259,0.0102,0.0157,0.1218,2.9858,1,,296.438,0.9996,,0.1095,0.3128,2707.0,sami
