tag,seed,n_sub,test_accuracy,lira_attack_auc,lira_tpr_at_0.01_fpr,noise_mass,frac_protected,wall_seconds
none,42,15000,0.8763333333333333,0.5011666666666666,0.5011666666666666,,,21.16
none,123,15000,0.8773333333333333,0.5161666666666667,0.5161666666666667,,,22.79
none,456,15000,0.8686666666666667,0.5005833333333334,0.5005,,,23.95
lbp,42,15000,0.3348333333333333,0.5043333333333333,0.5028333333333334,4500.0,1.0,28.43
lbp,123,15000,0.3505,0.4918333333333333,0.4901666666666666,4500.0,1.0,32.33
lbp,456,15000,0.345,0.5028333333333332,0.5011666666666666,4500.0,1.0,34.07
harp,42,15000,0.6681666666666667,0.5017499999999999,0.5011666666666666,1840.8,0.4090666666666667,102.21
harp,123,15000,0.688,0.5079166666666667,0.5071666666666667,1799.1,0.3998,96.46
harp,456,15000,0.7021666666666667,0.4995833333333334,0.4985,1642.5,0.365,98.86
