seed,acc,frac_prot,conf_pop,conf_unprot,conf_prot,lira_pop,lira_unprot,lira_prot,n_unprot_train,n_unprot_test,n_prot_train,n_prot_test,train_seconds
42,0.8448753462603878,0.40066469719350073,0.5005013262124548,0.6250162483751626,0.6372719811495592,0.5366415747781759,0.5475702429757023,0.5171268962961001,548,730,535,353,2.6277248859405518
123,0.8291782086795937,0.40029542097488924,0.5218272999405741,0.648832359776396,0.6343816040005859,0.5466817405568642,0.5520846680484894,0.5517936727135773,549,725,534,358,3.090970993041992
456,0.8328716528162512,0.40066469719350073,0.5159392747310274,0.6401404900686745,0.6441583437369954,0.5192494771457487,0.5180324297486327,0.5213847274240533,543,727,540,356,2.933332920074463
789,0.8254847645429363,0.40066469719350073,0.524339046576445,0.6640458007478713,0.649466502513594,0.5297372556141289,0.5382136279926335,0.5181671283471838,543,722,540,361,2.9993069171905518
1024,0.8254847645429363,0.39918759231905465,0.525893328354175,0.6474900310810405,0.6393831769869168,0.5318312304062873,0.5558109553172564,0.5013415978534435,559,716,524,367,3.0764760971069336
