dataset_id,model,seed,mean_ego_gap_train,mean_ego_gap_heldout,ego_gap_difference,std_ego_gap_train,std_ego_gap_heldout
Cora,GCN,42,0.02804865688085556,0.01915331743657589,0.00889533944427967,0.10575712472200394,0.05532428249716759
Cora,GCN,123,0.027154965326189995,0.020979823544621468,0.006175141781568527,0.10396119952201843,0.05797646939754486
Cora,GCN,456,0.0314878411591053,0.017429981380701065,0.014057859778404236,0.11212673038244247,0.046536706387996674
Cora,GCN,789,0.02643941342830658,0.01885644905269146,0.00758296437561512,0.09729240089654922,0.0515298955142498
Cora,GCN,1024,0.03177935630083084,0.018471235409379005,0.013308120891451836,0.12422344833612442,0.04969816654920578
Cora,GraphSAGE,42,0.13353034853935242,0.08535842597484589,0.04817192256450653,0.38344722986221313,0.20404183864593506
Cora,GraphSAGE,123,0.12086339294910431,0.08767994493246078,0.033183448016643524,0.38891181349754333,0.22479543089866638
Cora,GraphSAGE,456,0.15295866131782532,0.09153106063604355,0.06142760068178177,0.4750945270061493,0.221697598695755
Cora,GraphSAGE,789,0.151226207613945,0.09323344379663467,0.05799276381731033,0.4362763464450836,0.21484585106372833
Cora,GraphSAGE,1024,0.13566777110099792,0.09651366621255875,0.03915410488843918,0.4228527247905731,0.22695396840572357
Citeseer,GCN,42,0.07821063697338104,0.04914439469575882,0.029066242277622223,0.2451004832983017,0.17545661330223083
Citeseer,GCN,123,0.07393498718738556,0.05320451036095619,0.020730476826429367,0.2381759136915207,0.18313270807266235
Citeseer,GCN,456,0.07532836496829987,0.05146859586238861,0.023859769105911255,0.22670790553092957,0.175966277718544
Citeseer,GCN,789,0.08135288953781128,0.04963123798370361,0.031721651554107666,0.24883520603179932,0.17307527363300323
Citeseer,GCN,1024,0.07783707976341248,0.05438954010605812,0.023447539657354355,0.23643858730793,0.194606214761734
Citeseer,GraphSAGE,42,0.20292514562606812,0.17348919808864594,0.02943594753742218,0.49776795506477356,0.3228904604911804
Citeseer,GraphSAGE,123,0.182428777217865,0.14154766499996185,0.04088111221790314,0.43476468324661255,0.2641887366771698
Citeseer,GraphSAGE,456,0.18449914455413818,0.1496787667274475,0.034820377826690674,0.4200136065483093,0.2653559744358063
Citeseer,GraphSAGE,789,0.19574840366840363,0.14232732355594635,0.053421080112457275,0.4474012851715088,0.27930310368537903
Citeseer,GraphSAGE,1024,0.19968152046203613,0.16466252505779266,0.03501899540424347,0.43342846632003784,0.28986695408821106
synthetic_high_sparse,GCN,42,0.40304210782051086,0.25307124853134155,0.1499708592891693,0.9782676696777344,0.6275879144668579
synthetic_high_sparse,GCN,123,0.36055657267570496,0.27667781710624695,0.08387875556945801,0.8112560510635376,0.6078945994377136
synthetic_high_sparse,GCN,456,0.3514024019241333,0.33774664998054504,0.013655751943588257,0.8156101703643799,0.6859233379364014
synthetic_high_sparse,GCN,789,0.3261455297470093,0.31653261184692383,0.00961291790008545,0.7157609462738037,0.655705451965332
synthetic_high_sparse,GCN,1024,0.3698161244392395,0.27905845642089844,0.09075766801834106,0.9173856377601624,0.6343119740486145
synthetic_high_sparse,GraphSAGE,42,0.5352646112442017,0.8557246327400208,-0.3204600214958191,1.1009559631347656,1.9821685552597046
synthetic_high_sparse,GraphSAGE,123,0.49056342244148254,0.6536787152290344,-0.16311529278755188,0.9021282196044922,1.6290031671524048
synthetic_high_sparse,GraphSAGE,456,0.43261879682540894,0.7696326375007629,-0.337013840675354,0.943142831325531,1.9603992700576782
synthetic_high_sparse,GraphSAGE,789,0.4810149669647217,0.7362567782402039,-0.2552418112754822,1.1532691717147827,1.5771236419677734
synthetic_high_sparse,GraphSAGE,1024,0.5740006566047668,0.8754549622535706,-0.3014543056488037,1.1216614246368408,2.1096768379211426
synthetic_high_medium,GCN,42,0.004320885520428419,0.012845108285546303,-0.008524222299456596,0.031714893877506256,0.12955455482006073
synthetic_high_medium,GCN,123,0.014727208763360977,0.011977131478488445,0.002750077284872532,0.19618403911590576,0.08078610897064209
synthetic_high_medium,GCN,456,0.012209570035338402,0.024129142984747887,-0.011919572949409485,0.10577350109815598,0.28290536999702454
synthetic_high_medium,GCN,789,0.01100107654929161,0.00719876866787672,0.0038023078814148903,0.08138179033994675,0.04120738059282303
synthetic_high_medium,GCN,1024,0.04221959412097931,0.005260043777525425,0.03695955127477646,0.40635308623313904,0.05840875580906868
synthetic_high_medium,GraphSAGE,42,0.07128038257360458,0.09248372912406921,-0.02120334655046463,0.4512450098991394,0.5500669479370117
synthetic_high_medium,GraphSAGE,123,0.051315974444150925,0.11920598149299622,-0.06789000332355499,0.5500396490097046,0.6541401743888855
synthetic_high_medium,GraphSAGE,456,0.06645788252353668,0.08538910001516342,-0.01893121749162674,0.3800928592681885,0.5476821064949036
synthetic_high_medium,GraphSAGE,789,0.025922492146492004,0.08460114151239395,-0.05867864936590195,0.21530872583389282,0.6776192784309387
synthetic_high_medium,GraphSAGE,1024,0.11253095418214798,0.029857737943530083,0.08267321437597275,0.7917720675468445,0.19638578593730927
synthetic_high_dense,GCN,42,3.91313307090968e-07,2.5998192541010212e-06,-2.2085059754317626e-06,1.9086155589320697e-06,2.4905673853936605e-05
synthetic_high_dense,GCN,123,7.801833135090419e-07,1.472303756600013e-05,-1.3942853911430575e-05,4.861424713453744e-06,0.00013302805018611252
synthetic_high_dense,GCN,456,1.798790208340506e-06,1.3235397773314617e-06,4.752504310090444e-07,1.2486768355302047e-05,7.795631972840056e-06
synthetic_high_dense,GCN,789,2.1410041881608777e-05,1.9165170215273974e-06,1.9493525542202406e-05,0.0002833673497661948,1.6741039871703833e-05
synthetic_high_dense,GCN,1024,7.092302212186041e-07,2.0918355403409805e-06,-1.3826053191223764e-06,4.321956112107728e-06,1.7618751371628605e-05
synthetic_high_dense,GraphSAGE,42,9.104454875341617e-06,2.6299841920263134e-05,-1.7195387044921517e-05,5.9738955314969644e-05,0.00016780434816610068
synthetic_high_dense,GraphSAGE,123,4.5530337956734e-05,0.0003515558782964945,-0.0003060255548916757,0.0003131077974103391,0.004232214298099279
synthetic_high_dense,GraphSAGE,456,1.145290480053518e-05,1.0067813491332345e-05,1.385091309202835e-06,9.38372322707437e-05,7.987982826307416e-05
synthetic_high_dense,GraphSAGE,789,8.441295904049184e-06,0.0004940537037327886,-0.00048561239964328706,6.756458606105298e-05,0.006740311160683632
synthetic_high_dense,GraphSAGE,1024,3.851651490549557e-05,0.00031321390997618437,-0.0002746974059846252,0.0004597236402332783,0.0033749646972864866
synthetic_low_sparse,GCN,42,0.6826789975166321,0.4860475957393646,0.19663140177726746,0.8041879534721375,0.6773642301559448
synthetic_low_sparse,GCN,123,0.837511420249939,0.6336254477500916,0.2038859724998474,1.00514554977417,0.9617354869842529
synthetic_low_sparse,GCN,456,0.7400885224342346,0.5095254778862,0.23056304454803467,0.8807759881019592,0.8095059990882874
synthetic_low_sparse,GCN,789,0.5758169293403625,0.5249632596969604,0.0508536696434021,0.7045295238494873,0.7248444557189941
synthetic_low_sparse,GCN,1024,0.5873477458953857,0.4516564905643463,0.13569125533103943,0.7880723476409912,0.67780601978302
synthetic_low_sparse,GraphSAGE,42,1.1352508068084717,1.5058954954147339,-0.3706446886062622,1.0219923257827759,1.3659157752990723
synthetic_low_sparse,GraphSAGE,123,0.8821365237236023,1.3735946416854858,-0.49145811796188354,0.8995504379272461,1.698738932609558
synthetic_low_sparse,GraphSAGE,456,1.209768533706665,1.5512609481811523,-0.3414924144744873,1.2378767728805542,1.594809651374817
synthetic_low_sparse,GraphSAGE,789,1.4166795015335083,1.5383710861206055,-0.12169158458709717,1.509726881980896,1.7374945878982544
synthetic_low_sparse,GraphSAGE,1024,1.725772500038147,2.148310661315918,-0.422538161277771,1.9825804233551025,2.3441944122314453
synthetic_low_medium,GCN,42,0.1025138646364212,0.04148782789707184,0.061026036739349365,0.44911929965019226,0.1216219961643219
synthetic_low_medium,GCN,123,0.0979011133313179,0.06665847450494766,0.03124263882637024,0.3334179222583771,0.23283825814723969
synthetic_low_medium,GCN,456,0.09510011970996857,0.09080898016691208,0.004291139543056488,0.32392892241477966,0.2922689616680145
synthetic_low_medium,GCN,789,0.07665769010782242,0.07036099582910538,0.006296694278717041,0.2488527148962021,0.2485618144273758
synthetic_low_medium,GCN,1024,0.10095444321632385,0.08369671553373337,0.017257727682590485,0.22904212772846222,0.3747768998146057
synthetic_low_medium,GraphSAGE,42,2.4580211639404297,2.584144353866577,-0.12612318992614746,2.1846399307250977,2.278855085372925
synthetic_low_medium,GraphSAGE,123,1.8971425294876099,2.0178744792938232,-0.12073194980621338,1.6808524131774902,1.8882036209106445
synthetic_low_medium,GraphSAGE,456,1.4541540145874023,1.9456499814987183,-0.4914959669113159,1.305418848991394,2.000709295272827
synthetic_low_medium,GraphSAGE,789,1.7594025135040283,1.985300898551941,-0.2258983850479126,1.5203205347061157,1.8233722448349
synthetic_low_medium,GraphSAGE,1024,1.5320501327514648,1.518776535987854,0.01327359676361084,1.3394386768341064,1.505476713180542
synthetic_low_dense,GCN,42,0.004198262467980385,0.004533853381872177,-0.0003355909138917923,0.018335379660129547,0.013901306316256523
synthetic_low_dense,GCN,123,0.006406657863408327,0.0029115730430930853,0.003495084820315242,0.021723585203289986,0.005641027819365263
synthetic_low_dense,GCN,456,0.0037148981355130672,0.003295621834695339,0.00041927630081772804,0.006296003703027964,0.0051225172355771065
synthetic_low_dense,GCN,789,0.0043982090428471565,0.003689645789563656,0.0007085632532835007,0.010265706107020378,0.005954036023467779
