center_std,noise_std,homophily,density,seed,gcn_acc,gcn_f1,mlp_acc,mlp_f1,struct_acc,struct_f1,feat_cv_score,realized_homophily,realized_density
0.5,1.0,low,sparse,42,0.54,0.534268412129858,0.875,0.8738646860922621,0.22,0.07213114754098361,0.9450117831893166,0.2982456088066101,0.005
0.5,1.0,low,sparse,43,0.61,0.6116563282277567,0.93,0.9284683218991381,0.165,0.05665236051502146,0.9424681105749447,0.2982456088066101,0.005
0.5,1.0,low,sparse,44,0.565,0.5504285147555767,0.905,0.9001937433345184,0.195,0.06527196652719666,0.9474993453783713,0.2982456088066101,0.005
0.5,1.0,low,medium,42,0.645,0.6465818123767008,0.915,0.9121949706471172,0.19,0.06386554621848739,0.9450117831893166,0.29991644620895386,0.015
0.5,1.0,low,medium,43,0.585,0.5801948875123193,0.935,0.9342640449438202,0.15,0.05217391304347826,0.9424681105749447,0.29991644620895386,0.015
0.5,1.0,low,medium,44,0.675,0.6740706945428774,0.905,0.9064470178403232,0.21,0.06942148760330578,0.9474993453783713,0.29991644620895386,0.015
0.5,1.0,low,dense,42,0.7,0.7010198532804666,0.905,0.9050243917912846,0.2,0.06666666666666667,0.9450117831893166,0.2998120188713074,0.04
0.5,1.0,low,dense,43,0.74,0.7381069531069532,0.94,0.9401466125265305,0.195,0.06527196652719666,0.9424681105749447,0.2998120188713074,0.04
0.5,1.0,low,dense,44,0.765,0.7634905686524933,0.94,0.9359876256362261,0.19,0.06386554621848739,0.9474993453783713,0.2998120188713074,0.04
0.5,1.0,medium,sparse,42,0.71,0.7042508607447427,0.88,0.8770290601231141,0.16,0.05517241379310345,0.9450117831893166,0.548872172832489,0.005
0.5,1.0,medium,sparse,43,0.745,0.7488803309085721,0.905,0.9054588736103282,0.16,0.05517241379310345,0.9424681105749447,0.548872172832489,0.005
0.5,1.0,medium,sparse,44,0.78,0.774586814075524,0.92,0.9181374489730059,0.205,0.06804979253112034,0.9474993453783713,0.548872172832489,0.005
0.5,1.0,medium,medium,42,0.865,0.8633380091683727,0.94,0.9375564563222347,0.23,0.07479674796747968,0.9450117831893166,0.5497075915336609,0.015
0.5,1.0,medium,medium,43,0.905,0.9034452896603957,0.91,0.9087384315170253,0.155,0.05367965367965368,0.9424681105749447,0.5497075915336609,0.015
0.5,1.0,medium,medium,44,0.895,0.896926253160521,0.94,0.93989249116862,0.205,0.06804979253112034,0.9474993453783713,0.5497075915336609,0.015
0.5,1.0,medium,dense,42,0.99,0.9892448724808276,0.95,0.9505468274918918,0.225,0.07346938775510205,0.9450117831893166,0.5498120188713074,0.04
0.5,1.0,medium,dense,43,0.99,0.9902561700054345,0.965,0.9650437204121415,0.215,0.07078189300411522,0.9424681105749447,0.5498120188713074,0.04
0.5,1.0,medium,dense,44,0.975,0.975094060168687,0.93,0.9274849642540707,0.205,0.06804979253112034,0.9474993453783713,0.5498120188713074,0.04
0.5,1.0,high,sparse,42,0.88,0.8796249076127125,0.9,0.8996519597344186,0.16,0.05517241379310345,0.9450117831893166,0.7994987368583679,0.005
0.5,1.0,high,sparse,43,0.905,0.9044342105852377,0.905,0.9059279418481451,0.175,0.05957446808510638,0.9424681105749447,0.7994987368583679,0.005
0.5,1.0,high,sparse,44,0.885,0.8878778765094555,0.915,0.912188617833779,0.195,0.06527196652719666,0.9474993453783713,0.7994987368583679,0.005
0.5,1.0,high,medium,42,0.995,0.9955417956656347,0.9,0.8910526431699404,0.14,0.04912280701754386,0.9450117831893166,0.7994987368583679,0.015
0.5,1.0,high,medium,43,0.98,0.9804026632847178,0.91,0.9103116866790124,0.205,0.06804979253112034,0.9424681105749447,0.7994987368583679,0.015
0.5,1.0,high,medium,44,0.985,0.9844483381375276,0.915,0.911980335837384,0.185,0.06244725738396625,0.9474993453783713,0.7994987368583679,0.015
0.5,1.0,high,dense,42,1.0,1.0,0.9,0.89437518653652,0.24,0.07741935483870968,0.9450117831893166,0.7998120188713074,0.04
0.5,1.0,high,dense,43,1.0,1.0,0.925,0.9247293163037767,0.195,0.06527196652719666,0.9424681105749447,0.7998120188713074,0.04
0.5,1.0,high,dense,44,1.0,1.0,0.91,0.9091652103605646,0.195,0.06527196652719666,0.9474993453783713,0.7998120188713074,0.04
